d2,d1,θ1,T2,Δ,param_count,rss,model,bic,T1,json_file,n_trials
5.137118589070387e-7,8.453066898600963e-5,0.9541266203756953,961.0415635258505,0.11368701380592708,6,0.21508423512270325,model1,-217.6124862352735,1113.8247171789565,data/rss_multi/model1_RSS.json,4772
6.0673702787397474e-6,6.698282855034012e-5,0.5879049475370636,223.04538683262078,0.23422370307959575,6,1.3771870387028977,model2,-134.05790025162366,1933.4678724342862,data/rss_multi/model2_RSS.json,4772
1.3955516966825093e-7,9.358197796805964e-5,0.37394178770697367,1370.7935616663926,0.08885064490078266,7,1.2210451015938242,model3,-135.666353640283,2995.3042147907513,data/rss_multi/model3_RSS.json,4772
4.225642332723292e-5,9.785439173202147e-5,0.3471756893387546,643.3246363664282,0.19466535098464607,7,1.0768366037777741,model4,-141.3219293515748,4184.009451490336,data/rss_multi/model4_RSS.json,4772
