wid,d1,d2,θ1,θ2,T1,T2,θ_prun,neglogl,param_count,n_trials,bic
w3c803c1,8.200661332488463e-5,7.506718569765558e-7,0.8535510444641112,0.3840540885925293,1180.3421020507815,1109.9383354187014,1.2972069549560545,277.0238425587387,7,148,589.0281710338262
wdaebe9a,0.00014229781850451766,0.00010907361989072332,1.2773800659179686,0.651107177734375,1792.4591064453125,1281.755065917969,0.8088461303710938,183.36368905074167,7,95,398.60451634268713
w457a2a0,9.794151033031218e-5,0.0008758169179022845,1.1984048461914063,0.6982007598876954,1434.2384338378906,1115.624618530274,1.5815509796142577,125.53385309125012,7,100,283.3038974844169
wc71252e,0.00011081184392023486,1.9594977782280607e-5,1.5899349212646483,0.6677693176269531,2222.6150512695312,1534.1350555419924,1.171349639892578,163.15448247129046,7,95,358.1861031837847
w8250429,0.00010682835069291812,0.00010016878865708153,1.6114385986328121,0.7388742065429686,1562.217712402344,1337.5564575195312,1.5683557128906247,158.29035374558285,7,97,348.60368434068937
w5dd5645,1.0000702717894099e-10,0.00019557836031538724,1.999992752075195,0.2405583953857422,642.101287841797,1275.9929656982424,0.9209870147705078,292.3116756729914,7,89,616.0438059341077
wa64273f,5.7529115292916295e-9,1.3485989353890092e-5,0.5936129760742188,1.2057162475585936,216.43371582031253,2445.8206176757812,0.016646728515625004,320.8629107412197,7,94,673.5288849583294
w578a7cb,4.007792917288958e-5,0.0003119899647270602,1.3894076538085938,0.4804071044921875,980.9127807617191,1154.1397094726562,0.5038519287109375,256.61917447036313,7,98,545.3331212914203
wb651fe0,9.78486435600702e-5,0.0001610280561187861,1.4043042564392088,0.9011185836791992,1523.141574859619,1145.8756446838381,0.9327717399597169,206.68369063560846,7,96,445.31781861149176
wcb87506,7.592260375627426e-5,0.0009988763226712687,1.071663818359375,0.8158251953125,1152.4414062500002,1065.1000976562502,0.46258178710937503,157.94834278806493,7,100,348.1328768780465
w11ae0c3,0.00014659095620626385,0.00015623249280330187,1.0146284675598143,0.7943573951721191,1326.3355255126955,1230.6694984436037,0.985131721496582,175.71667771965886,7,100,383.66954674123434
w0c70a81,8.442141685919995e-5,1.5698632265901487e-10,0.8510604095458985,0.7460043334960937,2084.9918365478516,1173.1849670410159,1.365683364868164,187.6810878260784,7,95,407.2393138933606
wbcb6e6a,0.00013137799934474152,1.0000175674844175e-10,1.3424122619628907,0.8017915344238281,1318.4505462646487,838.134002685547,1.7105994796752928,152.59355911971826,7,92,336.83963827877983
wdf61453,0.00011950678914505393,8.931568520763012e-5,0.7537387084960937,0.5241924285888672,1356.3591003417973,1168.9998626708984,1.0554170989990233,146.63821076749463,7,95,325.15355977619305
wa3a9848,5.138224143923226e-6,1.0920555347177702e-5,0.9687855136394501,0.6534140598773955,3655.6986570358276,1200.6080150604248,0.47945305347442624,295.5961689601847,7,87,622.4536947509514
wf63b737,0.00010709893599978697,1.6805980960203413e-7,0.8502975463867186,0.6292636108398437,1551.3000488281252,1166.9982910156255,1.7948883056640623,130.43337944467225,7,80,291.54094533206165
w4ff13f3,7.760551371944939e-5,0.0009997189622166602,1.3499200439453123,0.6860931396484375,725.4394531250002,1103.6758422851565,1.4435482788085938,168.22820042303283,7,100,368.6925921479823
w313d7aa,8.464119516035354e-5,1.341698793665211e-5,1.0485041236877441,0.4672344970703125,1324.0458488464355,1071.044158935547,1.9999984169006346,267.0863497018453,7,146,569.0579457556489
w0e2f500,5.2802714564813164e-8,2.246790091812639e-8,0.579443359375,0.9840478515625,6594.775390625,6672.412109374999,0.210126953125,295.3575737171326,7,87,621.9765042648473
waedfc9c,0.00016591251642291948,5.043102020570639e-8,0.6231304931640624,0.6855266571044921,1561.7931365966797,1303.5297393798828,1.6737894439697265,144.36572574014647,7,100,320.96764278220957
