wid,d0,d1,d2,θ0,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic
w3c803c1,6.523086311298835e-5,0.0009999297331483674,0.0002213256448683341,0.46085212707519535,0.3112931823730469,0.5825401306152344,848.3844757080079,1141.6450500488281,274.49816630930115,8,148,588.9740308087153
wdaebe9a,6.63962504869946e-5,0.000565670429542815,0.00018120856072665015,0.40723266601562497,0.9886099243164063,0.585123291015625,1125.511169433594,1296.0693359374998,195.5301571526801,8,95,427.4913294381645
w457a2a0,0.0001430572751717006,0.000260950006501445,0.0002128265563023648,0.4793666648864746,1.2710656738281247,0.8144033241271973,1068.9364433288576,936.6355895996096,128.3922034042725,8,100,293.62576829644973
wc71252e,0.0001632181889581942,0.0001421379216719362,6.201267544598609e-5,0.3705850219726563,1.055802307128906,0.5697149658203124,1970.780944824219,1446.9757080078125,168.00522614271182,8,95,372.44146741822794
w8250429,0.00013422645945071495,0.00032108669836461266,6.601013116327774e-5,0.6789856719970703,1.1669386291503905,0.8468231201171874,1350.23307800293,1197.3251342773438,157.3877214595416,8,97,351.3731307471103
w5dd5645,2.368709046790649e-8,1.3870427407194135e-7,8.757553770048554e-7,0.4600439453125,0.360947265625,0.3696484375,2514.9658203125,1429.022216796875,280.53733478312654,8,89,596.9837605241102
wa64273f,2.8133175148587736e-7,6.406792005704993e-6,4.613839682733221e-5,0.8530468749999999,0.33242675781250003,0.12456542968750002,5896.044921874999,3691.162109375,320.4983835445602,8,94,677.3431253472805
w578a7cb,4.141784514364413e-5,0.0009955128609158515,0.00018024340163707092,0.47116210937499997,0.698359375,0.7085107421875,232.44628906249991,1202.9052734375002,245.5187260013829,8,98,527.7171918321304
wb651fe0,0.00010609521586784157,0.0004580888351965736,0.00016313792408178735,0.6698464202880858,0.8347306060791015,1.0772606658935546,780.6949615478518,981.9438934326175,210.45577344326853,8,96,457.42633241827974
wcb87506,2.7765913278529793e-5,0.0002326152502138809,0.00019981526443861293,0.22888130187988284,0.6937595367431642,0.45129745483398437,505.2665710449218,1148.680877685547,144.98106785625822,8,100,326.8034972004212
w11ae0c3,6.877052562620193e-5,0.0005808153505359629,0.0007262463862323959,0.29656463623046875,0.9293634033203124,0.6530709838867188,896.9680786132815,1426.3534545898438,156.91626876993345,8,100,350.67389902777165
w0c70a81,1.2710320277471108e-6,0.00011331587886823276,0.00022367084321777943,0.3006735229492188,0.8645124816894532,0.5720941925048828,1132.7289581298828,1003.4759521484378,200.96904025719272,8,95,438.36909564718974
wbcb6e6a,0.0001277748302018757,0.00021673921695684184,0.000464506919157689,0.44143310546875003,0.833831787109375,0.5978125000000001,1283.4533691406248,680.7983398437499,163.3028976447482,8,92,362.7801039058887
wdf61453,6.946993219684277e-5,0.0009955128609158515,0.00026535551915982645,0.4078369140625,0.7288134765625,0.4871142578125,764.2578124999999,1133.0322265625,143.10802430455402,8,95,322.64706374191235
wa3a9848,7.51582332401661e-5,7.797722458428587e-8,0.00014993510230082191,0.4309796142578125,0.6875131225585938,0.9698480224609375,1570.9518432617188,1286.6073608398438,285.9228241102809,8,87,607.5729131697984
wf63b737,0.0001959910899503142,7.799914529118118e-5,5.617094349922237e-5,0.402640380859375,1.0457113647460934,0.7786337280273438,471.1791992187502,489.6179199218753,149.47911379196802,8,80,334.01444066132706
w4ff13f3,9.00466941660175e-5,0.00014857168031215054,0.0006675178607991771,0.4074517059326172,0.8029320526123047,0.6394678497314453,972.9064941406253,837.1635437011722,168.37050698829245,8,100,373.58237546448964
w313d7aa,0.00011727727522602541,0.00027399594821348475,2.0203188777217404e-6,0.6250942993164063,1.0005136108398438,0.5540045166015626,367.5827026367192,1144.6777343750002,277.9839446040461,8,146,595.8367421817588
w0e2f500,1.3970200422003531e-6,1.0345771409596462e-7,3.1584468408784477e-8,0.12274135589599612,0.6009527015686035,0.654908275604248,1990.9028053283694,5954.166316986084,296.3476151853825,8,87,628.4224953200016
waedfc9c,0.00011469174634156398,0.0003870241247033894,0.0003228003678809805,0.2871459197998047,0.7270007324218749,0.5638008880615234,992.1185493469238,1162.5250816345217,133.67711181531303,8,100,304.1955851185308
w96b09fe,0.00017751581902730233,0.0001759757727067138,0.0009821028750616235,0.2559214019775391,0.9146424102783203,0.7485044097900391,1243.3612823486328,1366.0636901855469,147.14219926086955,8,95,330.7154136545434
w9ff051d,7.245133407538141e-5,0.0001568319600891179,0.00047617313838251116,0.4030180358886719,0.9222106170654296,0.5833483123779297,1455.3459167480469,1302.2560119628909,190.2788387503193,8,99,417.3186363017153
wdcfc216,0.00022141897895851934,0.0004264644285907523,3.6190430562520185e-5,0.26608032226562506,0.6276623535156249,0.341007080078125,1811.383056640625,1054.4250488281255,122.10595752657812,8,100,281.053276541061
w4a3c9b0,8.35215808950888e-5,0.00026975009660427343,0.0008511386362915048,0.6692893791198731,1.2034484291076657,0.6891861343383789,505.4182052612304,1279.1621208190918,242.58183416909395,8,131,524.1652469237971
wde62b3d,1.99773146229643e-5,0.0005513851661134816,0.000381864406433063,0.355992431640625,0.7467294311523438,0.5149398803710937,1018.0328369140628,1088.8763427734377,179.46351428904126,8,95,395.3580437108868
w5284fa9,1.0486483619998163e-7,0.0008764941532637434,0.0002717716189967272,0.2518804931640625,0.5238525390625001,0.51853515625,1418.1045532226565,1223.7701416015625,146.77790812752087,8,95,329.98683138784605
w18b16aa,4.886128044096881e-5,0.0009988763226712687,0.0003315185334272121,0.375570068359375,0.5354541015625001,0.502462158203125,796.2829589843752,1148.5595703125002,266.68089175052245,8,148,573.3394816911579
w430272a,3.3413793264879145e-5,0.0009999297331483674,0.0008127802547158633,0.2516916656494141,0.9092117309570312,0.7926598358154296,1265.3179168701176,1052.4841308593752,91.61483633086111,8,95,219.66068779452655
w2121301,0.00015936486461395308,0.00022811523797076924,1.012728808005679e-6,0.22296722412109377,0.6875131225585938,0.009577026367187515,908.3709716796876,1264.2868041992185,232.1235727901566,8,149,504.2787160278769
wb14ab17,2.5038769147602245e-6,0.00032520802571527177,0.00039978779248531665,0.35833578109741215,0.8133345603942871,0.4688905143737793,166.50056838989303,1361.71178817749,143.11540851203577,8,94,322.57717528223156
wc59a729,9.726252873731926e-5,0.0001386165819084124,0.000996632754547211,0.3696182250976563,1.0652663421630857,0.7181333923339844,1103.2512664794924,1266.77360534668,173.72704223958655,8,100,384.29544596707785
wcb4623a,8.167880496440614e-5,0.00010727970685560951,3.05052789026702e-7,0.2509136962890625,0.5867547607421875,0.6046405029296875,1412.2817993164065,1302.134704589844,199.9132695205489,8,95,436.2575541739021
w672a25c,4.8260714794339034e-8,3.0505278902670224e-8,9.22239565104422e-8,0.627783203125,0.36868164062500003,0.5630078125,6524.90234375,5174.0234375,332.9128233857648,8,98,702.5053866008942
