wid,d1,d2,θ1,θ2,T1,T2,θ_prun,neglogl
w3c803c1,9.779021707018681e-5,9.820338657846105e-5,0.9514939880371094,0.6309101867675782,1005.052947998047,1254.582214355469,0.7956055450439453,317.12439663428626
wdaebe9a,8.873390607196955e-5,0.00011103983833169884,0.6338898849487306,0.8810745429992675,1842.4074172973633,1334.2659950256348,0.8684212112426758,198.2537292610951
w457a2a0,0.00011673667963548247,1.03852859037756e-10,1.0962774848937986,0.22061065673828126,1420.3639030456548,1324.6978759765627,1.327768688201904,137.13004618367626
wc71252e,5.454026253381888e-5,5.431055765251478e-5,1.033632068634033,0.6850116300582886,2120.451498031616,1719.826316833496,1.0153681993484496,252.99754181203988
w8250429,6.732176873018502e-5,1.968329948470337e-9,1.0332638549804685,0.7264644622802734,1329.06494140625,1339.133453369141,1.1287728118896483,206.30281629265406
w5dd5645,2.7519226989092082e-5,0.0006434765354249863,1.1294299316406249,0.3975798034667969,3009.89990234375,1544.9314117431643,0.621385726928711,278.7745179085283
wa64273f,3.7368852811610256e-5,9.595236069658278e-5,0.5376747131347657,0.8775189208984374,1704.329299926758,1512.4210357666018,1.3583266448974607,265.5555945507971
w578a7cb,1.7844677879794991e-10,0.00021639966122186254,0.9330176877975463,0.665125732421875,845.6436872482301,1252.9294013977053,0.570413155555725,272.68066751812387
wb651fe0,6.584335666238748e-5,3.715153879056439e-8,0.8970738983154296,0.6705035400390624,835.4045867919921,1418.1045532226565,1.7232018280029295,179.14101430075485
wcb87506,0.00022159408647664223,0.0005068859789690821,0.5997366523742675,0.7779860496520996,1227.8642654418948,1059.80806350708,1.1346661186218259,86.55628527509228
w11ae0c3,0.00015655118959682928,0.00010280909949390435,0.6375701332092285,0.6705337524414062,1749.1523742675781,1165.269660949707,0.6021215438842773,104.66431820310314
w0c70a81,6.781079377239009e-5,7.663010384021169e-10,0.9282153320312501,0.5774493408203125,1457.8933715820315,1375.8895874023438,1.0178857421874998,239.6957516865053
wbcb6e6a,6.470983707946471e-5,1.414019748178789e-6,0.9558016157150268,0.49143935203552247,1312.0023012161257,956.0864686965942,1.0841155767440795,195.7503944891038
wdf61453,0.00011486313463060621,3.779136495518554e-10,0.9955889892578126,0.3534999084472656,1107.0117950439458,1275.143814086914,0.5740051269531251,183.94516600290882
wa3a9848,4.7134601941120375e-5,7.959373893156226e-5,1.2843213653564454,0.8162028503417968,2009.4779968261719,1561.6111755371096,0.6494001770019532,271.2186612733982
wf63b737,9.777647473167101e-5,0.0009955128609158515,1.1281005859374997,0.8419287109375,1311.5966796875002,1226.1962890625002,0.9695458984374999,131.75370890515504
w4ff13f3,8.57788317121886e-5,6.216974722240553e-7,1.1267636871337892,0.41217239379882814,836.9815826416018,1092.818832397461,1.6745674133300779,148.38722083905895
w313d7aa,0.00010022511482929132,1.215393185139385e-7,1.0995196533203124,0.3716726684570313,1283.2107543945312,1265.0146484375002,0.9953170776367187,302.56293650052623
w0e2f500,5.397314616261629e-5,0.00018774119172598668,0.8207196044921876,0.974259033203125,1114.1082763671877,1008.0856323242191,0.37161224365234374,196.53882353376167
waedfc9c,7.074708611549958e-5,0.0004067158304902017,0.6226282119750977,0.6766347694396974,1035.5920791625977,1356.0103416442873,0.7946349716186524,155.93916588608062
