wid,d,θ0,vigor1,vigor2,T1,T2,rating_sd,neglogl
w3c803c1,8.66694840008823e-5,0.8654339599609375,1.4191040039062501,0.25494384765625,842.6223754882815,1375.6469726562502,0.9998854659687669,382.98778207203816
wdaebe9a,0.0002495138897237346,0.8760687255859375,1.3909057617187504,2.3397338867187503,2287.87841796875,1810.41259765625,0.9773434387417299,265.7731897567204
w457a2a0,0.0001524958611043557,0.919521713256836,3.045843505859375,0.5634796142578126,1779.1152954101565,1469.1749572753909,0.00848889114789623,151.76005656194627
wc71252e,6.048061670983861e-5,0.8923532104492188,2.7612548828125005,2.4679931640625004,1854.083251953125,1816.2353515625002,0.3041396621700232,314.141035132311
w8250429,1.7133334587144592e-7,0.5794123208522797,0.5087841033935548,0.2547432422637942,2477.7746856212616,1457.4773252010345,0.043263731317756834,330.06105834606166
w5dd5645,5.568363000043699e-5,1.1810025024414061,2.8750732421875003,3.9928344726562504,1664.3585205078125,1700.5081176757812,0.37777206846778805,262.74643798119905
wa64273f,0.00020906164004713744,0.31742252349853517,1.9678855895996095,1.7827438354492189,2487.9446029663086,2540.182590484619,0.12589550688246054,340.14966524142
w578a7cb,7.640025139038706e-5,0.7703102111816407,1.3076728820800785,1.7735099792480469,1025.948143005371,1438.757133483887,0.29735616204349674,291.4520448131133
wb651fe0,6.713398757404054e-5,0.9071232986450195,0.12327194213867196,0.16480026245117202,473.6508369445801,1373.6757278442385,0.8338267072199332,201.73806609695666
wcb87506,0.0002565545300443178,1.1389392852783202,2.7736236572265622,1.7854675292968751,745.8190917968753,1271.7472076416016,0.2713107830486255,96.40698907039081
w11ae0c3,0.0002686387767120862,0.6799449157714844,0.10000305175781254,4.984066772460937,1822.7859497070315,1391.5382385253909,0.047635578497896215,154.86679997527756
w0c70a81,4.3128626245305753e-7,1.0830841064453123,0.30621337890625006,0.34287109375,5832.237243652344,4775.407409667969,0.4363258295730113,354.5287510367131
wbcb6e6a,7.02159129405603e-5,1.2251107215881347,0.6879364013671876,2.3355789184570312,666.3021087646486,1140.6139373779297,0.03438627845440205,200.13785500788578
wdf61453,9.379246907331227e-5,0.7395690917968749,3.0440917968750005,1.9588867187500003,981.6406250000003,1429.9926757812502,0.007237597009038712,187.4722215179857
wa3a9848,3.243237095345669e-5,0.7678568696975708,2.7864570617675786,2.638818168640137,2235.2272272109985,2374.779987335205,0.5841000154715706,322.0954970430976
wf63b737,0.00011877842133151591,1.0045318603515623,1.2305389404296876,2.3168548583984374,1288.2450103759766,1317.540740966797,0.08420778549734702,128.9147688607439
w4ff13f3,0.00011367077047574354,0.9546474075317383,2.95089340209961,2.181711578369141,1333.7504386901858,1206.3625335693364,0.39233704943736725,152.5933259072014
w313d7aa,9.960726503432054e-5,1.0832351684570312,4.99993896484375,0.1000244140625,1043.2647705078127,1288.0630493164062,0.0010041848008575242,313.77863982855945
w0e2f500,0.00012065434567400444,0.7062145996093749,0.17026367187500008,0.10019531250000023,969.9951171875001,1690.0756835937502,0.21907535244217988,249.55668477760392
waedfc9c,0.00021045082605457448,0.48237091064453125,2.2662048339843754,0.4937530517578127,1749.7589111328125,1628.3302307128906,0.13853938147197906,168.91681164971584
w96b09fe,0.0001245480447562455,0.9318106079101561,1.7818359375000001,3.1698730468750003,1833.2183837890625,1507.1441650390625,0.17444827395138304,257.6053990330171
w9ff051d,1.4736297028828743e-5,0.024196996688842804,0.8561351776123048,3.301212501525879,5119.825577735901,1380.1163911819458,0.009155164933264428,349.7533744920532
wdcfc216,0.00010751365420769426,0.6210836029052734,1.5163879394531252,3.347372436523438,1472.5109100341795,1332.7041625976565,0.0016676991486748946,171.34823208707581
w4a3c9b0,0.00011518644296757094,1.379075012207031,4.4654541015625,3.4580932617187505,824.6688842773441,1327.1240234375,0.0010526737211412548,221.0695223520745
wde62b3d,1.215708156341236e-7,0.6554497385025024,1.3869310379028323,1.168532180786133,999.9390840530397,1317.0668840408327,0.24992511677965565,302.6937990677246
w5284fa9,0.0002880329276121735,0.4637978363037109,4.987356567382812,2.9345672607421878,1844.3180084228518,1477.3025512695312,0.9997661013001161,182.31178704769803
w18b16aa,0.0001301307350156014,0.7547583770751953,4.999981689453125,4.393057250976562,976.606369018555,1394.5102691650393,0.057294782014957024,284.6228027954954
w430272a,0.00016039846038580686,1.1506088256835936,0.15317382812500016,4.99993896484375,837.2848510742191,1339.2547607421877,0.10264926937960643,174.90234053146736
w2121301,0.00013141724053567161,0.7818664550781249,2.4961914062500004,3.3076171875,707.0007324218751,1276.66015625,0.23288414663698184,331.63883110492463
wb14ab17,7.705126712056574e-5,0.8838408660888671,1.7611145019531251,1.1062957763671877,593.9422607421875,1526.7959594726565,0.2195925115626398,223.89483581032272
wc59a729,9.624949011575227e-5,1.2727575683593748,3.8433837890625004,0.4762573242187501,597.8240966796876,1211.1541748046875,0.022885952890659454,210.75088707679143
wcb4623a,7.912948111212871e-5,0.9831773567199706,1.7056632995605472,3.194194030761719,729.3212890625003,2262.9345893859863,0.17809804093044646,273.1595839313285
w672a25c,0.00023876344389325675,0.745966567993164,3.966873931884766,0.6405654907226563,2108.1008911132812,2049.2819786071777,0.017782804869823622,241.58331595883732
wf36c682,0.00011105349388577456,0.8785461425781249,4.99993896484375,0.1000244140625,381.1691284179689,1232.504272460938,0.02052990360828933,201.5755467373916
w5c58b96,5.966853730829022e-6,0.8941423511505127,1.871091651916504,2.0465629577636717,1356.161975860596,1423.438286781311,0.40906288451101286,272.841860293483
w397496b,0.00014113271152873958,0.6868333435058593,1.1225738525390627,1.6547088623046877,1405.1246643066406,1480.3958892822266,0.00927656784234572,345.2242076137691
