wid,d1,d2,θ1,θ2,T1,T2,neglogl
w3c803c1,8.784672715806098e-5,0.00017956075622697695,0.7171080589294434,0.5856236839294433,1198.2349395751953,741.6643142700199,301.8841649525004
wdaebe9a,0.00013474622331388958,0.00011512170858004846,0.621619873046875,0.550560302734375,2025.126647949219,929.4784545898439,192.38181671301942
w457a2a0,6.945040852108939e-5,0.00042622475703849646,0.7997219848632812,0.2603550720214844,1600.368881225586,1178.4011840820315,160.97210203123956
wc71252e,4.712383879172726e-5,7.80745447312801e-5,0.6125297164916992,0.5491271018981934,3080.9102058410645,1216.2187576293945,275.80759846434825
w8250429,6.487601984783768e-5,6.831357106882665e-5,0.7480989027023316,0.6973854970932006,1953.4453630447388,14.237070083618478,211.1260993882448
w5dd5645,5.3962006384477226e-5,6.100374845276751e-5,0.8507414090633393,0.6902940797805786,2274.8416662216187,204.6640574932102,248.7266385475924
wa64273f,0.0001603787371895994,6.509035150031865e-5,0.9494928884506226,0.6439104890823364,1571.3953733444214,886.994338035584,241.0135807914773
w578a7cb,5.955282169100992e-5,7.889213176538969e-5,0.7782183074951171,0.5321609497070312,746.6075897216797,643.8602447509766,235.5660068139181
wb651fe0,8.37478435012347e-5,9.412258531314206e-5,0.8671183013916015,0.5579698944091797,1339.3760681152346,606.3156127929689,179.41270171857303
wcb87506,7.986265609715348e-5,0.00018938420273308926,0.747666015625,0.552373046875,500.2929687500002,500.2929687500002,97.48350079162421
w11ae0c3,0.00047015516437503516,0.00013132492697162898,1.0109368896484374,0.48547523498535156,1807.622528076172,910.8577728271484,91.2062980979961
w0c70a81,5.577761765172883e-5,7.279324240646378e-5,0.7944952392578125,0.5296759796142578,1547.7214813232422,733.1424713134767,248.75663486687577
wbcb6e6a,6.86835963680626e-5,0.0001679181559504445,0.8620124053955078,0.32830276489257815,1433.5105895996094,793.8568115234375,186.36706427249763
wdf61453,0.00011193586734953341,0.00015100433336427793,0.761667103767395,0.17903555870056156,998.2294082641603,1271.834397315979,179.85964992177446
wa3a9848,5.8688726734966135e-5,6.349424669102272e-5,0.749599609375,0.96447021484375,2241.29638671875,350.84228515625006,265.5404603070178
wf63b737,8.463115904664037e-5,0.000990906585797795,0.9127678251266479,0.5679163837432861,1202.4617433547974,1150.3602266311646,140.19534262933462
w4ff13f3,9.418088862249156e-5,0.00017516460339378207,0.985419683456421,0.4931454086303711,1213.3339166641235,673.940682411194,141.37111878112603
w313d7aa,1.0000175674844175e-10,0.00020370332029481748,0.9114191246032715,0.37110240936279304,621.8126296997074,806.0633659362794,389.94681265815933
w0e2f500,7.874812724502478e-5,0.00019131026850852128,0.5179006958007812,0.5999273681640624,1171.8505859375002,1260.404968261719,182.43923744054936
waedfc9c,0.00011699125002807911,0.00016039846038580686,0.4930963134765625,0.3519911766052246,1516.5303230285645,1219.6456909179688,145.06134054042897
w96b09fe,6.540068173024367e-5,0.0002849327906665709,0.7584065246582031,0.5828724670410156,1744.3607330322268,1095.97282409668,197.5393078997295
w9ff051d,5.4812569006940737e-5,0.0001612927693483677,0.7132913827896118,0.5730067014694213,2664.310359954834,850.8182048797611,210.58957536561905
wdcfc216,0.0001284511348496803,9.301185037487172e-5,0.5278037548065185,0.2927050018310547,1870.7630157470703,914.8457527160643,155.32805818388564
w4a3c9b0,7.781301553047913e-5,0.0004919891966434099,1.112012481689453,0.22393402099609377,985.5224609375003,1262.5885009765627,244.94399505872184
