tree_configuration,mean,std,n_subjects,sem,trials
1,0.9664832458530228,0.031461856627668434,45,0.004690056674521261,3103
2,0.831428700448084,0.09626769170428617,45,0.014350740179185096,899
3,0.6862314228980896,0.15298866354622603,45,0.022806203431747028,519
