level_low,level_high,n_subjects,mean_high_minus_low,t,p
1,2,45,-0.13505454540493878,-9.44062159554973,3.824297443864896e-12
2,3,45,-0.14519727754999437,-5.8533071989746155,5.541741298791626e-07
