difficulty,population_mean_used_for_imputation,n_observed_subjects,n_imputed_subjects
2.0,8.335537775295654,37,8
3.0,8.169955880896637,44,1
4.0,8.091262780758912,45,0
5.0,8.104847252187794,37,8
6.0,7.9271208812394525,39,6
7.0,7.893284702468362,37,8
8.0,7.912713428037083,35,10
9.0,7.777486973300701,45,0
10.0,7.845417986937271,40,5
11.0,7.773024743177018,45,0
