level_low,level_high,n_subjects,mean_high_minus_low,t,p
1.0,2.0,45,-229.4431636417322,-2.3596413962015172,0.022794068218877396
2.0,3.0,45,-202.57581569220068,-3.421629063672505,0.00135520848031518
3.0,4.0,45,-140.43069548461705,-2.184929301369446,0.03426363537941069
4.0,5.0,45,-130.6586920003426,-2.5380940710102378,0.014761568448568439
5.0,6.0,45,139.77854801196847,2.0487786352580897,0.04647721294462786
6.0,7.0,45,-139.9103063183997,-2.6194551091283356,0.012038417811830252
7.0,8.0,45,106.06794799427149,2.4436163475613415,0.018620799377307075
