diff2,mean,std,n_subjects,sem,trials
1.0,2151.6682394637814,642.6445207423799,45,95.79978891651567,443
2.0,1922.2250758220491,597.0586608150228,45,89.00425014249205,629
3.0,1719.6492601298485,480.22303628757504,45,71.58742356669107,537
4.0,1579.2185646452313,587.6610776284796,45,87.60334115387074,422
5.0,1448.5598726448889,510.77379505211337,45,76.14166179080475,747
6.0,1588.3384206568574,527.5567642634938,45,78.6435191255336,471
7.0,1448.4281143384576,506.80951756101,45,75.55070219401945,482
8.0,1554.496062332729,494.0559655065006,45,73.64951490412177,410
