tree_configuration,mean,std,n_subjects,sem,trials
1,7.891168479760563,0.3042610915111399,45,0.04535656556847953,2994
2,8.088493980571766,0.3121861179793577,45,0.04653795876224087,740
3,8.196257042069968,0.3313594056979613,45,0.04939614374163817,352
