level_low,level_high,n_subjects,mean_high_minus_low,t,p_uncorrected,p_bonferroni
1,2,45,-0.13505454540493878,-9.44062159554973,3.824297443864896e-12,1.147289233159469e-11
1,3,45,-0.2802518229549332,-12.812656593163569,1.8960125455182935e-16,5.688037636554881e-16
2,3,45,-0.14519727754999437,-5.8533071989746155,5.541741298791626e-07,1.6625223896374878e-06
