wid,d,θ0,vigor1,vigor2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w18b16aa,8.661226467892899e-5,0.4515353236774445,0.7466821612224522,2.553040252516803,726.449800901105,794.9970527263987,3937.76021997033,6,148,7905.503713583245,BADS
w430272a,0.00013949237352048783,0.6575044393268049,0.8811393934856712,0.38884831556466193,739.195624643929,827.6560503081171,2373.0735479736263,6,95,4773.470357296856,BADS
w2121301,0.00021891636992825767,0.40310992702841764,4.992260029911995,2.6203759804368025,880.2664877846838,1075.957951601595,3856.696162471705,6,149,7743.416002779083,BADS
wb14ab17,6.97297521182954e-5,0.490480580329895,2.217293167114258,2.1955783843994143,860.4280233383178,952.5041103363039,2371.321586704193,6,94,4769.902942102006,BADS
wc59a729,0.0009999997118228902,1.6486858314564594,1.1552010826977495,4.999999999996362,1447.0032753517446,905.4860334933439,2591.791521847657,6,100,5211.214064811243,BADS
wcb4623a,0.00022947098549586383,0.25328477052039905,1.8064555184027664,1.8960238184946074,1746.1497332516474,1638.1510509259838,2609.393179795682,6,95,5246.109620940967,BADS
w672a25c,0.0009999830471983634,0.07367173932609151,0.424913924233988,0.9010456557385624,1425.4474882734944,1829.6820885792843,2538.0062831522273,6,98,5103.522371176478,BADS
wf36c682,0.0001546999298151343,0.38168189652235013,4.120816931547597,3.211629718053155,853.0205764152923,807.4605937028537,2379.345233111604,6,94,4785.950234916828,BADS
w5c58b96,0.00018862877775889977,0.6628171679737533,3.912859059651965,1.6850384633333308,1924.6817071745684,1205.1321691802514,2331.451958561836,6,87,4689.6993658356,BADS
w397496b,0.0001594366780315386,0.5224371103346857,0.4224484083172685,1.9004625509889141,878.7310300559855,1203.2893988101193,3944.6675607430434,6,149,7919.35879932176,BADS
w9376389,0.0001026973930650225,0.951993689443916,0.6918901748955251,4.999595952779055,1547.292537149042,1973.1005781330168,2440.8796899405525,6,93,4908.954976840025,BADS
w158db17,0.00040361125659146895,0.5893219944071098,2.574073046522972,2.7073303269287865,980.428298106108,406.98366525557543,2393.4141799523195,6,95,4814.151621254242,BADS
w9864444,0.00013150454707952568,0.4899104038838004,1.7456310086639861,0.1003476103789582,641.1359059940426,502.6222534591852,3688.4684539137074,6,147,7406.879503348087,BADS
w05e5ad5,0.00017168397185118495,0.4417312301919992,2.1370754169503927,4.558932401445054,1455.2637672552917,1078.7932023868057,2461.2454720345368,6,93,4949.686541027993,BADS
w6d23692,6.55477432110248e-5,0.6121828128127504,1.7427274821129233,0.20760377582311107,758.7606705104608,732.02399613955,3947.0699594302764,6,146,7924.041558590803,BADS
we289943,0.00018358062626715134,0.941367965042591,1.080681559443474,1.5426625937223437,746.7612970620398,595.7666099071504,3860.39443341128,6,148,7750.772140465145,BADS
w6f95ee3,0.00017567663606396345,0.8039364287443459,3.0484943026676774,0.38311779182404293,1092.1416834462434,1683.9381146943197,3960.1667860199896,6,148,7950.316845682564,BADS
w6eb2a0a,0.00043699955545580113,0.31589071929454804,4.707837820053101,0.5921313881874085,2425.7688879966736,1354.7704949975014,1873.4531122383873,6,85,3773.5621320157165,BADS
w2424d8d,0.0003854373566436134,0.3835369534937708,4.798691525786029,4.656024338247855,1056.1446289017792,1045.8510366854364,2642.237435779013,6,99,5312.045590658834,BADS
