wid,d,θ0,vigor1,vigor2,T1,T2,rating_sd,neglogl,param_count,n_trials,bic,optimizer
w11ae0c3,0.00038253101114162406,0.3636552455765195,1.6765719634364362,4.999970885657239,994.1668338549789,1052.00704693998,0.9989913059191263,2559.457518537266,7,100,5151.151228376449,BADS
w0c70a81,9.328674694517039e-5,0.5450344750903676,1.5590984856289996,0.18635933829008328,1250.1221600896088,845.1882322060029,0.049091009756651025,2418.3357323868768,7,95,4868.548603014958,BADS
wbcb6e6a,0.0009999999828444043,1.7376040289364754,1.012616588920355,3.798266027867794,1418.065741378814,498.61933570355177,0.0017473791793074277,2406.8993242923416,7,92,4845.451168624027,BADS
wdf61453,0.00013086343255663466,0.5735678937280011,2.214376982584645,1.7908020137804672,728.6604624500741,830.8990721538638,0.08178031334192344,2384.9825081193735,7,95,4801.842154479951,BADS
wa3a9848,0.00016774444637267133,0.4583700732364064,2.4185756056583956,1.6489629469576474,1754.0945183150252,1665.40640794034,0.9973892250148962,2338.2329434274993,7,87,4707.727243685581,BADS
wf63b737,0.00015844983820410437,0.7471072963997722,0.9014082105830312,1.7799621332436801,909.7328772069889,703.4179779468107,0.7348557464004296,2107.140885182773,7,80,4244.955956808263,BADS
w4ff13f3,0.00026283326327087165,0.8198527386784553,4.999703353643417,4.999999985098839,1304.962505027652,613.2171612232925,0.018701239182236325,2657.2854850963354,7,100,5346.8071614945875,BADS
w313d7aa,7.134225371235319e-5,0.5974391821026802,0.4579891324043275,2.81216334104538,1138.6189997196198,669.6022853255275,0.04024519538131055,3770.019289662848,7,146,7574.923825677655,BADS
w0e2f500,0.00011552844867548634,0.4840846677512471,4.999999999999943,1.451973831780288,878.5229563585308,1820.9594096946844,0.00873375321021528,2282.792784614243,7,87,4596.846926059068,BADS
waedfc9c,0.00010264848384360702,0.6608657836914062,1.9853973388671877,1.928125,668.5462951660159,993.5894012451172,0.17317212933313153,2479.0888106225607,7,100,4990.413812547038,BADS
w96b09fe,8.529766921154819e-5,0.7400796318065852,1.6394619762868845,2.3897042557436183,876.4895463413326,1358.9325315043764,0.16521212738001131,2454.40515053728,7,95,4940.687439315764,BADS
w9ff051d,0.000110722298745901,0.9240268401202048,0.8937149289646187,1.3222310891607778,1742.4254358673352,721.9330729101788,0.04320070603452592,2572.068098388381,7,99,5176.302035727704,BADS
wdcfc216,7.01884392526587e-5,0.8771643338510922,0.10000762957315625,2.2870652443053134,557.4169338261814,682.0263736330961,0.06031980305469122,2518.804026881268,7,100,5069.8442450644525,BADS
w4a3c9b0,0.0003070403598057934,0.8657692814671674,2.96959169987652,1.5989905095860226,1587.4424648455424,863.7745562829589,0.13932817912895007,3550.581278736821,7,131,7135.28893873605,BADS
wde62b3d,0.0002560440599191375,0.7597525107860565,0.10000004768371594,4.999999713897705,1125.9556472301483,606.1791419982912,0.05652803550393276,2510.0424255709804,7,95,5051.961989383165,BADS
w5284fa9,0.00014570620679407593,0.5161513287675916,0.1441502032452263,1.5463495784322732,858.1030679313699,1053.5700600768905,0.10742944723791019,2448.085772109963,7,95,4928.04868246113,BADS
w18b16aa,7.507399987468632e-5,0.5676979320682586,1.3962651289999486,0.8285852260887624,657.8067721799018,917.7738479338587,0.4099525232349469,3938.031340295927,7,148,7911.043166508202,BADS
w430272a,0.00011557497703335039,0.8377481606099173,0.22247165732551374,1.580071147484705,559.4880220814961,722.1512222473395,0.24985241368094602,2373.8401945235123,7,95,4779.557527288229,BADS
w2121301,0.00019942378849962877,0.47011154598817767,0.10064517901993793,4.978409884380222,833.4088372687413,1087.0883805841977,0.07550508921016313,3856.534165361093,7,149,7748.095954863805,BADS
wb14ab17,7.347715230068481e-5,0.45889198683202265,0.600230246782303,1.000270736217499,969.2168071866039,968.9760286360981,0.23920070713516212,2371.5406482236926,7,94,4774.884359923275,BADS
wc59a729,0.000999999913451234,1.999932861359793,4.999120671016371,4.999999955007115,1407.7095356052098,902.1530776125018,0.001515190087860947,2591.791326348958,7,100,5215.818843999833,BADS
wcb4623a,0.00013544464814166957,0.43978342509476676,4.998559748286823,1.779302757351161,1439.5421173894933,1735.3679823113937,0.013816655408473615,2609.395904266038,7,95,5250.66894677328,BADS
w672a25c,0.0008363011330904846,0.1193521085381508,0.10068823099136356,3.1815799236297613,1444.046561419964,1936.0626325011253,0.9999999482073672,2537.209737915857,7,98,5106.514248182409,BADS
