wid,d0,d2,θ0,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,0.00012115509977798546,2.82688974680466e-5,0.5527758025787626,0.7840255609428095,471.1735250394669,483.9393409910375,2546.8248867423004,6,148,5123.633047127186,BADS
wdaebe9a,0.0001505797769577764,1.883982844998923e-5,0.5974406663072296,0.8288766439061146,798.5266715288161,795.9957322746054,1666.72187713039,6,95,3360.7670156103836,BADS
w457a2a0,0.00014046345230377862,0.00010964552262169199,0.6268943492323159,0.8719622951000929,883.9049093425274,510.3919852524998,1657.957251112569,6,100,3343.5455233410667,BADS
wc71252e,0.00013000263302766053,2.2493609760813564e-5,0.6757072979633814,0.9634270275133167,1506.5953082230408,929.1084414540824,1690.9144788424978,6,95,3409.152219034599,BADS
w8250429,0.00012027207372480524,5.120427516283189e-6,0.7514617307754815,0.9599928002391244,372.291763890826,619.8118539759893,1681.2044844455863,6,97,3389.857234762193,BADS
w5dd5645,0.00010120287297893419,3.226477765004325e-5,0.7558604745083267,0.9813519222065406,726.4295401011171,872.0655153832697,1599.2196484868953,6,89,3225.3711151921834,BADS
wa64273f,9.59232367400774e-5,1.404093179819517e-6,0.4458285872914675,0.0057232560475987005,1079.008691359923,1820.909922917195,1724.5317017209077,6,94,3476.3231721354355,BADS
w578a7cb,0.00019006962923302683,0.0009168823146303006,0.26671225657039943,0.26660818377695705,1465.190355818754,1401.7883908578594,1737.8683932110362,6,98,3503.2465912940957,BADS
wb651fe0,8.685345578329662e-5,1.0000046601635521e-10,0.5815225272661237,0.7945393567974774,565.8393703880914,846.5722204477449,1695.0383056399692,6,96,3417.4627004287454,BADS
wcb87506,7.762307119421796e-5,9.882760713803819e-5,0.4574494690527379,0.1326823890606503,10.02798997269628,763.3834347552691,1699.5840405362019,6,100,3426.799102188332,BADS
w11ae0c3,0.00012225974518057298,2.564022066519517e-5,0.5289298466088328,0.8250322915755018,368.08335575371257,597.6439097580665,1740.3157154573153,6,100,3508.262452030559,BADS
w0c70a81,9.348394990887091e-5,4.015161102382828e-5,0.5617098359337797,0.7901848354799768,917.13612978474,526.7215623719496,1677.5632276266333,6,95,3382.44971660287,BADS
