wid,d1,d2,θ1,Δ,T1,T2,θ_prun,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,7.097034981285726e-5,2.0429953718523545e-5,0.8106654715691957,0.27324958238793895,868.5705011946994,603.2499523420711,1.9482843753561154,2538.1149594184285,7,148,5111.210404753206,BADS
wdaebe9a,6.0279320051711773e-5,1.752324739076372e-5,1.064277455375835,0.01349525598138488,979.5166455988351,1105.30653505557,1.3009420598176984,1660.27558104432,7,95,3352.4283003298438,BADS
w457a2a0,7.920065767476162e-5,3.823332612501338e-8,1.1970381684335727,0.05812530396359281,821.1208402324361,789.7751818000318,1.6619316340568235,1670.7690436463079,7,100,3373.7742785945325,BADS
wc71252e,7.65320934347251e-5,1.988717767125617e-5,0.9756025400061957,0.2867631594030536,2006.7152521004175,1018.0005390818396,1.9992492962545587,1687.9134029104703,7,95,3407.7039440621443,BADS
w8250429,6.444225633159281e-5,2.6713656118583814e-5,1.0762352983818706,0.1962944773702475,992.176022025888,708.9858354087485,1.5985075319161113,1689.7724859812274,7,97,3411.5679488119786,BADS
w5dd5645,4.687736244798778e-5,2.0556271858170305e-8,1.3925335089117286,0.02297657348215582,1019.7510421276093,1157.6258156448603,1.5221148566156624,1610.1695328397614,7,89,3251.7595202676475,BADS
wa64273f,5.973583750687792e-5,1.414823453833644e-5,0.8818131639556088,0.4596806049757026,896.7018669558399,1077.5282051452225,1.6810515495905847,1726.874844743681,7,94,3485.5527529632523,BADS
w578a7cb,4.5653339883265804e-5,1.012090598458292e-10,0.9015627367887646,0.0010000002849846915,181.08231213409454,996.4992085471753,1.0316978723509236,1745.8023666078202,7,98,3523.699505566334,BADS
wb651fe0,5.487353706894413e-5,3.456196437703827e-9,0.9387297201156616,0.2173929473757744,969.7982296347619,983.0903902649883,1.461290866136551,1698.967474210124,7,96,3429.8853857605227,BADS
wcb87506,6.988394802087893e-5,2.0457482249894292e-5,0.6688692245306447,0.17742163066286595,374.1805680096151,576.7558809602633,1.738270247997716,1673.0915035645007,7,100,3378.419198430918,BADS
w11ae0c3,7.761236451510468e-5,3.660471243504683e-5,0.8188594907364495,0.32319700012074465,727.9941155067718,641.6219874612578,1.747394674430252,1734.3983247894812,7,100,3501.032840880879,BADS
w0c70a81,5.869651176779159e-5,1.0821903528833788e-7,0.8925539711945703,0.19759527206794705,1247.257712289161,670.9670497242998,1.9298452201215968,1675.8228035934553,7,95,3383.5227454281144,BADS
wbcb6e6a,4.3689321898716004e-5,7.299030599913517e-8,1.0117588398110056,0.0010121490020706934,845.0504912706828,655.3867401012675,1.152935453611842,1571.9574931219665,7,92,3175.5675062832765,BADS
wdf61453,6.540806033730986e-5,9.000251123655028e-5,0.7047296777367592,0.2056415915489197,727.8300613164902,560.0377976894379,1.5969654417037962,1614.3384715507323,7,95,3260.5540813426683,BADS
wa3a9848,4.874810789275989e-5,2.0155154839506826e-5,1.035987691879272,0.3231888437271118,891.6798353195192,1229.854464530945,1.303693652153015,1624.8307846379316,7,87,3280.922926106445,BADS
wf63b737,6.146304178722036e-5,0.0001812894316756894,1.093938930807635,0.18705915650818497,553.0988849001005,653.9464523084464,1.3475055983476338,1349.3452982911972,7,80,2729.3647830251116,BADS
w4ff13f3,3.010568268885108e-5,0.00024219920415757926,1.0907520877020167,0.0010000262717878782,428.38427599298,503.92867205231795,1.1546940588157828,1720.2170499455492,7,100,3472.670291193015,BADS
w313d7aa,5.839046274745102e-5,6.604239010779013e-8,0.8765504483578843,0.15953245058342877,656.7198004424428,621.772183940266,1.9977006488848563,2509.2797361011085,7,146,5053.444718554176,BADS
w0e2f500,5.2174981005297055e-5,1.1963461738741037e-6,0.8385575463470177,0.11611296271034896,578.5472663795956,1156.2533654569763,0.8742347708110104,1560.9279042927935,7,87,3153.117165416169,BADS
waedfc9c,7.200919937638111e-5,3.0748183778621455e-5,0.6307151832885575,0.21962946003652178,748.0421064188707,843.0246855714361,1.9883476126473396,1704.5029826853006,7,100,3441.242156672518,BADS
w96b09fe,6.491704860412516e-5,0.0002370383073153117,1.3814084141293204,0.00368372483546551,812.9164192086041,625.2600662918868,1.0109302784681622,1647.297749821239,7,95,3326.4726378836817,BADS
w9ff051d,4.718677256975281e-5,7.750626045736352e-8,0.9739486461319029,0.21822009625378996,1558.5392092121767,823.0043396586551,1.602165781422518,1737.0197365673314,7,99,3506.205312085605,BADS
wdcfc216,5.904839230894913e-5,3.243396554533634e-6,0.700180653441264,0.21516609128067332,1044.4568521707538,606.7309153380397,1.7049793011792926,1691.0524479474655,7,100,3414.3410871968476,BADS
w4a3c9b0,5.2519835317574384e-5,1.000067069370328e-10,1.0930581733671714,0.12723269727895967,1158.7555502512264,828.296419620165,1.9999999999906866,2281.6718164987524,7,131,4597.470014259913,BADS
wde62b3d,3.853995470923625e-5,6.222569730876068e-5,0.8926596787015842,0.216115445300311,263.80148727448625,504.8378647680692,1.1670912107991898,1646.617122859061,7,95,3325.111383959326,BADS
w5284fa9,8.389207218299034e-5,0.00013191141838937405,0.5421244036674034,0.46072373116505333,1026.3065010076393,754.4716156087816,1.7556012802023904,1622.2570489496125,7,95,3276.3912361404286,BADS
w18b16aa,6.381527175681239e-5,9.530382601161814e-6,0.6625127648788846,0.2886414456527223,624.4131383106696,617.3823997421674,1.999691596713336,2540.5374439005523,7,148,5116.055373717453,BADS
w430272a,9.086347089751571e-5,4.0797131622441346e-6,0.8048647228049435,0.16823646458274766,960.4221380355967,773.8890277216344,1.5718207547167,1578.529717680995,7,95,3188.9365736031937,BADS
w2121301,6.580996118790235e-5,2.130801472162537e-5,0.7140050642413553,0.2771728076186264,617.9024581360864,860.105109047436,1.5259534641596837,2559.590697065563,7,149,5154.209018272744,BADS
wb14ab17,5.983966665707924e-5,6.501692724231104e-5,0.6366235932462828,0.16755021370958847,783.582122662554,852.4593740741907,1.390208121636825,1604.5391633085949,7,94,3240.88139009308,BADS
wc59a729,6.554172781497009e-5,1.6286510699140285e-5,1.1020873504858173,0.2376541124190408,750.7109117195798,687.4995879912606,1.9999163861898703,1748.3284771345911,7,100,3528.893145571099,BADS
wcb4623a,3.748581550608952e-5,0.00013638907139153298,0.6973996296525001,0.2843157494068146,1069.554352760315,1347.2188740968704,1.089137533009052,1692.0319514701682,7,95,3415.94104118154,BADS
w672a25c,6.370984603831664e-5,2.609702031489036e-8,0.9581941139649964,0.21580288372883996,768.327523895929,1383.4278068750057,1.4087343290340144,1770.1669705686213,7,98,3572.4287134879364,BADS
wf36c682,8.133347907131402e-5,3.965912280800695e-5,0.6251874370127917,0.16780510127544404,755.6595601141456,660.8837325125934,1.9996758316457268,1561.2990260261465,7,94,3154.4011155281833,BADS
w5c58b96,6.993711471258943e-5,2.9403742901411856e-10,1.3024685645889549,0.13131268216388622,1412.7846464734237,1020.8189011168587,1.3997728538926868,1563.8567803480103,7,87,3158.9749175266024,BADS
w397496b,7.091583787251633e-5,1.6149844093512357e-8,0.7576593305874796,0.23347865385611594,629.3527783810579,978.0444154962105,1.9400262766369283,2587.472437731541,7,149,5209.972499604701,BADS
w9376389,5.002236890568335e-5,0.00016624563748342426,1.280203337315679,0.08743955003462138,1921.2771697309847,1164.227703015433,1.0918719495860658,1673.590588855161,7,93,3378.909374162395,BADS
w158db17,7.013310504275223e-5,2.3037805413360053e-7,0.9095929315720236,0.007435702019013736,634.1383461874298,488.05891519862575,0.964155220850213,1561.1974994175878,7,95,3154.2721370763793,BADS
w9864444,9.364399570756867e-5,4.620193897074649e-5,0.5361736196791753,0.2640880017640302,580.4999025058353,410.1195665469276,1.944621562399552,2393.248254752198,7,147,4821.429537611847,BADS
w05e5ad5,4.9558549326419946e-5,1.199112298347632e-8,0.8311182715613904,0.3075336568350394,664.8000252005661,998.3298696344722,1.9999896378427544,1647.8063177163997,7,93,3327.3408318848724,BADS
w6d23692,5.846000461638621e-5,6.12861852101136e-6,0.6956803950859649,0.25464023418378934,415.98820687622765,667.6402263648014,1.999680225211159,2517.3020099079904,7,146,5069.489266167939,BADS
we289943,7.89863418966226e-5,4.8207844154304334e-5,0.7268196244701175,0.2138333101314345,664.3694918023815,506.1491032903406,1.882746036992547,2467.9706068459045,7,148,4970.921699608158,BADS
w6f95ee3,8.374802740468831e-5,1.3293040404417482e-5,1.2282007658481595,0.1642305374145508,979.6978116035465,1292.431062459946,1.9999692666530609,2582.7123616470926,7,148,5200.405209210534,BADS
w6eb2a0a,5.653844808601031e-5,1.0634725969487674e-5,1.2364957621070924,0.0010000000000082116,2942.843131805683,1326.8055911277313,1.2104461122046755,1528.7982489518042,7,85,3088.695056699041,BADS
w2424d8d,6.965354876863166e-5,2.226403658028065e-5,0.778849058821182,0.16827889364005585,456.48329120467287,725.530383195279,1.9996054703018296,1693.2714256811832,7,99,3418.7086903133086,BADS
