wid,d,θ0,vigor,T1,T2,neglogl,param_count,n_trials,bic,optimizer
waedfc9c,0.0002020578426780727,0.32264230608940125,1.6351850509643557,908.1899583339693,1043.6448037624361,2479.0132199188274,5,100,4981.052290767595,BADS
w96b09fe,9.699976418888041e-5,0.6888090009895786,4.918687023625995,978.894471780924,1082.3063470252603,2453.0072699689235,5,95,4928.78392439585,BADS
w9ff051d,8.097526123096443e-5,1.260612196139194,1.9724841853935036,1073.7530490566012,691.4986633776849,2573.5249429951127,5,99,5170.025485240898,BADS
wdcfc216,0.00018000291616525013,0.3219657135009766,1.3328804016113285,1044.9934005737305,705.6966781616213,2515.497274721014,5,100,5054.020400371968,BADS
w4a3c9b0,0.00027229926050281896,1.1852536510680511,1.6481001096602999,1345.440363763919,873.5479380749894,3550.958141120633,5,131,7126.292268857272,BADS
wde62b3d,0.0003185475217882848,0.5605759876113553,1.2019867207192876,1227.4136640337022,606.8069527083936,2510.102884745652,5,95,5042.975153949306,BADS
w5284fa9,0.00015977457665282066,0.42797987316272107,1.680870877396254,998.2754366768908,1059.081910469876,2446.8073221648674,5,95,4916.384028787737,BADS
w18b16aa,9.652501616815442e-5,0.4461055538058281,4.531174230575561,793.0690243840216,860.787917673588,3935.90912514677,5,148,7896.80431166236,BADS
w430272a,0.0001547219199296309,0.5572387451445684,1.6088947410229597,821.1276098678354,753.9631877196373,2372.5981355611493,5,95,4767.965655580301,BADS
w2121301,0.00018933763514150724,0.5185501615994212,1.5454726316979306,776.7550350929528,1084.9318806077065,3857.097816841711,5,149,7739.215365213149,BADS
wb14ab17,5.725693569435523e-5,0.5725562841130886,1.7167103820946068,756.208731600782,1007.5341017334724,2372.378671969892,5,94,4767.473817851133,BADS
wc59a729,0.00096327946903469,1.4652810870975506,2.7319263422043147,1454.199047097518,907.2671674070078,2591.8411877937565,5,100,5206.708226517453,BADS
wcb4623a,8.671002780063319e-5,0.6665442009493462,1.540744207269836,1183.507832215713,1646.8131486003304,2609.9188715695914,5,95,5242.607127597185,BADS
w672a25c,0.00039029769265975606,0.207622890019411,1.2465987869654784,1389.2955275474383,1873.6517585122783,2537.851169575585,5,98,5098.6271765445235,BADS
