run,true_θ1,true_Δ,fitted_θ1,fitted_Δ,neg_log_likelihood,n_trials_generated,n_trials_fitted
1,0.8279195500923653,0.8000598029623448,0.505,0.505,1.0e6,100,100
2,0.09713590517598458,0.7650235020873575,0.505,0.505,1.0e6,100,100
3,0.629922314604137,0.42909896084255383,0.505,0.505,1.0e6,100,100
4,0.18416034026653072,0.40494711835358443,0.505,0.505,1.0e6,100,100
5,0.5850509110074855,0.2109855625950596,0.505,0.505,1.0e6,100,100
6,0.4274508413143751,0.6214113857306093,0.505,0.505,1.0e6,100,100
