run,true_θ1,true_Δ,fitted_θ1,fitted_Δ,rss,n_trials_generated,n_trials_fitted
1,0.39266869274537186,0.8656395720423817,0.6036543870253994,0.8815185725028193,5.1072103082386615,100,100
2,0.11288830603421433,0.21017391507536337,0.0709036354259172,0.14342130343922718,1.7660427010813189,100,100
3,0.37306732870674725,0.0907410630605665,0.4116111499126641,0.04767316477913323,1.564721510942297,100,100
4,0.6552935776017569,0.5837931206677405,0.50280316350244,0.48453954735209076,3.683791402143067,100,100
5,0.9409247470031434,0.8520177737903535,0.7219524905743911,0.9506823546315663,3.7582901988451134,100,100
6,0.031898255176882925,0.7264093021200347,0.559126125186941,0.053993184415603655,5.855841737204434,100,100
7,0.6207389958466905,0.5495973270620248,0.42757010597045,0.09709557649514979,3.886177189116027,100,100
8,0.5040143979993337,0.2973710131530643,0.37865699185082413,0.2745106730907406,2.5171446877556147,100,100
9,0.481523553518786,0.32208496850635987,0.3410709929254868,0.33951115268754234,2.7690314262790845,100,100
10,0.8546581901248741,0.9269817364864924,0.6255833610282167,0.9291697096370052,5.464654517924072,100,100
11,0.9557736373047576,0.09206724727302942,0.8339743841303227,0.031995525248294174,1.1771891504231657,100,100
12,0.5943699122405056,0.8253085176857436,0.43548893197377875,0.9242194160273464,5.054492316916661,100,100
13,0.5825191352960258,0.05622087838458538,0.5489640875385191,0.08604880305933597,2.1543272062435803,100,100
14,0.603909391096095,0.46523530052926076,0.8715820291470187,0.16008962565990578,3.3216536438297775,100,100
15,0.7243544257212682,0.1286901448340408,0.6955069406151336,0.03348224917057679,3.499068339356463,100,100
16,0.8904538633588654,0.881296400923926,0.8731477528929145,0.9445611638531537,4.979444247482895,100,100
17,0.7022211605993651,0.16660264206513978,0.609513465136178,0.024215766869816614,2.241411260931322,100,100
18,0.953157141064967,0.6128970806240494,0.672262421598584,0.49651015504542995,11.108382014833431,100,100
19,0.23726367495216036,0.36375110791018445,0.33183809540044806,0.38039821042332744,4.766032191046321,100,100
20,0.7548357867075287,0.40394221328700464,0.4072681400061275,0.46317478826728653,4.154151279197477,100,100
21,0.8402615357287143,0.7670064489350349,0.7325612586593323,0.885292165656213,8.979759726910672,100,100
22,0.6281479150765219,0.9179384116711322,0.4417387746325668,0.9385677619468767,7.5139771024565265,100,100
23,0.6781625906286098,0.997239332969747,0.7728641600747987,0.9425618045477644,4.378093206837575,100,100
24,0.9954638422243735,0.043449697537032185,0.7038256026478225,0.02369353096162214,1.9422871165553945,100,100
25,0.9525424621196691,0.378509634994041,0.6894584052308007,0.5956991141292125,3.611634191703512,100,100
26,0.9902819891550079,0.7621142865681138,0.7411032610130891,0.7829843794465917,6.582120362458923,100,100
27,0.15910140162534772,0.20362446775011603,0.08862081078694516,0.014822010992394379,1.607911292379245,100,100
28,0.4485227066260384,0.6482194905018275,0.29696840591765017,0.5653038834659724,3.8565758131864913,100,100
29,0.7130204726440351,0.19025358682916896,0.5270256121798409,0.37503503582394815,2.406558647352921,100,100
30,0.879988186375467,0.40959341763797874,0.7727064234869111,0.4288888420852116,3.2603532342821415,100,100
31,0.8999204833593695,0.5250867681018863,0.567249251400957,0.6759277776170194,6.1837540162661835,100,100
32,0.24879538468444437,0.07754820409935999,0.18578704554842457,0.04333384804234867,2.5775870554100497,100,100
33,0.9735530842816597,0.9814032335890347,0.8894549383569913,0.9775974956069156,9.309386892653974,100,100
34,0.23574407141750453,0.30382206819149116,0.22857876541191505,0.13653754628050763,4.156832053111862,100,100
35,0.20703274162645946,0.6241242026928161,0.5480297389958212,0.2164983770500443,2.349120488010721,100,100
36,0.07121069292574783,0.21421126866619944,0.10946704725263534,0.010702951864004735,3.6899746378364666,100,100
37,0.9600977556257962,0.4102743836449531,0.4078477580712103,0.531473943246963,3.5206200470936717,100,100
38,0.16138247163923583,0.591707918126301,0.15507568898094817,0.25342304258877424,4.057517428374996,100,100
39,0.24858301375090844,0.7407959365537434,0.13971081428911383,0.55867165669146,7.017087401978111,100,100
40,0.6796669488296098,0.010416288868716156,0.4271364062135753,0.01107558435603092,1.9905570695169363,100,100
41,0.16617830994205837,0.2252825561828883,0.037481903602728586,0.09309156442085337,3.1892423513483186,100,100
42,0.538794361678766,0.44075672119298875,0.4350372699523822,0.5729082880541461,2.109150635912095,100,100
43,0.22831969999895266,0.1592960558630854,0.45918015688611885,0.02913560430795614,1.379832255986106,100,100
44,0.010350212204979753,0.20479118300943155,0.027284062150825454,0.09043180720112266,2.1728566900090467,100,100
45,0.6965497421573739,0.43615383723524304,0.4343925232135078,0.3426555522753023,3.268491458492001,100,100
46,0.5220065477146975,0.5148658361287791,0.7498513893245351,0.24045262902469972,5.904249180561093,100,100
47,0.49387698171145455,0.13464178956613937,0.698439019194835,0.05680986799622396,2.173663789716625,100,100
48,0.7244456621888754,0.4216003957427578,0.5152337445227342,0.28348966976355106,3.671489545480424,100,100
49,0.5778080087414236,0.7448171801932524,0.9953678306382511,0.4575926600341067,4.350204729257949,100,100
50,0.45493943634680445,0.45537288792703356,0.24462231984113625,0.6064515169773272,4.733282345100311,100,100
