run,true_θ1,true_Δ,fitted_θ1,fitted_Δ,neg_log_likelihood,n_trials_generated,n_trials_fitted
1,0.07077259783085679,0.8552940112381779,0.505,0.505,1.0e6,100,100
2,0.8044730091652088,0.6405680940130755,0.505,0.505,1.0e6,100,100
3,0.10368027144380751,0.8646441609399743,0.505,0.505,1.0e6,100,100
4,0.8278092443584423,0.15984725509875441,0.505,0.505,1.0e6,100,100
5,0.7440174946014622,0.6810055995297973,0.505,0.505,1.0e6,100,100
6,0.7666991282329895,0.3487103468181869,0.505,0.505,1.0e6,100,100
