trial_idx,choice1,choice2,rt1,rt2,diff2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff,abs_err,mean_ll
1,2,4,2259.0,2352.0,,-16.394078070566245,false,1000,-16.567513370715734,0.17343530014948882,0.17343530014948882,-16.48079572064099
2,2,4,2060.0,2415.0,,-16.3967320072523,false,1000,-16.426525135487378,0.029793128235077404,0.029793128235077404,-16.41162857136984
3,1,2,3264.0,3606.0,,-18.004825553308002,false,1000,-18.10537855584861,0.1005530025406074,0.1005530025406074,-18.055102054578306
4,1,1,2469.0,757.0,,-18.420680743952367,true,8918,-19.211996130399996,0.7913153864476286,0.7913153864476286,-18.81633843717618
5,1,2,5601.0,3351.0,,-18.420680743952367,true,1000,-19.07627181558113,0.6555910716287627,0.6555910716287627,-18.74847627976675
6,1,1,6992.0,2473.0,,-18.420680743952367,true,1000,-19.32313133703809,0.9024505930857245,0.9024505930857245,-18.87190604049523
7,1,1,3163.0,840.0,,-15.88945282865859,false,1000,-15.86681837207671,-0.022634456581879903,0.022634456581879903,-15.87813560036765
8,2,3,2355.0,1424.0,,-18.00962891619432,false,1000,-17.788722275442975,-0.2209066407513447,0.2209066407513447,-17.899175595818647
9,2,3,2406.0,743.0,,-14.838308648058577,false,1000,-14.763150162448863,-0.07515848560971428,0.07515848560971428,-14.800729405253719
10,2,3,2182.0,3402.0,,-16.939486591939673,false,1000,-17.01865254611589,0.07916595417621863,0.07916595417621863,-16.979069569027782
11,2,4,4316.0,2218.0,,-18.175069277895016,false,1000,-18.097192864862187,-0.0778764130328291,0.0778764130328291,-18.1361310713786
12,2,3,2022.0,1306.0,,-15.095234667094541,false,1000,-14.963291499335922,-0.13194316775861914,0.13194316775861914,-15.02926308321523
13,2,3,1314.0,1565.0,,-18.420680743952367,true,10000,-24.424869191895745,6.004188447943378,6.004188447943378,-21.422774967924056
14,2,4,1786.0,2179.0,,-15.641578975612909,false,1000,-15.665796492620952,0.024217517008043643,0.024217517008043643,-15.65368773411693
15,1,2,2244.0,2277.0,,-16.65057028346952,false,1000,-16.89201227384404,0.2414419903745184,0.2414419903745184,-16.77129127865678
16,1,1,1162.0,823.0,,-17.44847505437195,false,1000,-22.340339922669457,4.891864868297507,4.891864868297507,-19.894407488520706
17,1,1,1583.0,813.0,,-17.08492190350311,false,1000,-17.039848020520758,-0.04507388298235071,0.04507388298235071,-17.062384962011933
18,2,3,1343.0,406.0,,-15.579289954951072,false,1000,-15.303409333404701,-0.2758806215463707,0.2758806215463707,-15.441349644177887
19,2,3,2737.0,885.0,,-16.887924138691332,false,1000,-16.895918856725302,0.007994718033970116,0.007994718033970116,-16.891921497708317
20,1,1,4831.0,1406.0,,-18.420680743952367,true,1311,-19.55723259014556,1.1365518461931927,1.1365518461931927,-18.988956667048964
21,2,4,5316.0,3822.0,,-18.420680743952367,true,1071,-23.16934225986774,4.748661515915373,4.748661515915373,-20.795011501910054
22,1,1,2269.0,1413.0,,-15.986673587423885,false,1000,-15.84902261471014,-0.13765097271374493,0.13765097271374493,-15.917848101067012
23,2,4,1624.0,2118.0,,-16.864841730921643,false,1000,-16.959452815633476,0.09461108471183266,0.09461108471183266,-16.91214727327756
24,2,4,1568.0,3572.0,,-17.456604482233843,false,1000,-17.60921558090064,0.1526110986667959,0.1526110986667959,-17.53291003156724
25,2,4,3076.0,2289.0,,-18.36572303392035,false,1000,-18.52221117560556,0.15648814168520886,0.15648814168520886,-18.443967104762955
26,2,3,5505.0,945.0,,-18.420680743952367,true,1000,-24.189099333201984,5.768418589249617,5.768418589249617,-21.304890038577177
27,2,3,2532.0,478.0,,-16.25102773278394,false,1000,-15.889706859985598,-0.36132087279834124,0.36132087279834124,-16.070367296384767
28,1,1,3083.0,391.0,,-17.13560402155933,false,1000,-17.19264060577414,0.05703658421480995,0.05703658421480995,-17.164122313666738
29,1,1,3601.0,274.0,,-18.066827600791008,false,1000,-19.225834571666184,1.1590069708751756,1.1590069708751756,-18.646331086228596
30,2,4,5781.0,1691.0,,-18.420680743952367,true,1000,-19.472066000874158,1.0513852569217903,1.0513852569217903,-18.946373372413262
31,2,3,1492.0,958.0,,-17.691821456584695,false,1000,-18.04343230215246,0.351610845567766,0.351610845567766,-17.86762687936858
32,1,1,4738.0,507.0,,-17.983110246297723,false,1000,-18.01681205857122,0.033701812273495335,0.033701812273495335,-17.999961152434473
33,2,4,4707.0,2123.0,,-17.698199098446853,false,1000,-17.883061928777025,0.1848628303301716,0.1848628303301716,-17.790630513611937
34,2,3,2993.0,1511.0,,-16.7015855294421,false,1000,-16.48177459587751,-0.21981093356458814,0.21981093356458814,-16.591680062659805
35,2,4,1581.0,2293.0,,-15.483894396155645,false,1000,-15.350179277744754,-0.13371511841089045,0.13371511841089045,-15.4170368369502
36,2,4,2018.0,4045.0,,-18.420680743952367,true,1000,-18.555894314565872,0.13521357061350514,0.13521357061350514,-18.488287529259118
37,2,4,2605.0,2499.0,,-16.84216436336746,false,1000,-16.85944686612051,0.017282502753051432,0.017282502753051432,-16.850805614743983
