trial_idx,choice1,choice2,rt1,rt2,diff2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff,abs_err,mean_ll
1,2,4,2259.0,2352.0,,-16.375591622157447,false,1228,-16.567513370715734,0.19192174855828625,0.19192174855828625,-16.47155249643659
2,2,4,2060.0,2415.0,,-16.50973919014392,false,1025,-16.426525135487378,-0.08321405465654408,0.08321405465654408,-16.46813216281565
3,1,2,3264.0,3606.0,,-18.148056453493698,false,1618,-18.10537855584861,-0.042677897645088336,0.042677897645088336,-18.126717504671156
4,1,1,2469.0,757.0,,-19.273858060893986,false,10000,-19.211996130399996,-0.0618619304939898,0.0618619304939898,-19.24292709564699
5,1,2,5601.0,3351.0,,-19.2088013273124,false,1592,-19.07627181558113,-0.1325295117312706,0.1325295117312706,-19.142536571446765
6,1,1,6992.0,2473.0,,-19.416810902539147,false,2305,-19.32313133703809,-0.0936795655010556,0.0936795655010556,-19.36997111978862
7,1,1,3163.0,840.0,,-16.04525138142047,false,1358,-15.86681837207671,-0.17843300934376138,0.17843300934376138,-15.95603487674859
8,2,3,2355.0,1424.0,,-17.76867431828178,false,10000,-17.788722275442975,0.02004795716119645,0.02004795716119645,-17.778698296862377
9,2,3,2406.0,743.0,,-14.678469428328441,false,1010,-14.763150162448863,0.08468073412042187,0.08468073412042187,-14.720809795388652
10,2,3,2182.0,3402.0,,-17.12642816760822,false,1125,-17.01865254611589,-0.10777562149232978,0.10777562149232978,-17.072540356862056
11,2,4,4316.0,2218.0,,-18.12267496790896,false,1517,-18.097192864862187,-0.02548210304677312,0.02548210304677312,-18.10993391638557
12,2,3,2022.0,1306.0,,-15.000305328588226,false,1022,-14.963291499335922,-0.03701382925230412,0.03701382925230412,-14.981798413962075
13,2,3,1314.0,1565.0,,-23.558026099956262,false,10000,-24.424869191895745,0.866843091939483,0.866843091939483,-23.991447645926
14,2,4,1786.0,2179.0,,-15.740432211027427,false,1024,-15.665796492620952,-0.07463571840647454,0.07463571840647454,-15.70311435182419
15,1,2,2244.0,2277.0,,-16.63882522982157,false,1018,-16.89201227384404,0.25318704402246794,0.25318704402246794,-16.765418751832804
16,1,1,1162.0,823.0,,-17.44097417248783,false,1070,-22.340339922669457,4.899365750181627,4.899365750181627,-19.890657047578642
17,1,1,1583.0,813.0,,-17.166630998082084,false,2332,-17.039848020520758,-0.1267829775613265,0.1267829775613265,-17.10323950930142
18,2,3,1343.0,406.0,,-15.086541046502074,false,1025,-15.303409333404701,0.21686828690262772,0.21686828690262772,-15.194975189953388
19,2,3,2737.0,885.0,,-16.716631417838915,false,1004,-16.895918856725302,0.1792874388863872,0.1792874388863872,-16.806275137282107
20,1,1,4831.0,1406.0,,-19.66994219145293,false,10000,-19.55723259014556,-0.11270960130736896,0.11270960130736896,-19.613587390799246
21,2,4,5316.0,3822.0,,-22.576776951250977,false,10000,-23.16934225986774,0.5925653086167628,0.5925653086167628,-22.87305960555936
22,1,1,2269.0,1413.0,,-15.913270716698685,false,1157,-15.84902261471014,-0.0642481019885448,0.0642481019885448,-15.881146665704414
23,2,4,1624.0,2118.0,,-16.917930218692604,false,1007,-16.959452815633476,0.04152259694087235,0.04152259694087235,-16.93869151716304
24,2,4,1568.0,3572.0,,-17.53801786992187,false,1520,-17.60921558090064,0.07119771097876892,0.07119771097876892,-17.573616725411256
25,2,4,3076.0,2289.0,,-18.40560653722263,false,1319,-18.52221117560556,0.11660463838292756,0.11660463838292756,-18.463908856414093
26,2,3,5505.0,945.0,,-36.841361487904734,true,1014,-24.189099333201984,-12.65226215470275,12.65226215470275,-30.515230410553357
27,2,3,2532.0,478.0,,-16.039619316200017,false,1027,-15.889706859985598,-0.14991245621441962,0.14991245621441962,-15.964663088092808
28,1,1,3083.0,391.0,,-17.246267584817243,false,2283,-17.19264060577414,-0.053626979043102097,0.053626979043102097,-17.219454095295692
29,1,1,3601.0,274.0,,-18.02104245394587,false,1251,-19.225834571666184,1.204792117720313,1.204792117720313,-18.623438512806025
30,2,4,5781.0,1691.0,,-19.37487079544542,false,1027,-19.472066000874158,0.09719520542873639,0.09719520542873639,-19.42346839815979
31,2,3,1492.0,958.0,,-17.914008129167943,false,5868,-18.04343230215246,0.12942417298451758,0.12942417298451758,-17.978720215660204
32,1,1,4738.0,507.0,,-18.11662824317201,false,4725,-18.01681205857122,-0.09981618460079034,0.09981618460079034,-18.066720150871614
33,2,4,4707.0,2123.0,,-17.668571956678424,false,1429,-17.883061928777025,0.2144899720986011,0.2144899720986011,-17.775816942727722
34,2,3,2993.0,1511.0,,-16.63230978061442,false,1380,-16.48177459587751,-0.15053518473690986,0.15053518473690986,-16.557042188245966
35,2,4,1581.0,2293.0,,-15.440893948226423,false,1091,-15.350179277744754,-0.09071467048166859,0.09071467048166859,-15.395536612985588
36,2,4,2018.0,4045.0,,-18.51562878868287,false,1456,-18.555894314565872,0.04026552588300092,0.04026552588300092,-18.535761551624372
37,2,4,2605.0,2499.0,,-16.749404758817292,false,1113,-16.85944686612051,0.11004210730321873,0.11004210730321873,-16.8044258124689
38,1,1,2774.0,727.0,,-15.048005066878531,false,1019,-14.923782091183242,-0.1242229756952895,0.1242229756952895,-14.985893579030886
39,2,4,1212.0,1525.0,,-18.772484145031193,false,1451,-21.64329143587522,2.870807290844027,2.870807290844027,-20.207887790453206
40,2,4,3991.0,2093.0,,-17.455921041615756,false,1336,-17.419742581252905,-0.03617846036285144,0.03617846036285144,-17.43783181143433
41,1,2,1675.0,1362.0,,-14.51911522698164,false,1012,-14.528641647777082,0.009526420795442192,0.009526420795442192,-14.523878437379361
42,1,1,1881.0,748.0,,-14.425549835336337,false,1027,-14.45580569414926,0.030255858812923364,0.030255858812923364,-14.440677764742798
43,1,1,2880.0,383.0,,-16.01036099506595,false,1038,-16.019378107279916,0.009017112213967948,0.009017112213967948,-16.014869551172932
44,1,1,2585.0,3818.0,,-18.79582492770702,false,1469,-19.062748431756205,0.26692350404918486,0.26692350404918486,-18.92928667973161
45,1,2,3282.0,1812.0,,-16.925458983471636,false,1350,-16.838555127917584,-0.086903855554052,0.086903855554052,-16.882007055694608
46,2,3,4940.0,864.0,,-17.11253139243834,false,2088,-16.882514853526082,-0.23001653891225615,0.23001653891225615,-16.99752312298221
47,1,2,2194.0,814.0,,-14.715414127290144,false,1031,-14.602911138654179,-0.1125029886359652,0.1125029886359652,-14.659162632972162
48,1,1,2574.0,1423.0,,-36.841361487904734,true,10000,-27.84224926062742,-8.999112227277315,8.999112227277315,-32.34180537426607
49,2,4,1568.0,3183.0,,-17.405980561121314,false,1547,-17.377414755999474,-0.028565805121839816,0.028565805121839816,-17.391697658560396
50,2,3,4574.0,498.0,,-18.016434966744974,false,3168,-18.111189930944114,0.09475496419914009,0.09475496419914009,-18.063812448844544
51,1,1,8189.0,2750.0,,-22.821216702452745,false,10000,-22.72003693600548,-0.10117976644726312,0.10117976644726312,-22.770626819229115
52,1,1,4594.0,2731.0,,-29.233418290019056,false,1453,-23.51357172916127,-5.7198465608577855,5.7198465608577855,-26.373495009590165
53,2,4,1788.0,2014.0,,-15.482948483791093,false,1023,-15.44931909687199,-0.033629386919102444,0.033629386919102444,-15.466133790331542
54,2,4,1312.0,1199.0,,-15.488498877819525,false,1105,-15.405235553321525,-0.08326332449800056,0.08326332449800056,-15.446867215570524
55,2,4,1680.0,1716.0,,-15.493745812825027,false,1220,-15.397325242405774,-0.09642057041925334,0.09642057041925334,-15.445535527615402
56,2,4,2313.0,1608.0,,-16.041294001527188,false,1517,-16.049739552338767,0.008445550811579494,0.008445550811579494,-16.045516776932978
57,2,3,1893.0,836.0,,-15.967076944458485,false,3131,-15.855269683097632,-0.11180726136085362,0.11180726136085362,-15.911173313778058
58,1,2,2013.0,1250.0,,-15.10232548688952,false,1010,-15.047891127607347,-0.05443435928217255,0.05443435928217255,-15.075108307248433
59,2,4,1949.0,1714.0,,-15.928428138981916,false,1018,-16.030068297348123,0.10164015836620699,0.10164015836620699,-15.979248218165019
60,1,1,1693.0,1105.0,,-15.359840353023696,false,1026,-15.206188989366222,-0.1536513636574739,0.1536513636574739,-15.283014671194959
61,2,4,1534.0,2773.0,,-16.869422438960093,false,1015,-16.695550984785115,-0.17387145417497862,0.17387145417497862,-16.782486711872604
62,2,4,1628.0,1877.0,,-15.343289902448504,false,1014,-15.22085807101847,-0.122431831430033,0.122431831430033,-15.282073986733486
63,2,3,3889.0,3255.0,,-19.339055235944862,false,1046,-19.22225575779725,-0.11679947814761249,0.11679947814761249,-19.280655496871056
64,2,4,1032.0,3612.0,,-21.674796383190564,false,1121,-46.62297837940953,24.948181996218967,24.948181996218967,-34.14888738130005
65,2,4,1040.0,2814.0,,-24.199216549438276,false,1012,-47.094928129916234,22.895711580477958,22.895711580477958,-35.64707233967725
66,2,3,2043.0,2072.0,,-17.046012449355047,false,1399,-16.948103297400294,-0.09790915195475236,0.09790915195475236,-16.99705787337767
67,2,3,1303.0,2081.0,,-16.921155900860683,false,1010,-17.175482360386745,0.25432645952606237,0.25432645952606237,-17.048319130623714
68,2,4,3497.0,1479.0,,-16.775299079666695,false,1095,-16.796070788158154,0.02077170849145915,0.02077170849145915,-16.785684933912425
69,1,1,2784.0,640.0,,-15.62485018593832,false,1355,-15.654836196355863,0.02998601041754334,0.02998601041754334,-15.63984319114709
70,2,3,6548.0,2678.0,,-18.789361588567758,false,1511,-19.022329073844826,0.23296748527706868,0.23296748527706868,-18.905845331206294
71,2,4,3395.0,1827.0,,-16.986574189059453,false,1410,-17.04814214578476,0.06156795672530535,0.06156795672530535,-17.017358167422106
72,1,2,2007.0,3231.0,,-16.663009476321722,false,1253,-16.565515148601538,-0.09749432772018451,0.09749432772018451,-16.61426231246163
73,2,3,1365.0,2875.0,,-24.92902666213965,false,10000,-24.78346228122618,-0.1455643809134699,0.1455643809134699,-24.856244471682913
74,2,3,4690.0,657.0,,-17.842749943649395,false,3029,-17.865436299131332,0.022686355481937426,0.022686355481937426,-17.854093121390363
75,1,1,4505.0,1561.0,,-17.846828643120958,false,2492,-17.830678831765958,-0.0161498113549996,0.0161498113549996,-17.838753737443458
76,1,1,1995.0,3919.0,,-17.26354954691428,false,1244,-17.180473211758926,-0.08307633515535429,0.08307633515535429,-17.222011379336603
