wid,d,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,6.70332994380059e-5,0.8174333160743117,0.6062259224383161,805.1200032699851,490.58898128569103,2474.664087371612,5,140,4974.03638685627,BADS
wdaebe9a,8.726468839873465e-5,0.8165805182387067,0.699663290232038,1294.170448076147,752.144933131103,1662.936306660334,5,95,3348.6419977786704,BADS
w457a2a0,9.440303684102976e-5,0.9387035324281896,0.4178791604639264,1315.102498489432,563.4394330641952,1610.015705271759,5,95,3242.800795001521,BADS
wc71252e,4.77226211278924e-5,1.0221206417679785,0.4847094213962555,1795.3581660985944,1314.5662039518356,1598.0586329537057,5,87,3218.4468065006845,BADS
w8250429,6.007594942177653e-5,0.9395019456170849,0.42547304348263426,1191.7838851077247,636.5359327435726,1533.9692638913232,5,88,3090.325211855037,BADS
w5dd5645,4.519716762326056e-5,1.1141657703288366,0.381216700047662,1414.1356922686098,985.0736142543609,1482.8732581305856,5,82,2987.780112497492,BADS
wa64273f,5.7413569872013505e-5,0.8142811761395752,0.7095361906919425,1189.3251680570756,874.7408559298491,1677.675062748302,5,92,3377.959068381849,BADS
w578a7cb,5.476153952988423e-5,0.8534995192884844,0.4442691270532714,462.31901349469786,817.804414076636,1687.1822226445133,5,95,3397.1338297470293,BADS
wb651fe0,6.844077040355889e-5,0.9136242352571208,0.3761500036647442,882.297397769946,740.3621563059573,1487.4203664378133,5,87,2997.1702734688997,BADS
wcb87506,9.654881087830013e-5,0.9877810946153477,0.5181187676079572,262.59769052267063,372.1503266133368,1465.2939992306501,5,90,2953.0870468129515,BADS
w11ae0c3,8.730736892929045e-5,0.6941184594230518,0.5888718014559237,1102.5880254153383,585.3225580424214,1487.925441145934,5,90,2998.349930643519,BADS
w0c70a81,5.3648301203616504e-5,0.8786092294536825,0.5443541071257924,1199.6221402877263,639.0483737875161,1717.2991311732283,5,95,3457.367646804459,BADS
wbcb6e6a,6.020095344408689e-5,1.0748757725395262,0.34582965550944206,730.1642112433909,513.8261698186395,1538.420948071288,5,89,3099.2850779912364,BADS
wdf61453,6.772579976392153e-5,0.71594581451267,0.34293837802484634,678.850527666509,680.6381434202192,1639.8243123439981,5,95,3302.418009145999,BADS
wa3a9848,6.184902563157299e-5,1.00767700182746,0.6627247201677119,1385.6863933575821,1094.4521492278,1591.8451296063517,5,87,3206.0197998059766,BADS
wf63b737,8.248162722494613e-5,0.9714766809880859,0.4863535686451178,1015.5752782030731,647.5181683795539,1426.0149808142353,5,84,2874.1840456226873,BADS
w4ff13f3,7.743093271676998e-5,1.0266274760413943,0.4294265920327598,766.1787032346181,458.7285476205578,1517.2841482950437,5,90,3057.0673449417386,BADS
w313d7aa,7.557633248082654e-5,0.9605932518332703,0.41012383960129223,827.3357420541286,552.1495999273611,2390.8574296550964,5,138,4806.3511277359785,BADS
w0e2f500,6.314832031243154e-5,0.7412346349839937,0.49945175192435276,539.2109370353863,985.1955089572583,1559.1835647671521,5,89,3140.8103113829648,BADS
waedfc9c,7.114494007906136e-5,0.639027258830323,0.4526183374268021,960.6914961782536,869.2580839828564,1590.5787307151845,5,93,3203.8204588961353,BADS
w96b09fe,7.681610292079448e-5,1.056066665649414,0.5516932678222657,1028.9932250976562,730.7434082031249,1667.3566439730846,5,95,3357.482672404172,BADS
w9ff051d,6.922692451833505e-5,0.9585591723397373,0.4553723028115928,2050.1269206404686,767.2588011249899,1650.2377326345818,5,94,3323.1919391805136,BADS
wdcfc216,6.150432392809217e-5,0.6670060108083999,0.3487618918763474,1205.8457827253733,573.7057075893971,1598.4212704682072,5,94,3219.5590148477645,BADS
w4a3c9b0,6.94898474809489e-5,1.188024635587958,0.39649573785378833,649.9827723073848,605.1645954857576,2153.3344470381476,5,125,4330.810462762806,BADS
wde62b3d,7.085671291779161e-5,0.7665353980461259,0.5594991337452303,624.153929607746,462.0136931489469,1602.580138284466,5,92,3227.7692194541773,BADS
w5284fa9,9.566987528325767e-5,0.6038743787276621,0.5311911503391721,1166.1107789715911,764.6234106824949,1591.0228424928123,5,95,3204.815069443627,BADS
w18b16aa,8.787709369543758e-5,0.6502697793394328,0.512060017362237,924.9090671539307,572.4623322486877,2393.5083041882394,5,141,4811.760407828369,BADS
w430272a,0.00010268174677580547,0.8100633641467663,0.4896039211010088,1067.8087150857548,605.8797722410643,1606.5546005188032,5,95,3235.878585495609,BADS
w2121301,8.767797894415432e-5,0.668861831369868,0.5699918842258921,697.1229936898452,604.3666262390616,2448.410375790904,5,144,4921.6698180796875,BADS
wb14ab17,6.341201085252521e-5,0.8352448964618951,0.2943594577182171,598.3040111959554,882.451157945536,1624.7203679997497,5,94,3272.1572099108494,BADS
wc59a729,8.206325441672082e-5,0.9702434697960648,0.5129243956738985,1088.662412848256,673.6910544227268,1643.3467197416583,5,95,3309.462823941319,BADS
