wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,7.633157952403894e-5,9.134036321817712e-5,0.7761775190875022,0.6513435201718869,842.2504466633284,90.23676299550229,2423.6904415514973,6,140,4877.030737638651,BADS
wdaebe9a,9.060384837041798e-5,8.535118677906336e-5,0.8511241388320923,0.7230311059951782,1248.512268066406,301.0139465332029,1644.9751909076306,6,95,3317.2736431648646,BADS
w457a2a0,0.0001265938726859833,0.003648517212129034,0.4439231429249048,0.006010236889123972,2739.3856137990947,1126.4533266425133,1689.0870179248518,6,95,3405.497297199307,BADS
wc71252e,4.688546166576948e-5,5.841817794960814e-5,0.9032100840907696,0.6964792928718089,2016.5020520007602,601.2036641963275,1580.7468661320204,6,87,3188.289180975968,BADS
w8250429,5.7461272751273896e-5,6.987650499971161e-5,0.9855642717235604,0.6380202060149895,1092.2139911403062,142.15565424092324,1533.7161824066197,6,88,3094.2963857001087,BADS
w5dd5645,5.21129237349704e-5,5.003592769110352e-5,1.2096561702206814,0.6725137635715385,1472.068623573591,289.4911255558895,1482.2527153394171,6,82,2990.9457461624197,BADS
wa64273f,6.908815520394984e-5,4.866867415413644e-5,0.8669737280763877,0.8084768427309438,1086.82741092,243.68157954061192,1647.0473527653423,6,92,3321.2254369929788,BADS
w578a7cb,6.54701032761e-5,7.530945664362602e-5,0.8180484341418515,0.6145712376289338,549.0228387797742,269.3641282498447,1661.064705888948,6,95,3349.4526731274996,BADS
wb651fe0,0.00013913895957018475,0.0035389671700135363,0.626153334618939,0.007323684824441493,2147.198496340934,1317.9296651002005,1538.7211697674675,6,87,3104.2377882468622,BADS
wcb87506,0.00011615495137836355,0.00010552781065707767,0.8518971514701843,0.601007343530655,436.60525083541864,99.68165159225464,1437.036353235842,6,90,2901.0715644936654,BADS
w11ae0c3,0.00012947051467597216,8.29215536773939e-5,0.9415777842866874,0.6718488194778138,967.6791209460134,224.30693427336317,1458.862345651081,6,90,2944.7235493241433,BADS
w0c70a81,4.855688853928644e-5,7.43717984790065e-5,0.8350255720325367,0.6368628671345505,1237.2823598831017,179.61114010613508,1693.0249957286105,6,95,3413.3732528068244,BADS
