wid,d0,d1,d2,θ0,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,0.00013783952368201158,8.841501559553279e-5,1.2656766296269095e-5,0.42750712161901133,0.7334637869234256,0.04974379475703956,885.1065444977647,1303.6109834176639,2510.770166386271,8,140,5061.073472153416,BADS
wdaebe9a,0.00015025026110048847,0.0001866751292325074,0.00012825123508571033,0.4375974246487164,0.5504257595136902,0.345946535742451,1818.7072255674493,1726.0418587828356,1722.68168301812,8,95,3481.7943811690448,BADS
w457a2a0,0.00013220088772787137,0.00035657900588739863,0.002112082883107786,0.40188326977797256,1.1530100368383136,0.0010668982291827328,1986.7923406425687,1164.5608816215824,1668.9339749464204,8,95,3374.2989650256454,BADS
wc71252e,1.1945374767083327e-5,8.777588193459044e-5,9.38758463638902e-5,0.5739514643594884,0.9628384500958055,0.9854599426560889,1112.702672164596,919.1255056626685,1577.7188900943443,8,87,3191.165045137925,BADS
w8250429,0.0001016494741475344,0.0004919502986360651,0.0009782132060324137,0.6181695079943166,0.18419062776025388,0.17056001311633737,1793.366679130122,1384.6281330566853,1574.6342601027732,8,88,3185.087214721372,BADS
w5dd5645,8.699152952146142e-5,0.0007964251782334888,0.00033682906018106344,0.36228227615356445,0.17379842758178715,0.042506656646728536,4065.8057212829585,1813.828945159912,1524.9485969364464,8,82,3085.150947851007,BADS
wa64273f,7.945019128492859e-5,0.00036006567944707295,0.0001679705068576362,0.3922772531879673,0.39271686483243684,0.001043350501186149,2301.489559109359,2343.6070859332176,1711.1241112428568,8,92,3458.422531102106,BADS
w578a7cb,0.00010045068036461141,0.00012429738299439886,0.009999968315809182,0.35399135625688355,0.48047824938432315,0.31317838054383174,1358.3973890868947,1567.1521287760695,1713.016412782847,8,95,3462.4638406984986,BADS
wb651fe0,0.00013122781254617144,0.00020421835111188207,0.0001293926050107345,0.4647467364730255,0.5210268693140824,0.0586311477272102,1642.4805010436103,1329.002783899341,1536.872220761273,8,87,3109.4717064717825,BADS
wcb87506,0.0032726230639141,0.0019645600372691467,0.00033614747417752013,1.6901168243959546,0.19475483708083635,0.8706324533559382,1387.0668137446046,943.0009312927722,1500.7583799786037,8,90,3037.5152373198493,BADS
w11ae0c3,0.00015393314098019866,0.0004138516870132743,0.0011878897219075135,0.40267424009682146,0.8165444264465622,0.37102339579796534,1143.5046798374967,1641.5064658940535,1556.990359484049,8,90,3149.97919633074,BADS
w0c70a81,9.478704782832194e-5,0.00012182193447986913,0.009998994642973453,0.3634124988882945,0.5637456904099974,0.012701016382045537,2304.459865562751,1434.2620736808042,1745.498433597384,8,95,3527.4278823275727,BADS
wbcb6e6a,7.482066496994055e-5,0.0003589868459124601,0.0011128265129362834,0.3985199800878763,0.8814531366340816,0.03029120142105968,2175.1839684322476,898.7319771666079,1577.0991192595286,8,89,3190.1073294769144,BADS
wdf61453,3.877227183087425e-5,0.00013528660043960605,0.00014361447885158208,0.43260012996086067,0.61901975234716,0.0010117217466494208,667.7756195111066,1219.4086048507793,1686.1998639454682,8,95,3408.830743023741,BADS
wa3a9848,0.00020943275134180668,0.0002619470129215984,1.9067503691587217e-6,0.3672264463266296,0.6060965811865694,0.0021949312389802243,3130.172707847552,2547.280348523208,1625.701220555923,8,87,3287.1297060610827,BADS
wf63b737,9.594804570022905e-5,0.00011675839309828584,0.00023342168127154608,0.4779129976860941,1.2031557336310652,0.19088251604167458,476.4542199523475,1085.0564566958383,1482.5897293319663,8,84,3000.625993054679,BADS
w4ff13f3,0.0001298179812586885,0.00031753030797169096,0.0009638601847177276,0.5068206101985562,1.1392752757333982,0.4724611330305015,1308.9585901831013,958.9339727683182,1548.6417276512254,8,90,3133.281932665093,BADS
w313d7aa,0.0001253851698603248,0.00015025807647258893,0.00013952163756249283,0.42038207092134844,0.7105604728586175,0.39283562867619787,1654.4244520721484,1096.2363275757018,2457.5472263028532,8,138,4954.512482086964,BADS
w0e2f500,0.000191725080502844,0.00020178591731918915,0.00010835557956490543,0.34641695213655227,0.2950110359747725,0.34084274983797286,1356.3621835680235,1899.164246288194,1593.2892405161776,8,89,3222.4875719902125,BADS
waedfc9c,1.7718352830803462e-5,9.368406504465333e-5,0.00011255166719586431,0.2899691649377889,0.8125375388356957,0.7006544520421905,521.7415517927045,528.8624025489594,1570.6317078594636,8,93,3177.5242116641534,BADS
w96b09fe,0.00014823559832803906,0.00014454057673741745,0.0006606564002457474,0.507570514636991,0.8924288833112586,0.07834605446198112,1523.2337846106018,1517.461406935763,1710.356895934828,8,95,3457.1448070024603,BADS
w9ff051d,8.228300978771668e-5,0.00046250074571802966,0.001241560271581728,0.5542679022307937,0.28858909290170803,0.23255321306375437,2684.329677265634,1725.476562555923,1715.6182451266727,8,94,3467.5828485115053,BADS
wdcfc216,8.15226495266187e-5,0.00014572271287327328,2.2900366986772952e-5,0.3267924745328306,0.6121752135552322,0.31468231453178497,1431.923233723543,982.646757767334,1662.643907131976,8,94,3361.634172522112,BADS
w4a3c9b0,0.0001594187559885134,0.00012471884803710745,0.000339676357340488,0.6064466982987139,0.835433969944738,0.38939995360609797,1313.344773531247,1092.7702581305962,2199.7496964445327,8,125,4438.125902787484,BADS
wde62b3d,0.00012092049674251042,0.00021420107332900543,1.0933345026607086e-5,0.3098316567852407,0.2676015309196054,0.13920911993950544,1433.1035053769938,1347.8737475242722,1636.0054090608908,8,92,3308.185126738174,BADS
w5284fa9,2.453962992441157e-5,0.00014540592565907894,0.00010742692943299541,0.21587288907730395,0.8733251038877323,0.691826754112712,935.0553235916294,513.2297472203161,1564.987817250606,8,95,3166.4066496340165,BADS
w18b16aa,0.0006214027893248821,0.000994197333562143,2.3997926567036094e-6,0.08905639481265099,0.07499529532913589,0.0010381321137537935,2017.66511752503,1327.2680092224618,2471.295892254676,8,141,4982.181863632377,BADS
w430272a,0.00022291690843510083,0.00017467629703058225,0.005303071627922926,0.28397143423557286,1.0866992165893314,0.08529913157224656,1199.209226667881,1152.755805104971,1666.0840210950603,8,95,3368.599057322925,BADS
w2121301,8.630014956571133e-5,0.00021784629725082422,0.0011334710516415825,0.46533598209013805,0.45227249869465025,0.45629680798687106,673.6577349135472,1504.253949894371,2533.3672813086423,8,144,5106.493069013893,BADS
wb14ab17,0.00012784443369404547,0.00011003397302714426,1.0000087837036344e-6,0.2165206527709961,0.6598461151123047,0.15878664016723631,1462.3863220214841,1304.653739929199,1688.5479302057738,8,94,3413.4422186697075,BADS
wc59a729,0.00020506773259393513,0.0003515605205771817,2.8070494900210152e-5,0.4367140036377143,0.5219990625033848,0.0010000022344908938,2051.456592145669,1363.8213950692061,1679.5996601530758,8,95,3395.630335438956,BADS
wcb4623a,4.905828469718411e-5,0.00033474888241600523,4.898010226114634e-5,0.5894960823629163,0.2714372190178165,0.8878525270595401,899.8314995122199,1392.64186706132,1684.2470528646936,8,95,3404.9251208621918,BADS
w672a25c,0.00017104603661435204,0.0003478737549265833,0.0014755770465797605,0.36915461536968425,0.22517587487556145,0.19836531276875208,1892.028046695509,1910.6271822420151,1593.702561869058,8,89,3223.314214695973,BADS
wf36c682,0.00010333951880986349,0.0001363861482790388,0.00957481367223015,0.3336106044882809,0.6292507936163576,0.2517546911587363,907.6988680315479,1172.922083092385,1677.2271837127544,8,95,3390.8853825583133,BADS
