wid,d1,d2,θ1,Δ,T1,T2,θ_prun,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,5.3640337719016646e-5,0.00013318195748823587,1.0744178717519388,0.0010593889240408875,1056.4510681841057,499.4550118222832,0.3937227466021432,2480.6806230259467,7,140,4995.952743010159,BADS
wdaebe9a,6.283664733070245e-5,0.00012550855909066044,0.8796182107925415,0.7232741034030914,1142.3842549324033,704.2135953903198,1.0583943188190459,1668.8986700295948,7,95,3369.6744783003933,BADS
w457a2a0,5.6660669523100456e-5,0.0002402058432112228,0.9386032930988586,0.30035349079582374,1277.2866007260743,594.1581166436661,0.7411552612160449,1612.0602698314874,7,95,3255.9976779041785,BADS
wc71252e,0.0026575438440825886,0.0004318055683950162,0.01835939407348638,0.0010004806518554956,4655.777168273926,2089.0642166137695,1.4426551246643065,1647.025841614964,7,87,3325.31304006051,BADS
w8250429,5.0543164077976887e-5,9.948977158076606e-5,1.1907849226518044,0.13324058141781633,1138.5593875556203,670.5454300985689,0.9298018502767598,1523.560318097293,7,88,3078.4619938959336,BADS
w5dd5645,0.0031259947238973453,0.00029609195349446585,0.014560507686487877,0.0010000000000012206,4901.286909463802,1713.950484488429,0.05817634776522372,1524.2780772461972,7,82,3079.403189223244,BADS
wa64273f,4.455775903780699e-5,9.60514003044057e-5,0.935379378082198,0.47727850045239395,1194.859002876001,969.8446802247415,0.5958711790445158,1680.3817876240223,7,92,3392.416095287388,BADS
w578a7cb,4.0925988699127206e-5,9.668564208130422e-5,0.8557666574203178,0.36066013822768583,539.8897479317382,810.9406516334274,0.7350363223440944,1687.785995525208,7,95,3407.4491292916196,BADS
wb651fe0,5.742422738729154e-5,9.244996773065884e-5,0.9782668524053454,0.36813530089090507,771.0551558905887,764.0031196711324,1.3629048254744074,1488.5162440757997,7,87,3008.2938449821813,BADS
wcb87506,8.537908094246513e-5,0.00013652181919901048,0.7814633464244433,0.5027991891155829,451.8671569404958,359.2274354048919,1.1346673644075633,1456.4748312414692,7,90,2944.4483301752502,BADS
w11ae0c3,8.858174083741672e-5,9.617815033414766e-5,0.7672840575594455,0.5516346815042198,1014.9526251014322,605.7529849465936,1.1248673029150813,1487.8002574299373,7,90,3007.0991825521864,BADS
w0c70a81,5.0002119488312894e-5,2.1803398920364492e-5,1.0926251235804856,0.18330677259978076,1061.5926255469617,965.5445610301284,0.7036181413862962,1720.6247672048707,7,95,3473.1266726509452,BADS
wbcb6e6a,0.005602154582177289,3.2765877278660553e-6,0.00406483830767688,0.0010082724376115743,3638.8525716960426,879.118693084456,0.4080953666521236,1575.8724195096538,7,89,3183.1652936074324,BADS
wdf61453,6.79563618087746e-5,4.028796059081779e-5,0.821446381321948,0.17752935081589388,613.4837911391513,815.8736288962243,0.6453937181962102,1644.811017928788,7,95,3321.49917409878,BADS
