wid,d0,d2,θ0,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,0.0001460423761436914,6.324021665473954e-5,0.4025759791858066,0.2668723414051605,1581.7078151308335,1366.3716858008725,2515.330788474603,6,140,5060.311431484863,BADS
wdaebe9a,9.846871241995943e-5,6.39335937235119e-5,0.5709486497376718,1.059143454274051,831.4253491401398,507.1998721831217,1660.9774804812453,6,95,3349.278222312094,BADS
w457a2a0,0.00016216131417705492,1.0714169996196698e-6,0.46361973015147667,0.0010000000040600529,2186.9728424535424,1094.5632839386235,1679.459008384855,6,95,3386.2412781193134,BADS
wc71252e,5.149864554272506e-5,6.180712081902673e-5,0.6571704292297363,1.0428789520263673,1194.6231842041013,981.6089630126952,1588.829772622222,6,87,3204.4549939563713,BADS
w8250429,0.0001730059262568234,0.0007213987689900449,0.41551222768994195,0.11899139725845088,2651.517431007778,1279.2316317025322,1577.0902497556017,6,88,3181.0445203980726,BADS
w5dd5645,6.005537911700709e-5,3.186166187133723e-5,0.7516192672881152,1.0234726236938148,810.9416601982956,785.6629644571512,1481.3280739725408,6,82,2989.096463428667,BADS
wa64273f,0.00028906037056732926,0.00047128537127219506,0.17765373088730488,0.0880505945777441,2713.0344623932615,2351.8855636077205,1715.9638826999835,6,92,3459.058496862261,BADS
w578a7cb,0.00015243424324492278,9.844647812961691e-5,0.3257977230056349,0.0017718725289706239,1607.5276090545685,1553.8144725560414,1714.5052391363104,6,95,3456.333739622224,BADS
wb651fe0,0.00017605470744508562,1.3573778473046094e-5,0.47751599500687913,0.3034658578970141,1836.127699375288,1338.518446645571,1536.7520563243124,6,87,3100.299561360552,BADS
wcb87506,0.0006293363550288252,0.009945372662582145,0.3230079978385038,0.004137864120493736,1388.8694122964807,960.1811417429417,1504.1634882689336,6,90,3035.3258345598488,BADS
w11ae0c3,0.00023824940494384807,0.0003016600121268258,0.328174264622503,0.20716210139049512,1653.4709555198788,1395.3045655900496,1562.2266688177806,6,90,3151.4521956575427,BADS
