wid,d1,d2,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,5.61841431455375E-05,0.00012118061472222400,0.8195087480545040,0.7102555084228520,747.3746299743650,453.15294265747100,2472.595724930940,6,140,4974.841304397530,BADS
wdaebe9a,7.66550517865743E-05,0.00012745259763866700,0.830417652875185,0.8812151088565590,1253.538266569380,630.8013208210470,1662.3529577568200,6,95,3352.029176863240,BADS
w457a2a0,7.56539825753798E-05,0.000100538636728037,0.856612172623718,0.857075054948582,1229.24462699739,644.518965326279,1631.83817802875,6,95,3248.115970058680,BADS
wc71252e,4.54950305503167E-05,4.63847203821492E-05,1.0674245622271,0.682047513734287,1737.19576005387,1135.49697116032,1514.73596307695,6,87,3214.2202742155700,BADS
w8250429,5.60740304090087E-05,2.94282824107874E-05,0.99662598466879,0.462779667372815,1077.15175568301,636.954682145733,1522.49445638615,6,88,3098.0281070528500,BADS
w5dd5645,4.0795399898219E-05,2.33036502667144E-05,1.37190923843437,0.495847357341022,1022.19263473835,896.701706326166,1392.42751444902,6,82,2994.4838474006500,BADS
wa64273f,5.18587319055209E-05,4.77025819260472E-05,0.765324346756534,0.928013977852679,1237.94596059161,695.929381322639,1575.6657145794,6,92,3381.7045850223,BADS
w578a7cb,4.73022680636433E-05,4.73222611209661E-05,0.838439630251378,0.566514663994312,513.915659673512,747.940665856004,1680.16910604952,6,95,3397.110845084450,BADS
wb651fe0,7.12765350115731E-05,5.8118508502309E-05,1.04412169820309,0.40320651894639,760.444398384425,712.504682701547,1459.89671503435,6,87,3000.039177230670,BADS
wcb87506,0.000111840308997336,0.000101940774822359,0.826578407127818,0.53515395291528,513.323169722571,408.118694115547,1393.60906943885,6,90,2938.544793638680,BADS
w11ae0c3,0.000103865569026878,7.08836981803926E-05,0.734966595821079,0.558397621898785,1121.39214389117,604.384734985797,1479.48383617053,6,90,2999.2535715105400,BADS
w0c70a81,4.98464096376915E-05,6.42873486459255E-05,0.937509284436196,0.661028783176118,1026.63166067722,690.948585716306,1652.76294618151,6,95,3451.6703463674200,BADS
