wid,d1,d2,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,4.032307252384716e-5,7.844829063109655e-5,0.743843283988881,0.5726482366384881,913.3728484742279,501.84964794052604,2483.833060126885,6,140,4997.315974789426,BADS
wdaebe9a,9.082797827518105e-5,1.3256863745770412e-8,0.9459169544838368,0.4943000925704837,1107.6698786579075,1075.2777003683148,1681.399156830364,6,95,3390.1215750103315,BADS
w457a2a0,7.251597080457308e-5,3.755430360719536e-5,0.9404161190768172,0.3423225978902156,1230.4073311847787,634.5282480094287,1619.0747418343865,6,95,3265.4727450183764,BADS
wc71252e,3.588729104275316e-5,7.968636719657827e-5,0.9364996478417084,0.5646744743141733,1968.4578269721897,1239.2256468473422,1596.8812648906837,6,87,3220.5579784932947,BADS
w8250429,4.790337922102999e-5,8.26893979430743e-5,0.9002526585455053,0.369493668981886,1226.5459866815945,643.7787855524225,1534.2171857640728,6,88,3095.298392415015,BADS
w5dd5645,5.2373685936893665e-5,3.946865150408247e-6,1.3311631255624172,0.33478298605023443,1267.2801974381384,1105.9967348354205,1491.3880357072867,6,82,3009.216386898159,BADS
wa64273f,7.328655667461694e-10,9.06382777698573e-5,0.693979293328832,0.9440910028333978,1251.4231048282797,669.3365100235477,1716.6516698596486,6,92,3460.434071181591,BADS
w578a7cb,5.382351982145813e-5,7.107168337206159e-5,0.789403200982997,0.45205728042616106,546.2418676834205,780.8046358259164,1688.4683593180082,6,95,3404.25997998562,BADS
wb651fe0,6.38024644803532e-5,8.10477869428257e-5,0.9405048154571517,0.40934757496669905,860.2369555443091,734.9905349524677,1487.7046357674294,6,87,3002.204720246786,BADS
wcb87506,9.602247380381122e-5,4.7545560356337875e-5,0.7004876315897854,0.3244195851188124,491.25828233518433,457.6491050884219,1465.907860955475,6,90,2958.8145799329313,BADS
w11ae0c3,9.897879087633769e-5,3.7239429807246774e-5,0.6660604436482666,0.37268138306475546,1208.9316560851348,733.5764381534549,1490.3596607846873,6,90,3007.718179591356,BADS
w0c70a81,4.225862450404797e-5,1.5308607049397213e-5,0.849906136170066,0.3919685021899204,1231.148720561396,850.3753406088437,1716.7363300428267,6,95,3460.795921435257,BADS
wbcb6e6a,5.9453664300361506e-5,1.9068998418717307e-10,1.0787090738044933,0.2635889950336423,724.1102053172657,612.1375654460281,1544.0589466903061,6,89,3115.049711599005,BADS
wdf61453,7.757491171826423e-5,5.24776811804704e-7,0.7938830155680534,0.3274282601309961,621.9329946624615,775.6523753487728,1641.798834960827,6,95,3310.9209312712574,BADS
