wid,d1,d2,θ1,Δ,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,5.618414314553749e-5,0.00012118061472222381,0.8195087480545044,0.7102555084228516,747.3746299743651,453.15294265747065,2472.595724930939,6,140,4974.841304397534,BADS
wdaebe9a,7.665505178657429e-5,0.00012745259763866654,0.830417652875185,0.8812151088565588,1253.538266569376,630.8013208210467,1662.3529577568193,6,95,3352.029176863242,BADS
w457a2a0,7.873459173794819e-5,0.00012445521284776373,0.9382010605525648,0.46108328730389986,1242.2005760241518,565.7815297972772,1610.3963543545403,6,95,3248.115970058684,BADS
wc71252e,3.977578265572725e-5,8.161828997035353e-5,0.9772184920330851,0.5986929202931475,1906.8844964710252,1245.5806531987264,1593.712412751822,6,87,3214.2202742155714,BADS
w8250429,5.1472786320480345e-5,3.344538479879255e-5,0.9865487951926207,0.3283763247234856,1125.9993383371693,666.2950301268663,1535.5820430829885,6,88,3098.0281070528463,BADS
w5dd5645,4.9407360552768404e-5,3.59618800219892e-5,1.1261591573206844,0.31700029817335373,1590.6512950067336,994.6463712365424,1484.0217659585346,6,82,2994.4838474006547,BADS
wa64273f,5.76787310641662e-5,4.74541413751226e-5,0.8008010881602967,0.6559511935206683,1179.5435849882776,888.5440033765917,1677.286926780003,6,92,3381.7045850223,BADS
w578a7cb,5.111434265541896e-5,7.876229311264504e-5,0.8070265149557962,0.45028873695991933,538.3135010488329,755.7447904255239,1684.8937918674208,6,95,3397.110845084445,BADS
wb651fe0,6.443554412781877e-5,7.89533861344571e-5,0.9445265986382992,0.40648570440998355,819.126308182956,725.3651248702112,1486.6218642593699,6,87,3000.039177230667,BADS
wcb87506,0.00010106744337210158,8.754223465388162e-5,0.78055376870092,0.465225739274174,480.44213918037707,402.45103929191816,1455.7729678083467,6,90,2938.544793638675,BADS
w11ae0c3,0.0001088762989644389,5.652121016023203e-5,0.7182190583933672,0.4273834245664029,1176.395173705012,682.3239263292577,1486.12735674428,6,90,2999.2535715105414,BADS
w0c70a81,5.411226651270565e-5,1.6050455338874973e-5,0.9252209378566476,0.39755689450219506,1137.1616742340848,858.3651436521902,1712.173542508907,6,95,3451.6703463674176,BADS
wbcb6e6a,5.9090714343445966e-5,8.488656064375036e-5,1.0631825514766386,0.4328398752667272,770.5623791041943,507.6730966260584,1539.438368532676,6,89,3105.8085552837447,BADS
wdf61453,8.26178018562889e-5,1.000000000008376e-6,0.7695136074360925,0.2781541505110909,600.6211793022884,768.8026887233717,1642.0586635988434,6,95,3311.44058854729,BADS
wa3a9848,5.157727249871985e-5,0.00012168833450432373,0.9383468723297118,0.886991571187973,1339.2181992530823,1008.545911312103,1590.3547484928415,6,87,3207.5049456976103,BADS
wf63b737,8.137064714024424e-5,9.82554596140839e-5,0.9364138483814896,0.4898136393353343,1049.8443339020012,659.3655515462159,1424.636378524126,6,84,2875.8576578413117,BADS
w4ff13f3,7.95000576433218e-5,8.119884964055471e-5,1.0799350243563821,0.4092007330973138,701.8911215258413,447.8546632635698,1517.6811173652031,6,90,3062.361092752388,BADS
w313d7aa,6.713226047880977e-5,9.221228681438377e-5,0.9979580686532427,0.42641777396551334,787.244560488034,553.9759438019246,2387.6633842459046,6,138,4804.890290602752,BADS
w0e2f500,5.493807500718465e-5,7.642502192052224e-5,0.7626580661904881,0.5354207923900685,505.56456458871236,1001.2343779671936,1561.0753804542396,6,89,3149.082579126872,BADS
waedfc9c,7.739102228765147e-5,1.000660292932433e-6,0.7254724064017434,0.32478143903699147,845.1377025791151,1029.5311351276537,1601.6713999411338,6,93,3230.538396841187,BADS
w96b09fe,5.806758655289429e-5,0.00014393733932918597,0.9919984843162819,0.7370192243473139,1015.6621767440809,608.9188448619095,1665.4547723413166,6,95,3358.2328060322366,BADS
w9ff051d,8.16608079961455e-5,3.23744035409228e-5,0.9842915378297993,0.37146120328353394,2131.2305721432035,832.4852298956555,1650.2584127356222,6,94,3327.7765941648645,BADS
wdcfc216,6.399653332708496e-5,3.308924934593115e-5,0.7018787178769708,0.3219385400414467,1187.3122965916991,659.0420281514523,1599.1461732954651,6,94,3225.5521152845504,BADS
w4a3c9b0,6.850725733227115e-5,2.0307673744261693e-5,1.1782071702893604,0.3043371201194842,680.6267622350441,718.4946812074868,2158.868618038005,6,125,4346.707118499824,BADS
wde62b3d,5.8505007539204487e-5,0.00010170198890281435,0.7488708663644673,0.602592372170657,584.7284580097522,446.89875780627233,1601.3891214300952,6,92,3229.9089743224845,BADS
w5284fa9,9.450467087889171e-5,0.00011919686634157232,0.6146820837214,0.5953615162045843,1149.5627107584824,724.3473577795155,1589.9265557937097,6,95,3207.1763729370227,BADS
w18b16aa,7.012870772242732e-5,0.00013926215072183022,0.6409200296690688,0.5767657898273318,894.4152507930993,518.2932879775761,2392.8791057779717,6,141,4815.450770898213,BADS
w430272a,0.00010910573569282218,5.391568245030435e-6,0.9463344816002492,0.3461595593869396,870.1516525364326,720.0624672691359,1617.742212161697,6,95,3262.807685672997,BADS
w2121301,9.339951029220998e-5,7.988366760266868e-5,0.6530161036062976,0.5353971754925749,744.7209209437119,629.0740069553406,2448.6324550100458,6,144,4927.083789817548,BADS
wb14ab17,6.642601186947397e-5,5.645686446817726e-5,0.8459660400496796,0.25148920899257066,607.1669634431601,897.8469174820929,1624.7926632005979,6,94,3276.845095094816,BADS
wc59a729,7.229657494797828e-5,0.00010301571728178482,0.9455639153753872,0.5264377663773484,1067.0595819363368,671.6631369665264,1641.9123757869359,6,95,3311.148012923475,BADS
wcb4623a,6.373137968399105e-5,5.329353664274644e-5,0.8399313187748313,0.4035018636029255,1046.4079833455228,1630.0717755794096,1682.149571344829,6,95,3391.6224040392613,BADS
w672a25c,7.374185572080828e-5,6.720845870534073e-5,0.8114593377312258,0.6274328804937978,1098.568014198099,818.3177379668904,1547.2506408034933,6,89,3121.4330998253795,BADS
wf36c682,8.351693329985703e-5,2.9968389387851477e-6,0.737565811110835,0.3187898745134589,651.3373961584874,721.052130809403,1640.9051920721424,6,95,3309.1336454938883,BADS
w5c58b96,5.792381964642188e-5,0.00010228227637957307,1.110391664200715,0.6554608845299071,1437.6138493345932,683.1141429535364,1464.5538328751536,6,83,2955.620709397087,BADS
w397496b,9.477037484298262e-5,7.87592584907835e-5,0.7325045530952774,0.5501985692146263,905.511221470988,634.999809310284,2486.956262658025,6,145,5003.772927770574,BADS
w9376389,5.6917508259879385e-5,5.9212448487226504e-5,1.1211540720836202,0.662285682448879,1714.808144414235,1265.7269978331783,1583.1944028722328,6,87,3193.184254456393,BADS
w158db17,9.712936314306194e-5,1.0000000021444487e-6,0.7996907720807941,0.229796911100857,913.9496151823549,486.49555742740614,1567.205076667642,6,95,3161.7334146848875,BADS
w9864444,7.935965855049836e-5,0.00010565429524176402,0.507048512995243,0.3886138305068016,681.1288088560103,304.47445213794686,2358.8256343326675,6,145,4747.511671119859,BADS
w05e5ad5,5.3853714252995894e-5,8.041649040574078e-5,0.9745796025062009,0.659170022324979,457.2692023153649,687.9287954187021,1649.8501641484825,6,90,3326.6991863189464,BADS
w6d23692,8.219963411773689e-5,2.7459234842200664e-5,0.7437286533717209,0.42784854872277994,817.9254803310638,546.7838177053145,2448.987490713413,6,140,4927.624835962482,BADS
we289943,8.528172564424368e-5,0.0001065865266684185,0.7411384546126373,0.47748497245184807,954.2441098303697,494.98130547690374,2378.4539259765234,6,141,4786.600411295316,BADS
w6f95ee3,9.724167866919644e-5,1.9914616400366017e-5,1.0566676726811617,0.32081601515322467,1251.6443327822792,1178.8876083244054,2482.3568833608006,6,145,4994.574169176125,BADS
w6eb2a0a,6.41022996464197e-5,2.3922555852294574e-5,1.3074016312839694,0.43851038795742625,2088.538350262206,1269.0265748637557,1330.5817254483045,6,75,2687.068379577827,BADS
w2424d8d,8.73258918700302e-5,0.00010661133399974603,0.7707056420901791,0.4648557563134818,768.0042786261764,639.2582207743543,1668.9527900028788,6,99,3365.4762991065654,BADS
