wid,d1,d2,θ1,Δ,T1,T2,θ_prun,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,2.852593769186291e-5,0.00011007826923227594,0.729064016006887,0.27265009434893733,768.976687081158,460.56578140705847,0.7869558876752853,2474.905437556727,7,140,4984.40237207172,BADS
wdaebe9a,7.296880093877269e-5,2.0175821519941858e-10,0.8544100097165939,0.3519071400775283,924.4219664931734,1044.1237987273782,1.9999386851948655,1680.8364947523405,7,95,3393.5501277458848,BADS
w457a2a0,4.608331461824305e-5,4.68401250242635e-5,0.759772935703279,0.30252454385050276,1069.41717256353,603.8552257848127,1.6350758518260056,1632.3273229802387,7,95,3296.531784201681,BADS
wc71252e,3.149367877238729e-5,5.37864970531953e-5,1.1766963618170154,0.02564739540052189,1601.1761868302929,1420.6273301456238,0.9876968188882403,1600.5960862167117,7,87,3232.4535292640053,BADS
w8250429,4.062286218949707e-5,4.9581804990623305e-5,1.0662996739987283,0.0027136556198820248,950.4510770784694,705.7097351411361,1.0860254342854023,1530.2954272966003,7,88,3091.932212294548,BADS
w5dd5645,3.371244460522436e-5,4.219534805688176e-5,0.9733579834097189,0.2301203914816529,1285.113680673112,967.9648193542849,1.9999846508592973,1486.9601402220067,7,82,3004.767315174863,BADS
wa64273f,1.2320254616474604e-7,8.689282505986972e-5,0.6003994959592819,0.5791379603743553,1213.0270943045616,703.8204416632656,1.057008796930313,1697.8365743333281,7,92,3427.3256687059998,BADS
w578a7cb,3.990887467918899e-5,7.885754267786416e-5,0.7688356987945735,0.2905795908358414,329.3275971838739,797.8079906839413,1.1042393001227173,1683.7944004562778,7,95,3399.4659391537593,BADS
wb651fe0,4.9733115254918795e-5,5.4630341401550534e-5,0.8642801378690638,0.24152658818289638,564.7972805134486,777.0814619027078,1.6756031398545017,1492.3695401097812,7,87,3016.0004370501442,BADS
wcb87506,7.12192898650991e-5,4.170314507345804e-5,0.5842021073261275,0.2276629578042776,508.64585209637903,485.64160505775357,1.1429540869360788,1473.03091786384,7,90,2977.5605034199916,BADS
w11ae0c3,9.574996138345666e-5,1.47281815366328e-5,0.7399557333055418,0.2930792177654803,939.2405541904736,702.8778680483811,1.547706037116004,1497.9295244715727,7,90,3027.357716635457,BADS
w0c70a81,3.4346238694571974e-5,2.0071397804546287e-5,0.8145253804163076,0.30683653306128694,932.8728065127509,794.321125600254,1.7101880148801136,1712.4932756034,7,95,3456.8636894480037,BADS
wbcb6e6a,4.667385755491014e-5,2.255552516931614e-8,0.8810825487030666,0.16956454999310014,644.4571283205337,583.560921289501,1.9658585970882088,1545.325525582411,7,89,3122.071505752947,BADS
wdf61453,5.6499563836708424e-5,4.2833209913773403e-7,0.6178694685246183,0.2504926212202645,600.9355631145129,685.5749861891811,1.828695474870028,1646.508666907944,7,95,3324.8944720570917,BADS
wa3a9848,4.00732586373647e-5,9.073828034649284e-5,0.8970217454425741,0.6284796412967313,1182.2850878205913,979.7415549313545,1.485591326514947,1586.956890567975,7,87,3205.175137966532,BADS
wf63b737,6.862986075807867e-5,2.395448979639138e-6,0.7843014896232933,0.2717355748496955,989.7108969560603,766.6823380768624,1.8852879149550275,1440.0581102100755,7,84,2911.131938012054,BADS
w4ff13f3,5.4723501234279035e-5,4.683796311879797e-5,0.7719414282776416,0.2013770797941834,805.264687491581,537.4341448536144,1.4127784549677744,1524.4723183616945,7,90,3080.443304415701,BADS
w313d7aa,3.8509584933322326e-5,9.310229606908662e-5,0.8102809185093693,0.2840217663957341,649.3192870120199,498.98969731175845,1.702457910718555,2403.4753341221503,7,138,4841.441444040401,BADS
w0e2f500,5.134661800137798e-5,1.2151799993360971e-9,0.7182209329366015,0.2858858413599955,246.22797091033172,1090.3772191071766,1.6229354945450905,1572.4604395828167,7,89,3176.341333753758,BADS
waedfc9c,6.307562035427542e-5,8.190182665448738e-5,0.5564690669082666,0.3815772407092618,862.768859170501,791.18147995996,1.374003993576757,1585.867342475079,7,93,3203.4628814022312,BADS
w96b09fe,6.817707407350352e-5,1.000000004288896e-10,0.8804537361254916,0.2575548254419118,940.5807705828922,894.722322560847,1.824067112477496,1681.7468799719693,7,95,3395.3708981851423,BADS
w9ff051d,5.369833545449644e-5,5.742726629300457e-5,0.8447797466468108,0.30064513384495983,1895.2033742626493,765.4143016911489,1.6543787182086438,1650.4293107695837,7,94,3332.6616850150576,BADS
wdcfc216,6.001492633239951e-5,1.0000702717894099e-10,0.5664067077636719,0.20771751403808597,1166.1491394042969,625.603485107422,1.670926818847656,1604.6295075093008,7,94,3241.0620784944917,BADS
