wid,d0,d1,d2,θ0,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,0.00019725215212027945,0.0001644511649760536,0.00792239859588672,0.31165556638045033,0.3653261019401903,0.0010076162018962918,1908.6268006458808,1353.5656623950408,2507.5512950258353,8,140,5054.635729432545,BADS
wdaebe9a,2.9446850184577415e-5,0.00011962489406060291,9.439260807250317e-5,0.3846595177647869,0.9938161431430068,0.905493154172295,789.3566417947374,435.4427498436467,1651.242733745318,8,95,3338.9164826234405,BADS
w457a2a0,0.0002169363026248003,0.00042756286800054415,0.00154394855061822,0.26283657880797306,1.1516554645639714,0.0014456933555242312,2308.130334575314,1105.9477175398986,1667.903185771254,8,95,3372.2373866753123,BADS
wc71252e,1.0000063379991516e-6,0.00013314843670620257,9.811004248801015e-5,0.609117519993415,0.8648127915208351,1.0109499386450622,1251.6722997663237,934.9009043207843,1578.030284606524,8,87,3191.7878341622845,BADS
w8250429,0.0019619493766815073,0.00013480795048154796,4.166459669408221e-5,1.5774292005540336,0.6612952268765366,0.780770003721409,2637.4373686783656,1312.4956349660351,1577.9340734002737,8,88,3191.686841316373,BADS
w5dd5645,7.338423111071314e-5,0.0006864615836293211,0.001640675035746244,0.4566871712391731,0.32059537652996367,0.0013955679966603074,3282.360863406211,1705.7144899852574,1525.5979770316653,8,82,3086.449708041445,BADS
wa64273f,7.082109044003989e-5,0.0003073708791012064,0.0002741704278863696,0.40389944545446266,0.4872674175917746,0.04709612928729258,1830.5570185626493,2427.1049047685665,1711.0126320351137,8,92,3458.19957268662,BADS
w578a7cb,0.00014012575212459403,0.00013278480181537687,0.009355404940554214,0.24778624253314094,0.6194731339377052,0.007902065508935754,1501.4808015105925,1488.5333238140558,1710.9997719273324,8,95,3458.4305589874693,BADS
wb651fe0,0.00016996225303353717,0.00038528044037625114,0.0013835006545226732,0.36064202117617244,0.2907836422231048,0.0010676872963085804,2212.0701150619425,1306.835978105664,1535.965715442835,8,87,3107.6586958349067,BADS
wcb87506,0.002404722824681583,0.0005000359629088267,9.462522368235947e-5,0.8201458939630992,0.6826897981450475,0.06881553328368231,1319.0278286583177,963.7214392781516,1490.954848171965,8,90,3017.908173706572,BADS
w11ae0c3,0.005077733604122052,0.0002402893789709829,0.0013620925490503888,0.41707927730400113,0.6843355247518047,0.3694944895990193,1740.104476036504,1411.4752834662795,1557.196056606906,8,90,3150.390590576454,BADS
w0c70a81,7.220133332592294e-5,0.0001748827239410256,6.461181923446818e-6,0.4696146526793018,0.35925694265868513,0.0010000002849846915,2355.6442994624376,1365.181770827621,1747.1287564778631,8,95,3530.688528088531,BADS
wbcb6e6a,0.00010153636645220624,0.0002317240749749684,1.198454574572291e-5,0.3214085580036044,0.7162204110249877,0.09146115424111488,2580.437356978655,901.6960559412835,1576.6350344021444,8,89,3189.179159762146,BADS
wdf61453,6.754883940057987e-5,0.00023608095241867152,5.605687274997249e-6,0.3386687357346818,0.4649496582331631,0.0010056878869363478,1368.5228968490264,1147.8224326732743,1682.3880657113114,8,95,3401.2071465554272,BADS
wa3a9848,0.0003899401319785809,0.00023710326495448585,0.0001344822511759263,0.1759363090991974,0.61825178027153,0.05110326528549195,3150.225186347961,2562.6147747039795,1625.5182352834686,8,87,3286.7637355161737,BADS
wf63b737,0.00010942543495513329,0.0003750422868187143,2.9092091737334926e-6,0.42607597530353813,0.8146779303206131,0.30852597553748634,2027.3073932621628,1149.5835814159361,1479.8561523578278,8,84,2995.158839106402,BADS
w4ff13f3,0.00016060271601169322,0.0003367408379053303,0.0006853543314631385,0.4271237182819391,1.0874255921070946,0.0012259875777331532,1412.1529544080147,955.867485032104,1548.091257020529,8,90,3132.1809914037,BADS
w313d7aa,0.00022086253311946603,0.00018770392377376593,0.0016427962874465728,0.26449628426555133,0.481147572692571,0.007935593198708405,2467.5286091092858,1032.9289868328488,2455.6304910232257,8,138,4950.679011527709,BADS
w0e2f500,0.0002960610661524776,0.0004180794317954274,0.0025352728613073435,0.2541994598093345,0.12564973987294253,0.03205493839021302,1784.0765849636,1900.02185804841,1592.8755543866553,8,89,3221.6601997311677,BADS
waedfc9c,1.2760210802556237e-5,0.00016647307211802102,0.0001250204473544703,0.3970605278015137,0.5274874687194824,0.7440461921691894,648.5733032226562,583.9269638061522,1573.3011734939118,8,93,3182.86314293305,BADS
