wid,d,θ,vigor1,vigor2,T1,T2,neglogl
w3c803c1,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wdaebe9a,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w457a2a0,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wc71252e,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w8250429,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w5dd5645,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wa64273f,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w578a7cb,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wb651fe0,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wcb87506,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w11ae0c3,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w0c70a81,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wbcb6e6a,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wdf61453,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wa3a9848,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wf63b737,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w4ff13f3,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w313d7aa,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w0e2f500,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
waedfc9c,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w96b09fe,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w9ff051d,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wdcfc216,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w4a3c9b0,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
wde62b3d,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
w5284fa9,0.8350140057163223,0.2996498249124562,0.18367346938775508,0.2244897959183673,0.04904904904904905,0.04904904904904905,1.0e6
