wid,d0,d1,d2,θ0,θ1,θ2,T1,T2,neglogl
w3c803c1,0.00020760866864131755,9.157817661795808e-5,0.0001341745934624597,0.4189418601989746,1.1225056266784668,0.8122752380371093,551.9092559814453,895.8611488342285,314.9466211001012
wdaebe9a,8.698675399968154e-10,0.00013097472643005907,0.00016089515583992724,0.24323974609375001,1.0490649414062498,0.648931884765625,1372.735595703125,1080.62744140625,192.3739734825249
w457a2a0,7.278013606157123e-5,0.0003086970439207157,0.000641957920073339,0.401700963973999,1.8924833345413206,0.543496265411377,1240.4840230941772,1202.7384757995608,136.8907588264654
wc71252e,5.512883109688176e-6,2.01826141277798e-6,8.303295390822928e-5,0.49100221633911134,0.20304592132568364,0.6274678611755371,2744.206428527832,1462.8366470336919,316.3449007280152
w8250429,0.000246447055020005,0.00010230284120314875,1.6386173127226807e-5,0.56711669921875,1.2633615112304684,0.6885705566406249,1250.4577636718752,1220.6161499023442,181.4198815932937
w5dd5645,4.791772776287849e-5,0.0009691884582901511,4.347779566050863e-7,0.6040438079833984,0.45698729991912845,0.8019440126419066,1996.9075202941897,1231.7461013793948,251.61356120430963
wa64273f,2.0827350856914302e-8,0.00012697822388043413,9.790022533387254e-5,0.3716046905517578,1.2013883209228513,0.7933094024658203,447.8275299072266,1044.053268432617,250.06810373169878
w578a7cb,1.1564060405421463e-6,8.165011243460676e-5,8.084511973715304e-5,0.12250343322753908,1.0630381774902344,0.5505074310302734,851.3565063476564,608.3778381347657,238.99336163844342
wb651fe0,2.9066084758303785e-5,9.51617060090607e-5,9.678188296482023e-5,0.4178296661376953,1.4835929298400878,0.63472261428833,262.5911712646483,1047.0404624938965,185.10387468798484
wcb87506,0.0005910361907252084,0.00019902702362425975,0.00023764615178253597,0.5813033103942871,0.9515204238891602,0.9803676033020019,635.0199699401859,756.5396308898925,77.87722909662597
w11ae0c3,0.0007350772938216531,0.00023304062728262505,0.00011052411122980719,0.366748046875,0.7408078002929687,0.4928244018554687,1714.337158203125,1281.2698364257812,94.63844442563013
w0c70a81,8.941616011957862e-6,0.00013288443710790643,0.00011176590168009536,0.43753570556640625,1.257983703613281,0.6970677947998046,616.2628173828126,902.4269104003907,237.93218385711288
wbcb6e6a,8.79640911545926e-6,0.00014282876264507785,0.0004028687436703916,0.3270640563964844,1.617186508178711,0.4840703582763672,857.5431823730469,922.260665893555,183.8591159975826
wdf61453,2.9693148482024714e-9,0.00014330125702369644,0.00011639061654721092,0.293392333984375,1.1781323242187498,0.47466674804687503,203.33251953125045,888.4765625000001,194.39769200025017
wa3a9848,3.5226946514730955e-8,3.40968959071232e-5,2.5655453004431717e-6,0.5161181640625,0.42354736328125003,0.73509765625,891.3879394531249,942.8222656250001,321.9647554634092
wf63b737,6.570008296327394e-5,0.00019198361283035055,0.000705571873102382,0.3577900695800782,1.669129180908203,1.4953776550292968,713.0054473876957,613.3514404296878,138.60355572014586
w4ff13f3,0.0005990432665577055,9.709352009485819e-5,9.007359014202562e-5,0.5626074981689453,1.3081362915039059,0.8466248512268065,999.6850967407227,687.6218795776372,144.51056863086126
w313d7aa,0.00015668875932769297,0.0001029735843403044,0.00014897939994513274,0.38307029724121094,1.1411070251464843,0.6394149780273437,768.3822631835941,718.524932861328,303.42984340381247
w0e2f500,9.459999496377828e-5,9.562254597892859e-5,0.00013595410774531729,0.3835159301757813,0.6422549438476562,0.8359466552734375,535.2294921875003,1095.851516723633,190.51907540965564
waedfc9c,0.00011639061654721092,0.0001625314837311867,0.00015451293558569793,0.410616455078125,0.586090087890625,0.59225341796875,563.3728027343751,1280.5419921875,160.69615946841404
w96b09fe,8.903370440828379e-5,0.00017479266073930103,0.0004147900874125244,0.5524259185791015,1.1296942901611324,1.1248678588867187,728.1082153320315,1299.3446350097654,189.16525482052572
w9ff051d,3.7138488016446165e-5,0.00020798100939610823,0.00017607472610139008,0.5477203369140625,1.2804919433593749,0.8339979553222656,1383.1680297851562,1078.1406402587893,196.70002320745422
wdcfc216,3.1658350372262177e-6,0.0007660856788569169,0.0001969851981919202,0.35763145446777345,0.840486068725586,0.4763813018798828,1422.8355407714846,929.114532470703,164.6042831420063
w4a3c9b0,0.0009017333353397994,0.00010489431546588549,0.0007098985499241857,0.9069155883789062,1.4667514038085936,0.9956494140625,806.9580078125002,1315.963745117188,203.4445364316438
