wid,d1,d2,θ1,θ2,Δ,T1,T2,neglogl
w3c803c1,8.15332945607695E-05,0.0003931193160454010,0.7995048332214360,1.2320978116989100,0.4325929784774740,980.5147409439090,1165.284824371340,309.04635119672500
wdaebe9a,0.00012560271393661500,1.0357591749804E-10,0.7602041625976560,0.9337744140625000,0.1735702514648440,1771.3516235351600,1441.3955688476600,213.77210971492500
w457a2a0,0.00014480634185809000,4.890206966341E-08,0.8683886384963990,0.8862625789642330,0.0178739404678340,1854.1059970855700,1338.2236480712900,144.93020524280900
wc71252e,2.0802485807037E-07,5.12095059490875E-08,0.7472732543945310,0.5459378051757810,-0.2013354492187500,2612.4969482421900,1939.2410278320300,322.35576646807800
w8250429,7.63118047136224E-05,0.00013499974457013800,0.8687796294689180,1.1728354763984700,0.3040558469295520,1959.1553390026100,1199.0367054939300,196.16471646218200
w5dd5645,6.08429419035195E-05,3.98392614984547E-05,1.0360811614990200,1.2493731689453100,0.2132920074462900,1823.9990234375,1315.0539398193400,239.87683641810800
wa64273f,1.02103547730867E-10,0.00017101422104629000,0.6016664695739750,1.2839928054809600,0.6823263359069850,1672.7742195129400,1220.37353515625,284.1143404254810
w578a7cb,7.23800936390747E-05,0.000176657202045024,0.7640562438964840,1.0192226409912100,0.2551663970947260,980.670166015625,1385.8974456787100,240.2404491880600
wb651fe0,8.18166695224259E-05,1.21027968119457E-06,1.128916320800780,1.190428771972660,0.061512451171880,283.1527709960940,1424.6551513671900,182.94942043509200
wcb87506,0.00020223251491131100,0.0008320013940247370,0.7052010679245000,1.0456023168563800,0.3404012489318800,1078.5121440887500,1120.0182199478100,82.40404752523000
w11ae0c3,0.00024267792317745700,0.00014274222423121000,0.6771390569210050,1.175032012462620,0.497892955541615,1807.1401417255400,1038.0134880542800,108.57130740999000
w0c70a81,8.15870243430298E-05,0.00023238652272213300,0.7249462890625,1.043505859375,0.3185595703125,2088.934326171880,1186.4074707031300,243.70331806595900
wbcb6e6a,6.50432007090454E-05,0.0009999297331483670,0.8484319305419920,1.060409698486330,0.211977767944338,1476.7566680908200,1044.781112670900,187.11450195543600
wdf61453,8.26197240757956E-05,0.0009999297331483670,0.733760757446289,0.8056360626220700,0.071875305175781,879.014587402344,1385.8367919921900,187.38445861941700
wa3a9848,6.68409670504946E-06,1.70810053115127E-06,0.6301246643066410,0.41294281005859400,-0.217181854248047,2138.003158569340,2169.603729248050,322.29636323352
wf63b737,0.00013178540780749200,0.0009999956081771150,1.0631127643585200,0.0010000085830689200,-1.06211275577545,1227.648186683660,1346.9918966293300,129.85645899518500
w4ff13f3,0.00011873669626716000,0.0005528594611095450,1.046897201538090,1.372194137573240,0.325296936035150,1186.5894317627000,1118.050765991210,142.6810267638070
w313d7aa,9.78168483476797E-05,0.0003320533066995240,0.96063796043396,1.060735898017880,0.10009793758392,1116.3941621780400,1231.7081928253200,293.8542243648280
w0e2f500,6.8610937935327E-05,0.00024394767124339700,0.6348689556121830,1.112340097427370,0.477471141815187,757.0476055145270,1446.4070796966600,191.7885256692820
waedfc9c,0.00010453548640403800,0.0009752858594751500,0.6236352527141570,0.8475844490528110,0.2239491963386540,1232.3346316814400,1611.9158267974900,159.54114239867400
w96b09fe,7.25073578908817E-05,0.0005620252912863000,0.7837094116210940,1.315281524658200,0.531572113037106,1722.646713256840,1185.6189727783200,197.8131041240710
w9ff051d,0.00016676577788702400,8.99328708056391E-05,0.9688774490356450,1.143000965118410,0.174123516082765,2789.8786544799800,1344.0009117126500,197.39151681179300
wdcfc216,0.00015623523741518600,4.06139287933478E-06,0.5378319120407110,0.5887771034240720,0.0509451913833610,1914.2934083938600,1264.5749092102100,157.8562250908460
w4a3c9b0,0.00012079007474252900,0.0009999297331483670,1.1983897399902300,1.3755401611328100,0.1771504211425800,1187.1959686279300,1341.923522949220,217.3030994459430
wde62b3d,7.6141571773652E-05,0.00016457320937637500,0.7801419878005980,0.9733523070812230,0.1932103192806250,629.3621182441720,1242.739582061770,204.86097793396400
w5284fa9,0.00011291646231207500,0.00043550033646086000,0.46053017616272000,0.731140775680542,0.270610599517822,1556.910514831540,1396.4094877243000,135.15200557434400
w18b16aa,0.00010490352943587700,0.0009934513549868240,0.6049690628051760,0.8416416931152340,0.2366726303100580,1119.4003105163600,1318.4353828430200,240.2481361950300
w430272a,0.00012769404789448100,0.00027610263835001000,1.0155367279052700,1.2065697479248000,0.1910330200195300,786.8209838867190,1293.3399200439500,162.60140529233600
w2121301,0.00010009139185353100,0.0004716773474534320,0.6013095855712890,0.9474606323242190,0.3461510467529300,937.1208190917970,1229.2896270752000,254.93787496293600
