wid,d0,d2,θ0,θ2,T1,T2,neglogl
w3c803c1,8.765663327768402e-5,0.00014095524155546916,0.533824166059494,0.7764210236072541,452.3121118545531,1115.6786382198336,323.72434775007434
wdaebe9a,0.00011967420344910117,0.00011395868693342214,0.6068013978004455,0.9538203430175781,923.1164515018463,1153.3341526985168,207.43410638303513
w457a2a0,0.00012874821332753845,0.00030088016230490975,0.6611981201171875,0.7779690551757813,993.0435180664065,1200.4791259765625,161.61503345838688
wc71252e,1.8542059014354848e-9,9.17005258636347e-6,0.5721470642089844,0.6713570404052734,1698.809814453125,1909.7633361816406,322.30232214947847
w8250429,0.0001253701433131683,2.8567582442856182e-5,0.6709746646881103,0.781496353149414,1204.539132118225,1312.8135442733765,192.54319213350578
w5dd5645,5.414272968054196e-7,0.0002575212406300766,0.3560722794942558,0.6294801041670144,4818.319463450461,921.7421183362604,305.3246078420893
wa64273f,8.459511319499617e-5,5.51327050984912e-5,0.5126475143432617,0.8911060047149658,1195.1833009719849,1067.3215389251711,264.72388405391035
w578a7cb,8.221721632811078e-5,9.421853617385408e-5,0.5772793960571289,0.7394218063354492,219.52705383300776,1300.7245063781738,242.32184888204242
wb651fe0,0.00010677018917539141,3.793437192963084e-5,0.7461119651794433,0.8431560897827148,162.17899322509805,1327.1998405456545,173.0327287705859
wcb87506,0.00031002683605552915,0.00014725541364175756,0.4451413238048554,0.48538270950317386,1094.9407637119293,1192.454832792282,89.6967116291394
w11ae0c3,0.0003869306500105644,9.825299778092049e-5,0.5051614475250245,0.8003724956512451,1723.3707666397095,1041.3882970809939,109.7968412446327
w0c70a81,8.275890420066277e-5,0.00010452779672252393,0.6352696239948272,0.8617076849937438,846.591401100159,1129.6583652496338,248.88507471005977
wbcb6e6a,7.935917931724169e-5,0.00027520798211816703,0.6739836311340331,0.7228635215759278,535.9383821487427,1176.422357559204,192.91263839128968
