wid,d,θ1,θ2,T1,T2,neglogl
w3c803c1,0.00012379506791930446,0.7308240175247191,0.99920503616333,1250.7743000984192,1245.061480998993,329.05666121472814
wdaebe9a,0.0001227581381565523,0.760234375,1.1276398468017577,1793.732833862305,1347.5643157958987,197.67924662097437
w457a2a0,0.000149194817794791,0.8615932083129884,0.8927785444259644,1961.1218452453616,1370.2563762664797,142.85786199099485
wc71252e,9.785895774017555e-5,0.9382156372070312,0.02927551269531255,2324.0280151367188,1784.6954345703127,300.02121693936874
w8250429,0.00010674287826592177,0.9771025395393372,0.7412865960597992,1855.386358499527,1373.7306952476504,237.54294100939643
w5dd5645,5.993297740381271e-9,0.9009109029173851,0.5236772245168686,1919.652730226517,1428.3720850944521,305.08872473441363
wa64273f,5.941866913767639e-6,0.8303122782707214,0.3042438086867333,839.396357536316,3041.9719606637955,340.3381253615492
w578a7cb,7.67307973672365e-5,0.7899194765090943,0.9978303718566894,844.5253849029542,1391.9666051864624,241.47831261631762
wb651fe0,8.429100850284568e-5,0.9771141052246093,1.1107360076904296,1111.0755920410156,1370.248794555664,174.83448710193733
wcb87506,0.00020025100623351179,0.792075650691986,0.9503269749879837,1000.202785432339,1122.9120641946793,86.34806483039128
w11ae0c3,0.00018721916815876715,0.5084352445602417,0.9703026247024537,1934.2787981033325,1090.6732082366948,107.51008146061017
w0c70a81,9.180601463099502e-7,0.9817417141149053,0.10206341140117733,256.47980632929824,1373.814449227939,353.4167265584856
wbcb6e6a,7.748971785283493e-5,1.0614690208435056,1.186470947265625,921.6086387634278,1131.4703941345217,190.40550887802533
wdf61453,9.191785627112667e-5,0.8134836161136627,0.8686724698543549,685.6184124946598,1386.896336078644,186.25549405912415
wa3a9848,3.1351710414456744e-8,1.0188737674057482,0.2292864549160004,1360.0555989891293,1346.846126392484,322.3143690295408
wf63b737,0.00013390615416167392,1.0094942474365232,0.2811412048339844,1204.118347167969,1304.924774169922,129.5036186684069
w4ff13f3,0.00013022320998775047,1.0531325221061707,1.1346658825874327,1196.4484989643097,1195.7168638706212,142.91125937429157
w313d7aa,0.00012041718669183347,1.0894891357421874,1.282908935546875,1107.80029296875,1023.3703613281252,306.55450418931747
w0e2f500,0.00011296184721307668,0.5686541092395783,0.9675574266910553,1275.5418539047241,1474.585455656052,195.3929476084056
waedfc9c,0.00013132723402023772,0.6131717300415039,0.7910623550415039,1362.5306129455569,1386.6252899169924,161.19544837357145
w96b09fe,5.606693530592968e-8,0.6892475032806397,0.9267056560516357,1671.0493803024292,1356.4159631729128,307.845851529088
w9ff051d,3.102927997273223e-10,0.7754718112945557,0.9554834413528442,2479.4379234313965,1467.6093339920046,292.18372327872294
wdcfc216,0.00013267916643521437,0.5310128784179687,0.6037945556640625,1909.3994140625,1313.7802124023438,152.16563869653135
w4a3c9b0,0.00011629251364037248,1.304903564453125,1.3407656860351562,1218.1900024414065,1309.65576171875,219.03282140420188
wde62b3d,8.659643233600667e-5,0.7234658813476562,1.0380676269531248,1000.321960449219,1078.201293945313,209.85174940231167
w5284fa9,0.0001895323109960468,0.3994435310363769,0.6604767990112305,1843.5484647750854,1315.929627418518,136.55707771839968
w18b16aa,0.00019317064234534404,0.48025167584419254,0.6598130702972411,1657.479065656662,1288.0990624427798,249.45585299709245
w430272a,0.00015616046398323147,0.9507920217514038,1.1611666440963744,1127.9790163040163,1238.9904260635376,162.98073843789598
w2121301,0.0001237018606696599,0.6017645418643952,0.8299767553806304,1032.5679242610931,1246.3228881359105,260.06427523059415
wb14ab17,9.16269307207026e-5,0.7489767736196518,0.849197154045105,1030.5912300944333,1429.6022176742556,213.05220744062422
wc59a729,0.00012896552570783014,1.1319073486328124,1.3728210449218747,1251.6708374023435,1138.127136230469,189.82519780342324
wcb4623a,6.735489146039637e-5,0.9357759857177734,1.2849633789062498,1003.8398742675781,1869.5499420166018,235.63102286233942
w672a25c,0.00011215139695141067,0.8423818969726563,1.360796508789062,1377.1026611328127,1137.6419067382812,175.9679648153063
wf36c682,0.00013409624312567012,0.6891403436660767,0.8228118133544923,1145.4321146011353,1179.74693775177,183.55623662747433
w5c58b96,7.747474513755443e-5,1.0490649414062498,1.2284057617187498,2062.73193359375,1429.022216796875,193.15033592173455
w397496b,0.00013536576040253884,0.7087177443504333,0.9876146852970122,1273.2730269432068,1299.5493412017822,263.4991437823546
w9376389,7.315645070988394e-5,1.3292656330764292,0.16692416928708553,1933.4452245384457,2430.626217648387,321.8542436186689
w158db17,0.00011790112370486392,0.7340232276916504,0.5618805122375489,1232.6862335205078,879.7575950622561,138.8301512647857
w9864444,0.00015229039061366543,0.4153215646743774,0.471448655128479,1147.433686256409,1159.9662542343137,163.50751082857906
w05e5ad5,7.081329817247884e-5,0.8608591413497925,1.0739807319641113,1025.5311489105225,1215.5591487884524,268.00419684060586
w6d23692,0.00010457451738854912,0.7271370422840118,0.89164994597435,982.1571290493014,1145.6794679164889,299.7493219073876
we289943,0.00016260091668305362,0.64691237449646,0.8364700615406037,1614.1069412231448,1110.197061300278,236.11084992365915
w6f95ee3,0.0001642767763099639,1.2057162475585936,1.503308410644531,1707.7865600585938,1367.3980712890625,259.8406205667464
w6eb2a0a,7.755917462268482e-5,1.1746541213989254,0.5830952835083008,2942.877578735351,2120.625877380371,192.46884837098807
w2424d8d,0.00018109081502520294,0.7408380126953126,0.9419695281982422,1336.1614227294926,1325.744152069092,160.0101433717862
