wid,d,θ0,vigor1,vigor2,T1,T2,neglogl
w3c803c1,0.00011933056831951951,0.8958672904968262,0.10038223266601586,0.10869216918945321,1053.6517143249514,1308.4275245666504,378.94152900267096
wdaebe9a,0.0001280709070044952,0.788244104385376,0.18269252777099632,3.3391813278198246,1827.4676561355593,1909.092354774475,260.0037737953167
w457a2a0,0.00013170382516889572,0.8307048034667969,0.1262359619140627,0.10000305175781254,1843.3475494384768,1379.2861938476562,151.3971563475414
wc71252e,9.897246635613169e-5,0.5999378716945648,1.6236340522766115,1.7947384357452394,2980.332177877426,2002.0725607872012,322.30495886872194
w8250429,8.961744915579068e-5,1.0684310913085937,1.9211181640625001,0.1000244140625,1575.804138183594,1387.29248046875,238.9649788890615
w5dd5645,2.9416934406247246e-6,0.8490758323669434,2.0111976623535157,0.42166061401367194,5579.159736633301,1420.4700469970705,305.6213146941451
wa64273f,2.1540310194228613e-7,0.08282724663615228,0.5066611409187318,1.012860205769539,2598.5306669026613,2044.2367054522038,340.305284788627
w578a7cb,7.431795487839468e-5,0.9905269956588745,1.7599636077880862,0.26608428955078123,446.2543249130249,1411.584281921387,288.00572680826184
wb651fe0,8.502867855541494e-5,1.134014663696289,0.10000305175781254,0.10000305175781254,784.3341827392578,1359.9376678466795,193.53731734252852
wcb87506,0.0002254856438066546,0.6525366020202636,0.4950614929199221,4.999997711181641,1140.5532836914065,1130.3179740905766,98.84588292184448
w11ae0c3,0.00026335396170792935,0.8453974723815917,0.15680541992187508,0.9076316833496095,1692.2288894653323,1402.4862289428713,154.42695185135216
w0c70a81,5.448471948097496e-7,0.5333977699279785,1.316783905029297,1.521520233154297,2368.835926055908,1156.7933082580566,353.4372271873284
wbcb6e6a,8.420812627163337e-5,1.0785597991943359,0.1157257080078125,4.1388671875,1161.8427276611328,1267.198181152344,196.79302582172386
wdf61453,9.338801355922097e-5,0.6624103927612305,2.635874176025391,2.2326766967773444,1202.3290634155276,1415.4812812805174,189.77878144184382
wa3a9848,1.781093199766708e-8,0.4951828575134277,2.0476577758789065,1.2747482299804689,1784.5589637756348,3500.193977355957,322.76471089407886
wf63b737,0.00012288759833690497,1.1368697357177733,0.10000305175781254,0.10000305175781254,905.1563262939457,1348.7773895263676,130.68569287235468
w4ff13f3,0.00011488142274868876,1.214415531158447,0.6931364536285402,0.23642106056213397,828.1877458095554,1212.0848298072817,153.10022406430022
w313d7aa,0.00011089753043489003,0.9853469848632812,1.2095825195312502,4.92294921875,1273.9913940429688,1225.468444824219,309.50889356085725
w0e2f500,0.0001401518439040962,0.6112796783447266,2.1907852172851565,1.8844230651855471,1261.7090225219729,1780.4800033569336,244.3645871198321
waedfc9c,0.00020341813286748117,0.6443443202972411,1.0276918411254885,0.12211570739746097,1482.533931732178,1631.688928604126,169.37587350411826
w96b09fe,0.0001161781647534034,1.112246627807617,2.1348052978515626,0.7364715576171876,1567.6158905029297,1744.7246551513674,257.22198683027875
w9ff051d,0.00014292916271710972,1.0314360046386717,3.2337677001953127,0.10000305175781254,2684.4322204589844,1449.0379333496091,231.07923494610253
wdcfc216,0.00012003701455880329,0.4900373077392578,1.0189666748046877,4.999981689453125,1950.704574584961,1332.886123657227,168.58773016340004
w4a3c9b0,9.802413256077908e-5,1.5761882781982421,4.999981689453125,3.3625610351562503,488.34419250488276,1376.6780853271487,230.31902676287564
wde62b3d,4.0288477856122464e-8,0.370527341067791,2.95758672952652,0.43435032367706305,2888.327643275261,8040.3140887618065,347.5005079564322
w5284fa9,0.00016488972872714494,0.5182859039306641,4.993978881835938,4.994107055664062,1634.7595214843752,1488.5841369628906,183.11059276299005
w18b16aa,0.0001453294117378048,0.7525302124023437,3.5114135742187504,2.1644775390625,1010.2691650390626,1395.7839965820312,282.82396447582653
w430272a,0.00019030467747603442,1.1386598205566405,3.690536499023438,0.9046783447265627,1199.387359619141,1343.7431335449216,175.0862566639993
w2121301,0.0001458396387327708,0.6254266357421875,2.363858270645142,0.4784052371978761,913.6848032474521,1667.5068259239197,331.3610000561883
wb14ab17,8.642564846186592e-5,0.7955100691318512,0.10088591575622566,4.500669860839844,922.9761898517612,1530.868285894394,223.6160781775888
wc59a729,1.0011249413998758e-9,0.8559472656249999,0.43515625000000013,0.10019531250000023,1004.9316406250002,1386.3220214843752,298.23720109650645
wcb4623a,7.031466280492866e-5,0.8774887084960937,0.6493774414062501,0.19923095703125016,1307.2296142578125,2256.0958862304688,269.59589211478806
w672a25c,0.000181808020000226,1.2752708625793456,3.0382331848144535,1.038395690917969,1098.8842010498047,1602.7798652648926,238.51195544709282
wf36c682,0.00014094440856500791,0.6860327148437501,0.22819824218750023,0.1000244140625,1183.9813232421875,1247.0611572265623,199.349291308589
w5c58b96,0.00012153384738867567,1.2603626942634583,0.183820390701294,3.4806678771972654,2235.26229262352,1447.7708399295807,215.08586655073503
w397496b,0.0001260791168261493,0.7444860422611237,1.1846210002899171,1.0451872348785403,1259.3084633350375,1502.9268383979797,341.65790865187444
w9376389,2.564907360679874e-7,0.5654301744699478,0.5067556858062746,1.0539134025573733,2726.5218511223793,2142.4498319625854,321.9560489001218
w158db17,0.00011704675423592727,0.8287412333488463,0.5871583938598635,1.0423427104949952,961.902588605881,1189.862835407257,139.83028263082198
