wid,d1,d2,θ1,Δ,T1,T2,γ1,γ2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,3.3445628811583657e-5,0.0003350779341183376,0.7613114437321201,0.9351401303836611,742.8758092341014,406.765929912217,0.00028453222662113884,0.2298339220865071,2465.2353423448085,8,140,4970.003824070492,BADS
wdaebe9a,7.210234461493137e-5,0.00016701663064315022,0.8013258334947749,0.8893111812090501,1226.048738742247,654.4249451253565,0.0009830766544066825,0.03848641507819384,1660.9228184939475,8,95,3358.2766521206995,BADS
w457a2a0,7.422415229846134e-5,0.0002525292703208861,0.9289795487977347,0.6523115083291111,1163.7164242667614,546.7430181018476,0.00013384874066119714,0.06678776312572027,1618.749835776403,8,95,3273.9306866856105,BADS
wc71252e,6.819741150567971e-5,5.6910359120904024e-5,1.0615655589103696,0.3227292847633362,1822.0356225967407,1153.2560467720034,0.12094455147380831,0.24959285499235392,1595.6909962234677,8,87,3227.109257396172,BADS
w8250429,4.624770965652807e-5,0.00015197097870276572,0.9530952696757231,0.2854751235112417,1108.5572704190781,637.453738686418,0.09437989169372901,0.0838828667566454,1530.6323651995137,8,88,3097.083424914853,BADS
w5dd5645,4.409131505221695e-5,4.217485169400382e-5,1.130930893018376,0.37737270128447564,1488.2264955434948,952.9477572999896,0.00010828178776131624,0.00019780902752656508,1487.126065687164,8,82,3009.5058853524424,BADS
wa64273f,7.563330570529228e-5,6.690992106624798e-5,0.8966655016504228,0.8187147661577909,1125.9555946104233,590.6889446545393,0.03242438370295335,0.20788116622080616,1681.1834044649054,8,92,3398.541117546203,BADS
w578a7cb,4.463672042393429e-5,0.00023899218703517196,0.8397200910188257,0.6351691175997257,439.2638619989156,695.6951426342131,0.00013158811343610193,0.21599083095649518,1685.3202619837964,8,95,3407.0715391003973,BADS
wb651fe0,6.111569234003484e-5,8.121925160813848e-5,0.9096695653491406,0.4348349636304829,859.8787440796513,751.9712982542844,0.00010000000004087987,0.00044217352627390274,1487.802643308221,8,87,3011.3325515656784,BADS
wcb87506,7.712897631898563e-5,0.0001443210567752707,0.6427960116649046,0.45186972483061255,511.6971683688461,367.5227370113134,0.0001281327778345016,0.029302428485202137,1464.4288278438557,8,90,2964.8561330503535,BADS
w11ae0c3,9.547526730816993e-5,0.0001150754440622179,0.6429412433505058,0.5301511758565902,1189.234440028668,605.9275776147842,0.013542859536158294,0.13891272471965627,1485.0380081048165,8,90,3006.074493572275,BADS
w0c70a81,3.5805590974841174e-5,0.00020761795763338107,0.9105290979146957,0.5025625613331794,1045.3873783349993,651.0081350803379,0.1257198963825226,0.13829295426869692,1706.5100279255323,8,95,3449.451070983869,BADS
wbcb6e6a,4.626956320958059e-5,0.0003003753900335152,0.9263908580876886,0.6454996514879168,870.6016577780248,479.3444447219375,0.005538434334713969,0.04699251592761111,1531.7340093535831,8,89,3099.3771096650235,BADS
wdf61453,5.8937596058202336e-5,0.0002289271712463551,0.7008537864685058,0.4470927381515503,680.3574085235597,622.6128578186036,0.00012912699046135299,0.13310239286079406,1639.9373204645133,8,95,3316.305656061831,BADS
wa3a9848,4.683580648543748e-5,0.00012055053120082095,1.0050473594665525,0.7670661544799805,1224.9055862426758,1043.4108734130864,0.00010012405624389774,0.10658380754508973,1592.178342344387,8,87,3220.0839496380104,BADS
wf63b737,7.287765034412594e-5,0.00027721255729392367,0.8606952338750125,1.1253153975569876,1068.3347738842715,520.412175139063,0.00015447799628718185,0.13022856806481153,1432.3449538251605,8,84,2900.1364420410673,BADS
w4ff13f3,4.1330205598159556e-5,0.0002849296077840895,0.8866240749441204,0.6268949077106662,721.9438962987628,420.0760995590826,0.00010182300077307815,0.044369670085059966,1520.6436800778988,8,90,3077.2858375184396,BADS
w313d7aa,6.320972972751475e-5,0.000120086366908022,0.9371102234872524,0.4745779086140101,793.4248563949951,524.7718063212235,0.009604736823980014,0.03946649548122109,2391.0525371694416,8,138,4821.523103820141,BADS
w0e2f500,4.448039777623824e-5,0.0002684314788436168,0.7405774639606534,0.7357263921322555,450.0775694838013,909.6924967197991,0.00010362261725345186,0.11881089820590227,1541.5695240275816,8,89,3119.0481390130203,BADS
waedfc9c,4.9607786805082046e-5,0.00017361160278269643,0.6183420806268578,0.5748498281879438,948.8395177729675,786.9591570626654,0.0005537067144204608,0.013311599007410614,1585.9098198299623,8,93,3208.080435605151,BADS
w96b09fe,7.098824303013584e-5,0.00010521737416106173,0.9218760479377351,0.5691260539857785,1174.6114111261252,680.7281525439975,0.08051244410400445,0.060396134412540645,1671.3914668421335,8,95,3379.2139488170715,BADS
w9ff051d,6.127629248313244e-5,8.536393256668342e-5,0.9571286010742187,0.43584381103515624,2053.302001953125,739.36767578125,0.06042245448913575,0.0004902253112792958,1651.1608791120475,8,94,3338.668116482255,BADS
wdcfc216,7.574141710482398e-5,6.117562114454203e-5,0.6496636601237966,0.30526956506928143,1244.4964955377147,622.5023953230992,0.03780500862683582,0.056561158906966766,1595.6801700885167,8,94,3227.706698435193,BADS
w4a3c9b0,5.383168928716474e-5,0.0006635646116224445,1.0026365268777588,0.7558151430462021,794.5675297407436,502.4075704044662,0.012231592154895762,0.2666680523667144,2164.227369007702,8,125,4367.081247913822,BADS
wde62b3d,5.045700914401318e-5,0.00012130270666087581,0.7260805282448564,0.527425088224918,569.1708679485603,467.1740236051849,0.004974135802811712,0.03614094265502809,1602.7110816907539,8,92,3241.5964719979,BADS
w5284fa9,7.558830658253269e-5,0.00018128568552243767,0.5556291182354653,0.6752474396256912,1146.9399483048624,681.5746778022005,0.010908290731694182,0.06879161426507663,1590.4555312602126,8,95,3217.34207765323,BADS
w18b16aa,6.008857494026357e-5,0.00024605634690074715,0.5933145558748856,0.6483948110289476,931.1402364711286,512.5097518569421,0.056726447023107744,0.09372914549576673,2390.482704026993,8,141,4820.555487177011,BADS
w430272a,0.00011468333575242175,0.00019532740307113153,0.8727102386497426,0.8074663187167607,998.0581547366457,540.6318063731305,0.00019900763908759964,0.10275622072659452,1603.7813310293798,8,95,3243.993677191564,BADS
w2121301,0.0001243103588668385,8.65853261082356e-5,0.6258209794784614,0.5631159894528355,812.8151992754514,485.33682532176965,0.0859549018969383,0.08117482204953846,2450.0708858608873,8,144,4939.900278118383,BADS
wb14ab17,4.6276237015484654e-5,0.0002229808670915283,0.7490320720523596,0.24650753900408745,673.7511262297631,867.0805007219317,0.00010000026323199209,0.13275957758885323,1631.6468919039112,8,94,3299.640142065982,BADS
wc59a729,4.94604114718777e-5,0.00031870707842359265,0.8233300268650056,0.945207180622965,1133.9567681774497,527.0243003964426,0.02405094829666093,0.05664467161879503,1639.8723719840423,8,95,3316.175759100889,BADS
wcb4623a,6.798037534479277e-5,6.322367865714837e-5,0.9082780895382165,0.3832457076758146,968.7857463955879,1603.9733320474625,0.10349668394130768,0.050002882890186465,1686.5435135995522,8,95,3409.518042331909,BADS
w672a25c,4.678641233179781e-5,0.00015444665600051252,0.7811007642027106,1.0291698773833924,1072.1564291336106,600.5709521734389,0.025056205169686655,0.09348378714099581,1550.2041937014071,8,89,3136.3174783606714,BADS
wf36c682,5.395028963144393e-5,0.00019331284546861922,0.63457549853425,0.5300424340451718,701.8920050002637,527.673425071407,0.07836750408804995,0.05497579089090999,1633.9223438679696,8,95,3304.275702868744,BADS
w5c58b96,4.8313908795959524e-5,0.00013373506856388377,1.0464292238510096,0.719290081435538,1411.7189734155547,731.2195705795606,0.05500133922566941,0.04253747038619196,1468.0015348825232,8,83,2971.353794627419,BADS
w397496b,9.105094275810526e-5,0.00016256697034113196,0.754795560300746,0.7312281191791249,786.7422188058982,538.1140958069412,0.00010070911465771353,0.12082176049930626,2489.520222419199,8,145,5018.854314777763,BADS
w9376389,4.9756937003974345e-5,5.861595721239438e-5,0.9361734676361084,0.582717628479004,1924.7262954711914,1283.230257034302,0.00012063832678795009,0.00010002973775863663,1591.5133334725765,8,87,3218.7539318943896,BADS
w158db17,7.140761152533515e-5,0.00013189368401899466,0.6800582122802734,0.354604549407959,1006.9009780883792,440.49282073974643,0.00010012405624389774,0.02032445957660675,1565.3625659582017,8,95,3167.156147049208,BADS
w9864444,6.0952584698446915e-5,0.00018188360639224068,0.48150582877482523,0.34916805191955064,689.3528051208706,316.422691693879,0.0013557439859857596,0.07869379992402079,2360.896567717846,8,145,4761.607005375057,BADS
w05e5ad5,4.830416307081044e-5,5.866072048554344e-5,0.9454712855909019,0.6252958888234571,573.570031160489,736.1392495222391,0.00010000003296225735,0.0004603595102943473,1653.0565116951843,8,90,3342.1115007530107,BADS
w6d23692,6.168463502719305e-5,0.00013453708327408191,0.6952319791616173,0.5389186635997613,823.9168652624356,422.22199547395604,0.0023758640251917516,0.09966820793333538,2446.074775611783,8,140,4931.682690604441,BADS
we289943,9.20210561093594e-5,0.00017220235110251435,0.7188024849886279,0.49247043349845626,996.3887440178952,471.7224374850048,0.07924346409079298,0.07183270519268468,2375.2347086746477,8,141,4790.0594964723205,BADS
w6f95ee3,8.696790742531422e-5,0.0001034577788790584,0.9750099692493677,0.4781356920488179,1332.623691856861,925.4708882421256,0.0001000000790162043,0.008207044529286589,2490.2367061432356,8,145,5020.287282225836,BADS
w6eb2a0a,5.740886715009084e-5,4.549113657453054e-5,1.2899733520606238,0.5166261254341226,2084.8272552277194,1201.0149289715632,0.04320823161425212,0.001883425934213007,1333.911641728522,8,75,2702.3631883653343,BADS
w2424d8d,8.131222132353733e-5,0.00017067904514462675,0.7129587493939834,0.6329830239631519,772.9407979359165,558.3103459970517,0.0002668038023800803,0.04512303322141529,1668.7145152378816,8,99,3374.18998927684,BADS
