wid,d0,d1,d2,θ0,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,8.93276583532498e-7,3.9832499515393086e-5,0.00010250849524428509,0.29054470626637335,0.6949631600175052,0.7113231251761317,449.1778074298056,231.0137270251291,2444.5027415164463,8,140,4928.538622413767,BADS
wdaebe9a,1.1001410107437908e-5,0.00010740675603857642,0.0001050079706425099,0.31826038893443187,0.741877224559139,0.8761486249136213,917.9305658159141,371.92910895719245,1645.1089896951785,8,95,3326.6489945231615,BADS
w457a2a0,3.0731748218785514e-5,0.00017871965944750364,0.00013175642951605243,0.5275593056660728,0.8149921841621836,0.7377905552439552,599.4474391870431,532.4082582139456,1611.499567045661,8,95,3259.4301492241266,BADS
wc71252e,6.0974198000578846e-5,0.00035108259143491874,0.00027765796426121493,0.41002551892929656,0.251636446726788,0.27410220997049983,4014.391293568241,2187.02300839675,1656.0611645269596,8,87,3347.8495940031557,BADS
w8250429,7.756323740245763e-5,0.000128741318400041,3.399550471358077e-5,0.6015275351690069,1.0548432755390966,0.9314522029017827,493.0356665638101,431.5382912613134,1530.798766836871,8,88,3097.416228189568,BADS
w5dd5645,6.277623891575367e-5,0.0002073573934625837,5.684725528716437e-9,0.6950755443132948,0.8738084770622663,0.0013817681674845462,2236.0906037851237,1622.369198506931,1529.4050360033675,8,82,3094.0638259848492,BADS
wa64273f,1.8714509733303057e-10,0.00016488149717833504,6.111579657723346e-5,0.45091118685435505,0.9036029544658959,0.9038769539771601,566.0926748532804,489.15033789817267,1638.4293183891466,8,92,3313.0329453946856,BADS
w578a7cb,6.092910345298785e-7,6.916505982102988e-5,9.316613934599992e-5,0.29359918658370593,0.7472663914503573,0.6452819355025167,244.2407055752487,510.3916872264562,1661.4533004542664,8,95,3359.3376160413372,BADS
wb651fe0,8.155446576117758e-5,8.300961034297504e-5,6.531035837424323e-5,0.40564997372781364,0.9301622384779512,0.7394428980916563,387.5882662610821,535.3996039642655,1478.5037179118376,8,87,2992.7347007729118,BADS
wcb87506,1.6739462968701546e-7,0.00034113207233818016,0.0001410206921081632,0.3563823129820957,1.2087924806588124,0.6364436763764387,11.772159425527317,282.9464009253572,1435.2081105235043,8,90,2906.4146984096506,BADS
w11ae0c3,1.3908242502430745e-5,0.00036418702384728485,8.998488192225827e-5,0.34723477323743285,0.7918488016871561,0.7230954188124451,895.310355232141,427.16407014086184,1453.0133524432936,8,90,2942.025182249229,BADS
w0c70a81,6.556059142645364e-7,4.1513932176513274e-5,7.369908562314537e-5,0.3170033851076733,0.7237671427809256,0.6795290054001816,782.6061699252024,375.7778604031045,1701.3722608753367,8,95,3439.175536883478,BADS
