wid,d1,d2,θ1,Δ,T1,T2,γ,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,3.043805910617201e-5,6.348148936607668e-5,0.773379233620042,0.5262423774625729,862.1217405587446,544.1050755461931,1.4649934400234408,2491.52482461465,7,140,5017.641146187565,BADS
wdaebe9a,0.00013128319317118946,9.371843135206558e-5,0.8644652766580982,0.6470686940861223,1285.5199182681113,749.8685532073023,0.6003809117827797,1660.447935517774,7,95,3352.773009276752,BADS
w457a2a0,8.41122385788392e-5,9.832402390074217e-6,0.9524402887379256,0.3185240214085934,1268.2672247628943,663.2304521936021,1.0865940166455472,1624.1873127310591,7,95,3280.251763703322,BADS
wc71252e,3.433172150401172e-5,4.972787716480949e-5,0.9527798601823224,0.4899287991318261,1927.0968941923456,1303.7550805999897,1.0889687643380144,1597.0270058682138,7,87,3225.3153685670095,BADS
w8250429,4.71134636287928e-5,9.381086627543924e-5,0.8789155686915411,0.4837589391793267,1303.6271223603596,606.2017772147442,0.9217311957245502,1536.413342385089,7,88,3104.1680424715255,BADS
w5dd5645,3.8920199674674344e-5,4.739521621891735e-10,1.129366129339214,0.38863826055272516,1380.6524216853177,1007.315401028609,1.251158783725893,1494.433675537376,7,82,3019.714385805602,BADS
wa64273f,3.576097722078025e-5,4.4496771314934654e-5,0.7814532211486949,0.6785840482542699,1218.1673340677662,1205.7789485705146,1.3178655385310092,1687.9459860246739,7,92,3407.544492088691,BADS
w578a7cb,5.763146769887888e-5,5.669386192985439e-5,0.8327788485432394,0.4286716037194128,445.49620589095866,795.3550730831925,0.6631293303447344,1684.511231352706,7,95,3400.899600946616,BADS
wb651fe0,1.5082465377408331e-5,6.560046268892723e-5,0.7989566070854776,0.4324679885094318,1002.6942008547994,780.4962298265625,4.418260030211962,1505.413883097692,7,87,3042.089123025966,BADS
wcb87506,0.00018529339332520856,3.248610014335835e-5,0.8218148299226732,0.26485445121306955,463.6070907548233,441.04854341103453,0.530230228726916,1458.5269317082996,7,90,2948.552531108911,BADS
w11ae0c3,0.00022592432588968575,6.656741168395429e-5,0.6564342877455055,0.47747065408155326,1257.1905005723238,416.91109016537666,0.3195492892614938,1481.3138305856264,7,90,2994.1263288635646,BADS
w0c70a81,4.2664111443780626e-5,7.146546143739649e-8,0.8462547383423217,0.3347470231671095,1310.0650213698616,817.3892369414373,0.8340627697686364,1722.5619208440544,7,95,3477.0009799293125,BADS
wbcb6e6a,2.862847671920044e-5,5.6134195635192265e-5,1.0475917460212985,0.3650202730846649,765.2870058247572,564.2785386586186,2.279519868533075,1542.7189585074998,7,89,3116.8583716031244,BADS
wdf61453,0.00016157235922942647,2.151814099199903e-8,0.7835924376780167,0.22770137655083092,711.479939054698,759.2187624191869,0.3705137105043139,1634.4256996271474,7,95,3300.7285374954986,BADS
wa3a9848,3.5031682609503946e-5,0.00011355445187086714,0.8826267103847931,0.8274109728683834,1492.48824625829,1047.7136491404965,1.1422579732357137,1592.1441225677613,7,87,3215.5496019661045,BADS
wf63b737,7.143183072333004e-5,5.045461628456261e-5,0.8351328512435975,0.3400398267310629,1077.9670123885812,777.2850423374622,0.9596506794123643,1433.5936396663299,7,84,2898.2029969245627,BADS
w4ff13f3,8.343101308558673e-5,2.797007666708358e-5,1.0877447031733753,0.2905976626656775,466.8286943713615,526.9796112344919,0.7274789469547281,1521.9117811752885,7,90,3075.322230042889,BADS
w313d7aa,7.329029088547476e-5,8.328373940390848e-5,0.8708042877934895,0.40264838563469313,820.1186454819435,568.0111036197559,0.7099529251511747,2393.620455028106,7,138,4821.731685852312,BADS
w0e2f500,1.6564658671099985e-5,0.00013451854250466294,0.6458219251036644,0.6617947855591774,613.159765303135,907.6445490121844,2.8604050957295293,1571.643212290015,7,89,3174.706879168155,BADS
waedfc9c,3.7688148510848546e-5,0.00010095252619225279,0.6317032493921579,0.4938403306421969,908.8646131735006,914.3915601005573,1.8891004030285528,1596.0321179340788,7,93,3223.7924323202305,BADS
w96b09fe,6.75448220299441e-5,0.00012954819386922121,1.0514234188687395,0.7501294470625544,975.1074545678877,652.7551314821043,1.1755657117051106,1678.3016426804375,7,95,3388.4804236020786,BADS
w9ff051d,9.856313276830952e-7,0.0002082172750302359,0.7304978080815635,0.7351618654708727,2247.0432337431703,531.0178689513123,3.617580866586452,1692.7836971369973,7,94,3417.3704577498847,BADS
wdcfc216,1.6827479133960656e-5,4.4080531106863055e-8,0.6558058770606294,0.32171704181702804,1219.804067414953,712.0802796853244,3.7815025559565294,1617.6544967063458,7,94,3267.1120568885817,BADS
w4a3c9b0,4.8867658451278085e-5,7.089025548218941e-6,1.115815075641949,0.31015804338339875,514.8972733939447,736.6082943904986,1.34637962406724,2162.9875526151127,7,125,4359.773301391341,BADS
wde62b3d,8.258877933512832e-5,8.465515111515465e-6,0.7921958951297146,0.3799093876928592,490.62036052934707,531.004402062618,0.7527706601605835,1617.0230050228997,7,92,3265.698530085143,BADS
w5284fa9,0.00019629652577114105,0.00017959488863170274,0.5541066117676758,0.3809348963968194,1236.6625581132441,720.5476452717788,0.011645432984839589,1563.0587893451475,7,95,3157.9947169314987,BADS
w18b16aa,8.661279594702483e-5,0.00012700708123394868,0.5954597272835235,0.4766216368124742,942.7654084978315,560.1716001105619,0.5186416021942198,2391.4654737475876,7,141,4817.572266727822,BADS
w430272a,0.00016352926292639012,8.184308339136159e-7,0.8994903936551418,0.33993299612076955,1027.344595664181,686.2132325069979,0.684881529725152,1615.4088119173855,7,95,3262.6947620759747,BADS
w2121301,0.00010502561642440016,5.838149532380382e-5,0.6192409403813097,0.4982334219855934,722.9116880275789,640.4566415120485,0.47780647782144486,2454.758628946493,7,144,4944.305950990018,BADS
wb14ab17,5.271664981415177e-5,5.277752682437353e-6,0.8610344322977471,0.3228893515217351,474.74352556455426,917.831294987991,0.6646015176352207,1638.9149154554405,7,94,3309.632894386771,BADS
wc59a729,1.9174330428593744e-5,0.00021474805518928395,0.872882415712811,0.8496502779598814,1161.0745204379782,585.5149901879485,3.6414576931145715,1666.9509516301187,7,95,3365.779041501441,BADS
wcb4623a,6.571241620826216e-5,5.628235568553103e-6,0.7690370552945439,0.36320058981304726,1114.1510394532347,1776.8601941978845,0.5890370921473083,1691.5698809954847,7,95,3415.016900232173,BADS
w672a25c,0.0005548896983491016,9.596496013466362e-5,0.7639191971327819,0.39328396798591714,1311.611996453212,780.5457242076956,0.029559308588680513,1549.1019606696523,7,89,3129.6243759274294,BADS
wf36c682,6.908914174695523e-5,2.276306696951112e-5,0.6521836402240763,0.40823062084360684,735.6796136576979,637.5651192000363,0.7934818697864167,1641.931884719042,7,95,3315.740907679288,BADS
w5c58b96,2.8726891541871347e-5,8.254808770176344e-5,0.955813306375785,0.6507487748077255,1494.6873139258971,700.8251913401184,1.0486722668149815,1482.8151675330594,7,83,2996.562219320695,BADS
w397496b,0.00013560296653667008,0.0001232475798836807,0.6659753091989115,0.46623386450512044,903.2240861193713,573.2499114368698,0.1734289854433401,2478.9795826916475,7,145,4992.796301580239,BADS
w9376389,3.5144666963361745e-5,1.85490171445125e-5,1.0087570446042808,0.5093438567459089,1940.1249356804328,1461.2039500891117,1.5997223456030532,1590.8755054718827,7,87,3213.0123677743472,BADS
w158db17,0.00012008758007880299,3.264274262242983e-6,0.792226933664956,0.2052590465111325,980.7786945477573,483.47815416314023,0.7628951972476505,1567.410713359871,7,95,3166.6985649609455,BADS
w9864444,8.204314986627602e-5,1.3975376916044255e-9,0.5007867904833042,0.2859660288994156,677.2023603440496,379.6845592847063,0.7324351616717345,2385.5838753205817,7,145,4806.004886838107,BADS
w05e5ad5,1.6767281150831458e-5,9.158175797134803e-5,0.7351008386299839,0.7065867286170578,737.4236890699082,695.384927010059,0.9663068989489214,1680.7307077265796,7,90,3392.960083145471,BADS
w6d23692,0.00016404097608908207,4.541422866762627e-5,0.7279599743972903,0.35517997030130577,858.537665851509,501.51614741289455,0.304347137988321,2444.7906766877286,7,140,4924.172850333723,BADS
we289943,0.00014300249740730928,8.801655609435768e-9,0.7874380923195713,0.3046574189688545,1017.3436776101881,554.5908533367765,0.6423476298329672,2398.9511613976665,7,141,4832.54364202798,BADS
w6f95ee3,0.00010831333204203265,0.00017350930953826483,0.957915539741516,0.746781535744667,1356.1416000127797,767.9557919502258,0.589996879080832,2478.666274590023,7,145,4992.16968537699,BADS
w6eb2a0a,2.9431067079051637e-5,4.4300981438160816e-5,1.1776782214613921,0.6204262995357749,2178.673681793589,1223.7399995115993,2.0473069013490504,1334.1395564352456,7,75,2698.5015296652455,BADS
w2424d8d,0.00011355907824670477,0.00010888256940990019,0.7088064894790296,0.41142552311690456,794.1817000036739,590.301862999377,0.39799078476050453,1667.4178255142695,7,99,3367.001489979481,BADS
