pda,ana,mean_ll,diff
-16.567448323267318,-16.64938511760428,-16.608416720435798,0.08193679433696133
-16.79026236871458,-16.664234254599272,-16.727248311656925,-0.12602811411530723
-18.326462388677612,-18.477860179445685,-18.40216128406165,0.15139779076807258
-19.44259181952191,-19.182573828979226,-19.31258282425057,-0.26001799054268204
-19.201016936349866,-19.332447163655637,-19.26673205000275,0.13143022730577059
-19.547777372994954,-19.482973711079126,-19.51537554203704,-0.06480366191582831
-16.39316068750678,-16.353552593899575,-16.37335664070318,-0.03960809360720319
-17.773221837263765,-17.911274789210225,-17.842248313236993,0.1380529519464595
-15.070737037894107,-15.059503794459324,-15.065120416176715,-0.01123324343478238
-17.400559714801958,-17.387735436124494,-17.394147575463226,-0.012824278677463496
-18.355795027666904,-18.096942465919952,-18.226368746793426,-0.25885256174695215
-15.29156057675035,-15.411619588330286,-15.351590082540318,0.12005901157993648
-21.777053158702575,-21.009657845671246,-21.39335550218691,-0.7673953130313294
-16.277349433425492,-16.140996772068995,-16.209173102747243,-0.13635266135649715
-17.189693396783305,-17.03590380209841,-17.112798599440858,-0.15378959468489484
-16.128464983543886,-16.221647253825974,-16.175056118684928,0.09318227028208881
-16.985223228626545,-16.655060997371592,-16.82014211299907,-0.3301622312549526
-15.512722602764313,-15.259392367118902,-15.386057484941608,-0.2533302356454108
-15.759134950302537,-15.657066849143316,-15.708100899722925,-0.1020681011592206
-18.7733224884834,-18.58462625237261,-18.678974370428005,-0.18869623611079334
-21.77878272671177,-21.49183692448147,-21.63530982559662,-0.28694580223030286
-16.473041678361675,-16.356470154216545,-16.41475591628911,-0.1165715241451295
-16.840212140112484,-16.87542853334762,-16.85782033673005,0.03521639323513526
-17.870634765772106,-17.765308380962892,-17.8179715733675,-0.10532638480921364
-18.12962645425485,-18.229770138830435,-18.179698296542643,0.10014368457558476
-18.201873557962127,-18.6202768025133,-18.411075180237713,0.41840324455117184
-15.669460745609328,-15.658577621483094,-15.66401918354621,-0.010883124126234378
-17.377045351894967,-17.324546742599335,-17.35079604724715,-0.05249860929563255
-18.59218597997846,-18.746612346368998,-18.66939916317373,0.1544263663905383
-18.455787637072927,-18.50401328790098,-18.479900462486953,0.04822565082805497
-18.10899005713543,-17.638428485102203,-17.873709271118816,-0.4705615720332261
-17.97477479340742,-17.886201790567632,-17.930488291987526,-0.08857300283978731
-18.236120598594326,-18.118562420022876,-18.1773415093086,-0.1175581785714499
-16.977714735861262,-16.97704388770395,-16.977379311782606,-0.0006708481573127756
-16.11451310089641,-16.05244376136397,-16.08347843113019,-0.06206933953243876
-18.69228797305635,-18.549750647925485,-18.621019310490915,-0.14253732513086348
-16.981110244508812,-17.009984893603292,-16.99554756905605,0.028874649094479565
-15.363486570426947,-15.393673787169197,-15.378580178798071,0.030187216742250556
-17.308737488343205,-17.404199868890906,-17.356468678617055,0.09546238054770129
-17.7613018532519,-17.75914551751631,-17.760223685384105,-0.002156335735591597
-15.424397962184981,-15.218279164891282,-15.32133856353813,-0.20611879729369953
-15.505868561239032,-15.24490026134001,-15.37538441128952,-0.26096829989902126
