rank,rmse
1,0.15627416898412355
2,0.16732735415012706
3,0.16764131881972988
4,0.17678194956634816
5,0.17826574500599798
6,0.1814615685237771
7,0.18338530292426186
8,0.18454254280365845
9,0.18504620437941707
10,0.19326844671490365
11,0.19976614459087202
12,0.1998785130448816
13,0.2006889718649635
14,0.20122774038152721
15,0.20318526254021407
16,0.2043491450202923
17,0.2046561628894305
18,0.20690132744127607
19,0.2071525139188041
20,0.20753083966237737
21,0.20754523912501696
22,0.2220198102746604
23,0.2222351057925187
24,0.22972532348086488
25,0.23246093902005324
26,0.23371865226190688
27,0.23797114057040258
28,0.24032848230069656
29,0.2407444521270719
30,0.2418391642348472
31,0.24492828818137774
32,0.2462456708982557
33,0.25402789722266544
34,0.25816348285839824
35,0.2597270753285014
36,0.2614968128605026
37,0.2631894301551908
38,0.2845849530497385
39,0.2870158482108425
40,0.29408365403824505
41,0.29411224145634973
42,0.30821545543670953
43,0.31031347877656446
44,0.32664374392879025
45,0.3463688385604247
