grid_theta1,ll_ana,ll_pda
0.6102269364852746,-2451.778074387976,-2453.5065638004226
0.6316384079408982,-2444.2804134192074,-2446.2075298218138
0.6530498793965219,-2438.017134213574,-2439.914388895801
0.6744613508521455,-2432.844520057947,-2437.5363624892157
0.6958728223077693,-2428.6429180751475,-2432.0781197565984
0.7172842937633929,-2425.312256861946,-2429.5678801098347
0.7386957652190166,-2422.768475155049,-2426.4733966894937
0.7601072366746402,-2420.9406604281944,-2427.3964606305985
0.7815187081302639,-2419.768744940537,-2424.0373686688554
0.8029301795858875,-2419.2016423910845,-2424.200448397628
0.8243416510415112,-2419.1957347805346,-2424.669522343814
0.8457531224971349,-2419.713638959025,-2426.8861057582353
0.8671645939527586,-2420.7231974592,-2424.2592004552644
0.8885760654083822,-2422.1966498410075,-2425.3085605888655
0.9099875368640059,-2424.1099497980144,-2430.0651099929405
0.9313990083196295,-2426.4422003302484,-2433.699818110531
0.9528104797752532,-2429.1751848383406,-2442.8021472298774
0.9742219512308768,-2432.2929763800166,-2439.1257632690676
0.9956334226865006,-2435.7816108102024,-2442.788886770331
1.0170448941421242,-2439.628812296247,-2451.2686236331074
