wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic
w3c803c1,0.00010711587031973428,0.00022127510533087957,0.7677440452575683,0.2773363304138184,1076.0177612304688,1065.8279418945315,266.8045924845217,6,148,563.5924586116281
wdaebe9a,0.00011021594644137144,8.525687091471853e-8,0.4347539222240448,0.6360729670524597,2100.938069820404,670.4644680023194,292.56195096136196,6,95,612.4471632723272
w457a2a0,8.149463102876997e-5,0.00020861039120183451,0.7200759553909302,0.3544454622268677,1858.0446958541872,1069.1904306411745,129.37805489170015,6,100,286.38713089932884
wc71252e,9.781083419954289e-5,0.00014456551153349575,0.7775536346435546,0.40517822265625003,2553.4809112548824,1345.6840515136716,173.86682034901665,6,95,375.0569020476365
w8250429,7.642575646698889e-5,0.00012211288014788712,0.9589564514160156,0.480112533569336,1822.7859497070315,820.36247253418,190.82216057792158,6,97,409.09258702686344
w5dd5645,4.235079549147514e-5,0.00016623927744935816,0.9464768409729004,0.40391307830810547,1920.5596923828125,1162.403774261475,219.52455314374,6,89,465.98092450587285
wa64273f,6.481052027337606e-8,3.2469425866351137e-6,0.5907730102539062,0.48261260986328125,1489.6759033203127,1640.3396606445315,317.7159028129274,6,94,662.6915743194749
w578a7cb,6.243351489844283e-5,0.00017908192653694457,0.7995123863220214,0.327889232635498,465.18964767456055,1389.157581329346,249.66427410645537,6,98,526.8383530849342
wb651fe0,9.806374707614387e-5,0.0001613565353245658,0.7791907691955566,0.5335299491882325,1554.7876358032229,1065.7976150512695,213.08106632328673,6,96,453.54822179538047
wcb87506,0.00013646887376979065,0.0009999989020424733,0.6946768844127655,0.35108055591583254,887.7117574214938,1097.5223362445831,155.91407033115541,6,100,339.4591617782394
w11ae0c3,0.00014233782081016387,0.0005377628791431012,0.7651589965820313,0.5962112426757813,1199.2660522460938,1290.4891967773438,164.71135053780642,6,100,357.0537221915414
w0c70a81,9.030015100431113e-5,0.00020610423422712403,0.7179067993164062,0.5400463867187499,1955.9814453125,784.3948364257815,200.59700490110856,6,95,428.51727115182035
wbcb6e6a,0.00010424768182106898,0.00047058484789423114,0.7044169616699218,0.8395721435546875,1927.838134765625,507.93533325195307,171.12094326594874,6,92,369.3726179941917
wdf61453,0.0001042358931498977,0.00019649722369143247,0.5390906834602356,0.27588117837905884,1351.2708246707916,1136.3236367702486,145.27131073563862,6,95,317.8658828208805
