wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
w3c803c1,7.515445396881861e-5,9.082738665378197e-5,0.8142210479665923,0.6752028347245617,733.0806604943815,63.06011889030487,2419.131071878485,6,140,4867.911998292626,BADS
wdaebe9a,8.168815489518341e-5,8.419766985768367e-5,0.9019954983822976,0.8137101753798898,1004.7414925183767,85.2291620643452,1647.9558326610857,6,95,3323.2349266717747,BADS
w457a2a0,6.569722525738512e-5,0.00011280599764925222,0.90099566128476,0.5121054275256028,1100.8592456542829,289.50917788024526,1602.3010261637496,6,95,3231.9253136771026,BADS
wc71252e,4.634298008088021e-5,5.863288552790178e-5,1.0160673129732456,0.7424405882768043,1598.2058761866936,401.3374207112065,1581.7871159647673,6,87,3190.369680641462,BADS
w8250429,5.626615184393726e-5,6.557830771716988e-5,1.0643953741599226,0.6240404223818962,857.3778809933627,174.50837779165317,1533.8617657056998,6,88,3094.5875522982687,BADS
w5dd5645,5.079675365300339e-5,4.893492871783935e-5,1.262032847744333,0.683779355355671,1152.22112116881,275.81414942878405,1479.5681158339128,6,82,2985.576547151411,BADS
wa64273f,7.302654264111104e-5,5.1116856833829714e-5,0.9486184897576,0.8511228306185535,914.5955960854085,87.1298639872337,1645.1632829508192,6,92,3317.4572973639324,BADS
w578a7cb,6.199349799267752e-5,6.851955184415395e-5,0.8229728608098404,0.6172439238211074,482.35124270956396,246.26178481654185,1659.3946284466863,6,95,3346.112518242976,BADS
wb651fe0,7.074974486722611e-5,7.677450488057209e-5,0.9783991426807915,0.608275945150035,772.3985376173005,301.54179622513755,1478.766887497571,6,87,2984.329223707069,BADS
wcb87506,0.0001198737754122852,9.697874535387708e-5,0.9694701372735568,0.5894076637416421,332.63885995859636,82.06613620490947,1435.2993320217731,6,90,2897.5975220655278,BADS
w11ae0c3,0.00012530990113607723,8.009719039087856e-5,0.9578267339079685,0.6604573692624126,904.0130340715675,225.0039959636979,1457.9725396378142,6,90,2942.94393729761,BADS
w0c70a81,4.820727143600652e-5,7.032093736415348e-5,0.9513158092464755,0.6668077823770319,734.2325949381573,93.30952687582784,1694.7282835621977,6,95,3416.779828473999,BADS
wbcb6e6a,5.8552004150088704e-5,0.00010645068757047415,1.0158105838103386,0.5237577559784798,717.5356221234025,120.88419061800836,1523.8896563567962,6,89,3074.7111309319853,BADS
wdf61453,9.176468340575795e-5,6.958338896353236e-5,0.7992220124478535,0.49303482998139314,555.2652721602042,295.65971652727956,1602.7840105953214,6,95,3232.8912825402463,BADS
wa3a9848,5.228347106471007e-5,6.641106812723341e-5,0.9577163337909292,0.9702791491851948,1283.661369520635,135.70311207213877,1578.3539187071347,6,87,3183.5032861261966,BADS
wf63b737,7.783481898228752e-5,0.00010816553107153063,0.8653642128088631,0.5820608333185374,997.4452447135035,250.76871208000273,1412.8809910322555,6,84,2852.3468828575706,BADS
w4ff13f3,8.015860639012118e-5,9.501555140552923e-5,1.117100885198043,0.5895858570053597,586.456178851953,82.39317996446826,1497.3845866531087,6,90,3021.768031328199,BADS
w313d7aa,6.930989922180225e-5,0.00010314333566665502,0.9275433978950605,0.5724279732583091,729.0214130189269,158.91010360792262,2378.431013951399,6,138,4786.4255500137415,BADS
w0e2f500,6.045061018566649e-5,8.553750606894407e-5,0.6891118170597119,0.7389509575748302,536.5705861534897,446.35094573599974,1530.4962497174038,6,89,3087.9243176532004,BADS
waedfc9c,7.534178262953828e-5,8.129991691722404e-5,0.6876850614462027,0.6358739922856438,795.8101284996729,263.1121132079563,1566.9898884556205,6,93,3161.1753738701605,BADS
