wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,method
wc59a729,5.574967977965468e-5,0.00010000000000000009,0.8581557205142173,0.6899157262625314,1034.702571874665,105.88434993556,1631.644069649358,6,95,3290.6114006483194,DE
wcb4623a,8.494485650525644e-5,7.217524194965067e-5,0.9843962254432568,0.6943058882667543,780.143001803375,786.8877919709271,1654.3919154571063,6,95,3336.107092263816,DE
w672a25c,7.688882460956833e-5,6.978981638480173e-5,0.9258156494494078,0.8041298871355836,911.5673324966423,232.64255446447487,1521.6532009578982,6,89,3070.2382201341893,DE
wf36c682,9.558387537246733e-5,8.168580835286689e-5,0.6881257250777919,0.5787899527212327,742.1465282668564,130.20011277200533,1602.0031155520228,6,95,3231.329492453649,DE
w5c58b96,4.897837413734838e-5,7.727287048328012e-5,0.9999999999999991,0.7273425133392493,1057.8893254044228,217.48362757265102,1457.4220370275757,6,83,2941.357117701931,DE
w397496b,9.999999999999973e-5,8.13207806784216e-5,0.8005390840515579,0.6576813504758713,778.5484931653574,214.50090205447324,2436.0512935521506,6,145,4901.962989558825,DE
w9376389,4.9094093310345725e-5,6.808564923445974e-5,0.9999999999999998,0.8003826634425402,1461.4305450729935,516.4372007240944,1571.9258591655357,6,87,3170.6471670429987,DE
w158db17,7.208183340633936e-5,9.999999999995834e-5,0.772589690820106,0.4139721557654831,728.7217778151891,171.73147475028483,1552.3136711000466,6,95,3131.9506035496966,DE
w9864444,9.999999999999956e-5,8.209621878403559e-5,0.5904115503335846,0.47541521640497103,568.6872033548108,63.953951624206184,2313.4905166506323,6,145,4656.841435755789,DE
w05e5ad5,7.0631763532953e-5,5.693847809160592e-5,0.9999999999999792,0.7776699036703306,394.4704548476802,50.000000000068965,1627.5960700752184,6,90,3282.1909981724184,DE
w6d23692,9.999999999999529e-5,5.80151297489769e-5,0.8082992727346303,0.5909874197144902,662.5626319663986,71.39844948547653,2403.0749510280175,6,140,4835.799756591691,DE
we289943,9.337450707244895e-5,9.999999999999938e-5,0.8320349490114927,0.573619088108018,726.7133911102554,102.6748997584173,2353.6216760300917,6,141,4736.935911402453,DE
w6f95ee3,6.995177464233878e-5,9.999999999999991e-5,0.9999999999999888,0.695588539163256,1041.7748399661132,448.4972000965558,2470.3672279250313,6,145,4970.5948583045865,DE
w6eb2a0a,5.8555683053355425e-5,7.438993327937855e-5,0.9999999999999981,0.7425077259132654,1898.7395821531966,471.9154922108652,1341.1705268696637,6,75,2708.2459824205453,DE
w2424d8d,9.649603377257437e-5,9.999999999999903e-5,0.8430769859636975,0.5986226879111777,634.1159041595661,244.51690547903368,1642.558147794786,6,99,3312.6870146903793,DE
