wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,optimizer
wdf61453,9.176992090152215e-5,6.950236043413364e-5,0.7996817817097979,0.49262642929989997,554.7499349726847,295.96358222396316,1602.784171936802,6,95,3232.8916052232075,BADS
wa3a9848,5.230855863952289e-5,6.641291886508782e-5,0.9580309989763008,0.9711278045160544,1283.3995193535882,134.54534025640896,1578.3538209818096,6,87,3183.5030906755464,BADS
wf63b737,7.780902345457198e-5,0.0001081646615029341,0.8649960274802464,0.5818322032593015,997.8370850623971,250.935807760185,1412.8810164444135,6,84,2852.3469336818866,BADS
w4ff13f3,8.000226892108619e-5,9.491406248198601e-5,1.112903046746851,0.5886812707249737,590.3878557008283,82.97747708402308,1497.3849923034566,6,90,3021.7688426288946,BADS
w313d7aa,6.935130251136078e-5,0.00010315953074874188,0.9278899859892608,0.5723950650455075,728.4876623141691,159.04187444912455,2378.4309711613646,6,138,4786.4254644336725,BADS
w0e2f500,6.03426866962979e-5,8.54615442063488e-5,0.6893960166856414,0.7395423788738117,536.3767449372971,445.7569223783138,1530.4959568875613,6,89,3087.9237319935155,BADS
waedfc9c,7.53235466618664e-5,8.128136667368543e-5,0.6878788338931917,0.6356809945829809,795.4181539584168,263.29087962731126,1566.9898319332215,6,93,3161.1752608253623,BADS
w96b09fe,5.9698369811257155e-5,0.00010444963930139374,0.9083248687071863,0.7449586598125825,1022.4789346595569,183.82766789163725,1650.1353277602873,6,95,3327.593916870178,BADS
w9ff051d,5.660597811972916e-5,8.918256710340708e-5,0.9839855579991683,0.6192273078951496,1739.9833326216706,263.39564224074354,1638.1297406731503,6,94,3303.5192500399207,BADS
wdcfc216,7.992704777819086e-5,6.609475219584223e-5,0.7097358526823222,0.4725917082336782,1127.1913311211285,242.39861394915445,1571.548919387871,6,94,3170.357607469362,BADS
w4a3c9b0,5.921952926406511e-5,0.00012118217391608511,1.0040403030127036,0.5313283040904275,719.6450135616486,266.7699737353018,2131.6112530119085,6,125,4292.192388447631,BADS
wde62b3d,6.689454622750133e-5,7.021494257794884e-5,0.7724186500347193,0.5969302505554078,488.4045446191288,86.06818765476626,1587.8896073990534,6,92,3202.909946260401,BADS
w5284fa9,0.0001252565763362018,0.00010053701508866922,0.7309783837226131,0.688828452156522,1015.565320825408,315.2440151854533,1548.357570416852,6,95,3124.0384021833074,BADS
w18b16aa,0.0001127699884745786,0.0001023360463010757,0.7124745004762733,0.6332995595249488,798.7962486599972,175.41434002957413,2332.673280047579,6,141,4695.039119437427,BADS
w430272a,0.00011440446902579407,0.00010256541310102544,0.8449516429131654,0.5984876375280146,962.5840421580504,214.52006414710908,1586.524640902525,6,95,3200.3725431546536,BADS
w2121301,0.00010833817051508292,7.97298011979717e-5,0.7200016576525698,0.667467639440703,625.9501653625789,120.41795125399237,2406.533610825985,6,144,4842.886101449426,BADS
wb14ab17,8.115561884089048e-5,6.862331851540753e-5,0.8653746686920112,0.48378400022697404,537.5410032323996,455.3642719354685,1605.853281529318,6,94,3238.9663317522563,BADS
wc59a729,5.5766575304221804e-5,0.00011101947911964065,0.8583499551223293,0.7156476040145264,1034.5436416398113,101.61318464926127,1631.1740590546024,6,95,3289.671379458808,BADS
wcb4623a,8.503132142071714e-5,7.224085089021847e-5,0.9839678996639001,0.6948200677452857,781.3965897676799,786.7673667026088,1654.3921611045348,6,95,3336.107583558673,BADS
w672a25c,7.68960004057307e-5,6.97658850986789e-5,0.9256187395420512,0.8038940767978635,911.7232400257648,232.88644411644543,1521.653217404233,6,89,3070.2382530268587,BADS
wf36c682,9.557223804012589e-5,8.166758293242302e-5,0.6878761840225661,0.578726055184652,742.4283751354778,130.27875837719878,1602.0031362750801,6,95,3231.3295338997636,BADS
w5c58b96,6.619470676765128e-5,7.729901895414758e-5,1.4724041699731851,0.7286376725789908,781.1041968622687,215.9538087436823,1448.4316297773298,6,83,2923.3763032014394,BADS
w397496b,0.0001046677366507532,8.132447631378095e-5,0.8136913130953907,0.6575551523980083,777.3198785426528,214.66516981485017,2435.8847453462154,6,145,4901.629893146955,BADS
w9376389,5.344724098415091e-5,6.814694560554087e-5,1.1213571197734984,0.8006976761922099,1364.895126112111,516.0612536387588,1570.5942848372642,6,87,3167.984018386456,BADS
w158db17,7.209964221524514e-5,0.00010163823367812971,0.7727508445986644,0.41486114594438267,728.5930941484621,171.71150223417283,1552.3053841069354,6,95,3131.9340295634743,BADS
w9864444,0.00010548068632426669,8.215307737964204e-5,0.601385920984188,0.4754397437254312,566.6139937349383,63.9994551287174,2313.2917675367903,6,145,4656.4439375281045,BADS
w05e5ad5,7.276834544416018e-5,5.6878154491445685e-5,1.057646316601149,0.7790928295898447,333.9275197815368,46.17784582005715,1627.3144855804653,6,90,3281.627829182912,BADS
w6d23692,0.00010146733928842964,5.802042328142761e-5,0.8116467135402077,0.590813033613539,662.5951054547776,71.69299009672656,2403.0600890284577,6,140,4835.770032592572,BADS
we289943,9.33823703470982e-5,0.00011045520849814052,0.8320663803167153,0.5862406495022537,726.8050935356027,101.57621086346734,2353.060236227431,6,141,4735.813031797131,BADS
w6f95ee3,7.061052283422976e-5,0.00011281189539172415,1.0138649504348904,0.7296543768950392,1031.5215642106978,440.26089002231856,2469.3116103294046,6,145,4968.483623113333,BADS
w6eb2a0a,6.447687533675184e-5,7.442429416861663e-5,1.1344659417728846,0.7430250217646027,1808.1948974202417,471.45891596703666,1339.4002620039169,6,75,2704.7054526890515,BADS
w2424d8d,9.65722320007887e-5,0.00010541562388716156,0.8439499717675825,0.6058674633801832,633.3224444272672,243.7028409304956,1642.4332542599357,6,99,3312.4372276206786,BADS
