wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,neglogl,n_trials
recovery_017,8.289428023657957e-5,3.296033844520731e-5,0.9571560606612233,0.9088626365923062,678.2579175853398,3314.980067549624,8.193527548659414e-5,1.0000000001340283e-6,0.997160700475506,0.8048384794144658,746.9206978479633,3602.64112141449,1972.943975945504,100
recovery_018,0.0004358584771068732,3.1939876772313186e-5,0.02715431512487898,0.07094762944190924,1885.557479236912,976.3181758996599,1.8975844604319567e-6,2.1838488787864542e-6,0.02585556842792621,0.06943900511166506,1886.6869124071504,982.9671670399591,859.4329518619454,100
recovery_019,0.00018637891851301804,0.00045869062001073523,0.09192838216938355,0.5400546926244407,1701.1447511510928,4644.559715210642,0.0001773185705553333,0.00039578067247744584,0.100794733867794,0.509901805043014,1703.7219947506428,4674.593601505703,1339.5306362869028,100
recovery_020,0.0008084479842143473,5.834161172148918e-5,0.8530695026588501,0.1299066857645887,2083.3118048862557,3354.022193807559,0.0007305213001259619,9.744604668633876e-6,0.7801053799092187,0.11570050334805278,2123.3658455515974,3367.020808687084,1363.5210213637795,100
recovery_021,4.803546942106416e-5,8.030242204407232e-5,0.9694279003178448,0.5606501716271288,4166.120825079368,922.3470933800616,4.168402601937467e-5,5.684257709435001e-5,0.8291567086451868,0.5183968466144143,4575.651101486437,1082.6490190980621,1853.9173413430005,100
recovery_022,0.00086347263390805,8.956383624006127e-5,0.8978121073695623,0.9642473551999513,272.2714661388113,729.4828550402074,0.000991096497390787,9.061485755177438e-5,0.8795706479141621,0.9645265991429175,343.20668164114045,830.9735078834362,1710.3951997848897,100
recovery_023,1.0265249466394544e-5,0.0006086937053432483,0.9518711229875945,0.660420003920772,3605.5697385680583,2780.4293619172413,2.2114512691077898e-5,0.0006337160229951793,1.0291005049966042,0.6884563631031779,3557.9461059067394,2794.387364079011,1773.3228074506162,100
recovery_024,0.00013799518819187118,0.00016828389144666307,0.8532329689094611,0.5267793595847531,3939.3790203067592,2179.2732439215733,0.00013116175315873685,0.0001635231147406196,0.7576030918199103,0.5171102908393368,4286.530262418091,2226.044624450151,1747.7260475872445,100
recovery_025,2.2336891434222508e-5,2.4450479038180876e-5,0.4086687332410874,0.25578701322163083,3866.93916195459,2035.3894405919016,7.677023518980828e-6,1.6475942998307422e-5,0.41429859161376953,0.28307857513427737,3865.749740600586,2003.6697387695312,1609.4014653922582,100
recovery_026,2.0073687002621142e-5,3.9652274046613574e-5,0.8342085515811838,0.06308148290537828,3715.7483729624164,3821.9099922037585,1.0059883307810216e-6,1.0045718709824783e-6,0.8576412829945367,0.06345374386445773,3925.3148304549313,3823.792921475535,1477.0077333990075,100
recovery_027,0.0005019411918147359,1.3440940111054644e-5,0.48053400139034214,0.36540310091017614,1624.7502695024548,1510.89899146579,0.0005345111533836684,6.315765641571251e-5,0.5180135202407837,0.35484164595603945,1615.6859755516052,1565.938341617584,1558.7690520238866,100
recovery_028,4.410332488279765e-5,0.0002174017389955967,0.924385628833268,0.9250364038151242,1433.121742606761,2233.185491420183,4.672047349892142e-5,0.0002627743367553783,0.8271611838387616,0.9283120342013716,1784.1795512234967,2468.2619508181233,1879.2405162986397,100
recovery_029,9.371912899158945e-5,5.806658336277256e-5,0.8766238966226911,0.7454998977010756,4252.802036515156,2358.7740785599194,0.00010910444796728778,6.839914700607204e-5,0.8590497716431529,0.6676370343249729,4600.365623497271,2714.5226223797663,1888.3251438957323,100
recovery_030,0.00011478257153005362,0.0006225221131966085,0.5675857725692104,0.6706791106532589,202.62146752673343,2516.0396220492976,0.00014686542044987463,0.0005302457838826219,0.5751342948916022,0.6468935444299734,271.53929529137014,2524.6342219931876,1608.5097549231332,100
recovery_031,0.0004806213368371305,0.0006981465523833648,0.3336045172475025,0.6465657192371714,4440.640770686671,1627.1788723026368,0.0006143441890167197,0.0006430302721999921,0.3489699429617758,0.630301482030045,4471.82464628786,1634.0616732464694,1446.3539786017777,100
recovery_032,0.0009016376692221082,1.238971665765225e-5,0.7665707031261155,0.029099128690251337,772.6758475113272,2750.066250345951,0.0009228434241812427,0.0009026280586891319,0.8447295995525201,0.02583504541311414,748.8582891121041,2751.392855893937,1059.710001199651,100
recovery_033,7.556359830201731e-5,5.55122328280408e-5,0.5108508323742113,0.9101534803151641,2839.986357349491,4942.933545533887,0.00010885718297340866,3.267556089766437e-5,0.531303103815767,0.8536793720996412,2836.673315310918,5396.164337708433,1855.047254119144,100
recovery_034,5.1192205031549776e-5,6.121158248096512e-5,0.6253913495797879,0.4164343580622273,4134.946124419453,2902.8363244594125,1.0915062813930674e-6,6.403458885320519e-5,0.6359929855876089,0.37422295225414015,4092.9843305923896,3006.4423628692107,1755.5281723338903,100
recovery_035,4.926805999337821e-5,0.0002108879999659428,0.43679965178942537,0.8403996319314376,1696.7877858106224,1126.812230795684,8.467884368453862e-5,0.00018589000587879989,0.40163258971995675,0.8405688634363468,1839.3184657907113,1200.5825382773764,1731.8940520330948,100
recovery_036,0.00021606085277788432,0.0005975374654195394,0.28155147520929064,0.6377746618369244,4077.7395798513626,729.4406175030722,0.000274353200408791,0.0007408292069468962,0.24556661509443078,0.7110507538181264,4116.118279178045,755.323534674244,1452.5327903231089,100
recovery_037,0.00022407698416562923,0.00029838800601876054,0.696527340512204,0.9249709109303801,1294.7547867684323,507.0392987136428,0.00021993378414122657,0.0002925805215004309,0.7085241729680274,0.8664095251520484,1322.0518714100763,582.4507075965812,1705.4692040368573,100
recovery_038,0.00038465748188821884,6.455621721190672e-5,0.8801340399976059,0.8579075285088146,4773.494031874778,4935.232131473268,0.00037258076782222357,7.129140428385264e-5,1.0260408885199466,0.9112493652900231,4692.55325006161,5025.650630436758,1824.8529429090238,100
recovery_039,0.0004511716778428659,0.0005012751351490458,0.4148841843063936,0.9487236470226146,2825.5743760335176,3256.976324086501,0.0004453135386194887,0.0004459608198030648,0.43035232957685365,0.8872104825999123,2854.943018581252,3371.1826144484803,1557.2025011102214,100
recovery_040,1.640771756262717e-5,0.0004881037422209537,0.08404944216709373,0.7144884230405292,2766.8216930945414,3369.017299492746,1.0153491283298886e-6,0.0004282448718707401,0.07480554401874544,0.6156493240594864,2773.7123340368266,3459.477591514587,1326.4240053344674,100
recovery_041,0.0004283282920766541,0.00017518339541190833,0.3941525633655393,0.0576178122807493,511.97405922043976,3168.91379515303,0.00045940763174264957,1.0463434077357215e-5,0.34346302854362876,0.054122763383202266,548.6583457328378,3172.428030055016,1198.6462255287647,100
recovery_042,0.000391589656666396,0.0003975193169524854,0.9170164411968916,0.4135354425250295,4388.858450687203,2055.557581708853,0.0003756777286622904,0.0003755782052813223,0.8972757678043448,0.4006269834630227,4485.4707383228315,2089.7115748000238,1546.0338561250583,100
recovery_043,9.16612201293618e-5,3.174090734190582e-5,0.8058456598662163,0.5835547244972722,4992.521216650252,1396.8055630597928,6.723852390452936e-5,3.546633927143553e-5,0.8728032363867926,0.6594274660266838,5117.760226498587,1278.2921836979701,1892.2049344579668,100
recovery_044,2.3735548078532766e-5,0.0008305418074482833,0.4179380200047879,0.07251676339363197,1842.1748507449709,651.5429968692741,1.1210713757188193e-5,0.001114259500169405,0.43750753019601807,0.06897066518132196,1884.8754682717727,655.173295558098,1330.9652625407161,100
recovery_045,1.4222255156862241e-5,7.733866173492328e-5,0.6836768070090842,0.21603197706237423,3961.024020878213,546.5500324141258,1.2804222445207767e-6,0.00017224209431193505,0.6259062576293946,0.22444385528564453,4172.417974472046,574.8753547668456,1651.494074642514,100
recovery_046,8.802103703960274e-5,9.93763138018585e-5,0.5317294824843589,0.8709570195375542,4834.397804085752,3607.0119020518914,0.00010319992423081807,9.541557443831853e-5,0.5386594979511573,0.873753472174285,4931.903319561387,3665.9813185222447,1829.391094715217,100
recovery_047,6.082697797473909e-5,0.0007296249396150661,0.5144625664640866,0.9599817848002216,3995.5523892920223,124.01214045372764,1.824993538748684e-6,0.0007134844356806928,0.4708090310091211,1.1835439079052594,4245.092508885864,36.94761872684467,1621.4924398253638,100
recovery_048,4.5672507100126266e-5,2.0611835765428137e-5,0.3909596913083694,0.4786533367374723,4415.841945770576,1360.656322622458,2.069026799852576e-5,1.5253484364734793e-5,0.40346416812732055,0.45288070983922807,4465.40686723456,1493.9136073051486,1699.418789409842,100
recovery_049,3.492633131963508e-5,7.215955441156497e-5,0.8927456372177885,0.03057483905518868,4962.61033462011,2296.3976119087397,6.122617687751151e-6,3.089707874728327e-5,0.8668245258133926,0.028022287203931604,5055.342668317021,2297.249689066577,1336.0383479210332,100
recovery_050,0.0002498030260802466,6.585228755463559e-5,0.619983824887593,0.013299447266791335,4090.1383644984894,4162.385852199941,0.00022002435344826198,9.816305527123326e-6,0.581486442428275,0.02786977485722732,4203.281230003954,4160.554995366838,1171.8055433533996,100
