wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,neglogl,n_trials
recovery_001,4.654526923734822e-5,6.0068551492124044e-5,0.27257951589468465,0.802825564365156,2935.577970446203,2320.917727787569,8.537581235660027e-5,5.982327418864174e-5,0.2651036414323971,0.7690079594381496,2936.264496602962,2447.6948920231735,1612.7686930265684,96
recovery_002,0.0006565054223937907,0.0002640246470419014,0.25016203168587436,0.7438885751315018,3684.4767903250718,2890.5546494662067,0.0006095795417856583,0.0002864768171766746,0.23825144419328018,0.73039415979315,3688.031140518787,2882.9177554884645,1482.579167653222,99
recovery_003,1.2804949469388574e-5,3.3844407374490535e-5,0.06087740687919321,0.3134413875904296,1160.6175655403251,4564.121851039579,1.437556915896743e-6,3.160777394383103e-5,0.06881792925173474,0.31713962077203767,1161.860677581768,4570.332883266615,1248.691124198599,100
recovery_004,4.033908745514825e-5,0.00038381994662604104,0.317378663638375,0.45329318713843986,3160.320904619207,3439.7950346566354,4.221249901657993e-5,0.00040016144657033356,0.3214384581177407,0.4451381283106194,3186.23547387984,3475.346011720445,1523.5754645263673,100
recovery_005,0.0002932415125652572,2.1651852624483806e-5,0.08654020146529708,0.19120174245402577,1968.88423015037,4015.014366182086,0.00038567327134617573,8.549882952113676e-5,0.09488611446037201,0.1956165643950904,1968.8151297920099,4016.350356149181,1203.0542696312907,100
recovery_006,0.0003392295822707469,0.0007564290663113293,0.6857627178236415,0.9435694167035407,4054.5338611192924,3461.388494902019,0.00028975869289436183,0.0008153559701870383,0.6681922809267781,1.0328809654339783,4103.630092529602,3463.5470154222276,1544.1920370802127,99
recovery_007,0.00027979248540986476,0.0001456088145379436,0.29906666217483807,0.901617148065879,2071.908561772858,4364.390122174604,0.00028979258846224424,0.00014363224994938702,0.2990933508652515,0.9045026131937702,2073.642700264755,4419.60456711454,1600.075210000289,98
recovery_008,0.0006462882959421554,0.0009639949646696583,0.4394224441332469,0.6871623946071463,2077.319401004761,920.5965863882627,0.0007117748453157513,0.0008266329154269299,0.44862884697768096,0.6302590000945384,2081.60070322283,920.5622770781702,1376.3211376267366,100
recovery_009,6.784253787283535e-5,0.00012067633612538074,0.17605991076736197,0.04305483059793835,3129.9525566334987,1779.1314279161065,0.00013953921953607638,0.00015721104577252708,0.17002025469042625,0.05243513512179513,3136.081292348331,1779.5300077324655,1070.0771425393393,100
recovery_010,0.0004258105220740762,0.00043005384072030675,0.3483766649134371,0.4574449449328566,4367.3116433383575,1583.359686580278,0.00047596219580664224,0.0003981549778339467,0.3663093731931622,0.46919363251417967,4370.211425255002,1569.6841213764853,1480.1742699772549,100
recovery_011,4.6244319567473144e-5,3.002291564421874e-5,0.9640938579513375,0.31479407088899153,4675.489051032988,4282.378373311742,6.011727192910211e-5,4.687986653365061e-5,0.862371160539858,0.3118598082408244,4727.866438835111,4278.970347153631,1623.8862322633436,94
recovery_012,7.487280742556957e-5,6.29609116160892e-5,0.8040208393996492,0.2566015084717933,2223.0511432662224,3772.0629954429746,7.556587007433567e-5,0.00011829423851287792,0.7261347324956875,0.26994447912449687,2365.249343190658,3765.3668447025325,1647.883769345282,99
recovery_013,0.0004845147759807035,0.00021176390660063968,0.9957179354406118,0.2596937212401008,1019.7453970244622,483.01791928335706,0.0005000173449243343,0.0001792859165644306,0.9644074362788524,0.29331684438249794,1052.6589012508337,468.8852814266283,1505.6914356127595,99
recovery_014,1.9005206633061358e-5,0.0002622312030108231,0.12440864465608843,0.906352938612637,3721.479725717949,2014.8564363509815,1.0000061852159867e-6,0.00028503854334121197,0.14074314994278656,0.8494437086429918,3719.159877350844,2237.0466280626747,1445.506825323954,99
recovery_015,0.0007473626198999824,0.0002892357734877524,0.8947772520878252,0.8111421734812254,1580.9129030569832,2368.3886025473635,0.000837779346927778,0.0002648919518018746,0.8457087244262277,0.7898559626390397,1629.607127272743,2369.6758697956056,1536.4413047791181,99
recovery_016,0.0006205646173817866,1.758120227378505e-5,0.22319801194093616,0.03292382635572602,154.8983026793645,812.6538774906553,0.0005075780264612379,1.0028747177600508e-6,0.23164093247874804,0.04099263987343651,157.75942362963627,812.833513720045,1013.2139752344909,100
recovery_017,8.289428023657957e-5,3.296033844520731e-5,0.9571560606612233,0.9088626365923062,678.2579175853398,3314.980067549624,8.079186868027923e-5,4.202478615344756e-5,0.8459402178884919,0.8422508467731769,766.3837936496292,3494.6485715381186,1740.3570437225344,91
recovery_018,0.0004358584771068732,3.1939876772313186e-5,0.02715431512487898,0.07094762944190924,1885.557479236912,976.3181758996599,0.0008683395431006354,0.00012388051160950835,0.037001528199646576,0.07610120996572167,1885.6514811495288,976.9086245147489,832.2730194522954,100
recovery_019,0.00018637891851301804,0.00045869062001073523,0.09192838216938355,0.5400546926244407,1701.1447511510928,4644.559715210642,0.0003385396082378437,0.00042852337077064784,0.09803992528828986,0.5200011889481493,1701.2334237639604,4668.710811257006,1291.8217441316053,100
recovery_020,0.0008084479842143473,5.834161172148918e-5,0.8530695026588501,0.1299066857645887,2083.3118048862557,3354.022193807559,0.0008188957075838197,8.471127086521969e-6,0.8475663157297232,0.12778716781037475,2084.909850593658,3358.6011726837114,1316.3700565151355,99
recovery_021,4.803546942106416e-5,8.030242204407232e-5,0.9694279003178448,0.5606501716271288,4166.120825079368,922.3470933800616,5.5008892564413e-5,4.922024461618116e-5,0.8305443994412723,0.5912215814691866,4264.7492459858995,862.7124418201558,1683.039594495414,91
recovery_022,0.00086347263390805,8.956383624006127e-5,0.8978121073695623,0.9642473551999513,272.2714661388113,729.4828550402074,0.0008533684864715904,8.339800546722867e-5,0.7656291260787691,0.8038873180208247,313.5929935363149,1003.2242569599588,1556.705636179748,94
