wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,neglogl,n_trials
recovery_013,0.0004845147759807035,0.00021176390660063968,0.9957179354406118,0.2596937212401008,1019.7453970244622,483.01791928335706,0.0006133234464293074,0.00022616265726518273,0.8154382534016621,0.27082057032966983,1534.1898933780612,575.7467791991076,128.8377698939731,100
recovery_014,1.9005206633061358e-5,0.0002622312030108231,0.12440864465608843,0.906352938612637,3721.479725717949,2014.8564363509815,0.00023363108701514995,0.00033216669967258875,0.0011034302509091774,0.8191422451144129,3657.1755704763577,2396.659582522639,184.84561901210492,100
recovery_015,0.0007473626198999824,0.0002892357734877524,0.8947772520878252,0.8111421734812254,1580.9129030569832,2368.3886025473635,0.0007035161865994497,0.00044178173372870174,0.6959823041173512,0.639331926054365,1873.436471926834,3173.3806982396345,128.91402049577746,100
recovery_016,0.0006205646173817866,1.758120227378505e-5,0.22319801194093616,0.03292382635572602,154.8983026793645,812.6538774906553,0.009999086287902487,1.263454776238705e-5,0.0010048443254507588,0.011095567079688114,1068.37670511795,972.2989958399779,104.21031029647811,100
recovery_017,8.289428023657957e-5,3.296033844520731e-5,0.9571560606612233,0.9088626365923062,678.2579175853398,3314.980067549624,0.00010235615293934408,2.771091045606837e-6,0.8375148677825927,0.8328327715396882,1064.5395994186401,3620.5320954322815,431.97016478190415,100
recovery_018,0.0004358584771068732,3.1939876772313186e-5,0.02715431512487898,0.07094762944190924,1885.557479236912,976.3181758996599,0.00012008194995647082,9.981890709910366e-6,0.04792875102371911,0.12307692857459189,2682.7684635412875,368.38339298265055,142.35684479851585,100
recovery_019,0.00018637891851301804,0.00045869062001073523,0.09192838216938355,0.5400546926244407,1701.1447511510928,4644.559715210642,4.673966573888944e-6,0.0007237643809701737,0.16539005637168885,0.4760965263843537,1263.4489417076109,5097.388327121735,106.2557805607668,100
recovery_020,0.0008084479842143473,5.834161172148918e-5,0.8530695026588501,0.1299066857645887,2083.3118048862557,3354.022193807559,0.0012995039925083308,0.00011265471434210706,0.9639808941196394,0.23669680107987914,2525.417658085461,2884.458796558539,122.10557562606714,100
recovery_021,4.803546942106416e-5,8.030242204407232e-5,0.9694279003178448,0.5606501716271288,4166.120825079368,922.3470933800616,5.150390058816399e-5,6.802285519458687e-5,0.9723523598210886,0.45371625415980815,4521.0938688367605,1316.5783452335743,354.5734328800214,100
recovery_022,0.00086347263390805,8.956383624006127e-5,0.8978121073695623,0.9642473551999513,272.2714661388113,729.4828550402074,0.009999999999999995,8.34736634849673e-5,0.8384572278640735,0.8859739336640087,1284.741314015082,945.4523570957463,274.2789124211964,100
recovery_023,1.0265249466394544e-5,0.0006086937053432483,0.9518711229875945,0.660420003920772,3605.5697385680583,2780.4293619172413,1.6534299948572424e-5,0.0006892994527716264,0.9394879031553864,0.6623846705444157,4105.092550208792,2915.1976085733622,300.5910835477547,100
recovery_024,0.00013799518819187118,0.00016828389144666307,0.8532329689094611,0.5267793595847531,3939.3790203067592,2179.2732439215733,0.00016827510831594382,0.00022208714678106632,0.6897855199181914,0.5275524593937008,4551.269130619903,2350.439965065925,250.58820913820585,100
recovery_025,2.2336891434222508e-5,2.4450479038180876e-5,0.4086687332410874,0.25578701322163083,3866.93916195459,2035.3894405919016,5.511994173536301e-6,4.198567803133846e-6,0.27575342231459216,0.15715140607819195,4505.949896236416,2575.0925882312004,186.4679922962262,100
recovery_026,2.0073687002621142e-5,3.9652274046613574e-5,0.8342085515811838,0.06308148290537828,3715.7483729624164,3821.9099922037585,2.398948736026613e-5,9.135306520799638e-5,0.7237724408840682,0.19849151368524418,4341.960056216982,3118.1727103174608,277.65105895934454,100
recovery_027,0.0005019411918147359,1.3440940111054644e-5,0.48053400139034214,0.36540310091017614,1624.7502695024548,1510.89899146579,0.0006598568239056697,0.000233607901851869,0.4021689552156931,0.21587101758836638,1866.5669449397,2296.425487643034,130.29845286996243,100
recovery_028,4.410332488279765e-5,0.0002174017389955967,0.924385628833268,0.9250364038151242,1433.121742606761,2233.185491420183,1.895472946833287e-5,0.00025627975163241754,0.9980475234985351,0.8712706184387207,1324.7663497924802,2642.0581817626953,389.209065605127,100
recovery_029,9.371912899158945e-5,5.806658336277256e-5,0.8766238966226911,0.7454998977010756,4252.802036515156,2358.7740785599194,0.00010755341686952828,8.211339529557709e-5,0.7666143176006653,0.6047870339862266,4584.40026055805,2892.543936100583,350.527725557726,100
recovery_030,0.00011478257153005362,0.0006225221131966085,0.5675857725692104,0.6706791106532589,202.62146752673343,2516.0396220492976,0.00012922838004120828,0.0009820611909240537,0.49239314273387796,0.4947289248591837,572.5823747549134,3187.0927397116043,165.37201994236642,100
recovery_031,0.0004806213368371305,0.0006981465523833648,0.3336045172475025,0.6465657192371714,4440.640770686671,1627.1788723026368,0.0008091722869647519,0.001173050918806012,0.2021466302871704,0.414435019493103,4811.77372932434,2468.5635566711426,86.84594504758881,100
recovery_032,0.0009016376692221082,1.238971665765225e-5,0.7665707031261155,0.029099128690251337,772.6758475113272,2750.066250345951,0.002572495443862903,2.907578803420642e-5,0.3984861755371094,0.001004257202148453,1745.3834533691404,3137.4526977539062,104.90737559241693,100
