wid,true_d1,true_d2,true_θ1,true_θ2,true_T1,true_T2,fitted_d1,fitted_d2,fitted_θ1,fitted_θ2,fitted_T1,fitted_T2,rss,n_trials
recovery_001,4.654526923734822e-5,6.0068551492124044e-5,0.27257951589468465,0.802825564365156,2935.577970446203,2320.917727787569,0.009882941150507593,0.0077693191219426515,0.5720628272966474,0.49616563053504903,2496.1965633073646,4710.637805811035,2.5816816950859134,97
recovery_002,0.0006565054223937907,0.0002640246470419014,0.25016203168587436,0.7438885751315018,3684.4767903250718,2890.5546494662067,0.00010218806003369514,0.0006603744327163749,0.16713791087735444,0.9262266500666738,2174.3491070345044,3227.639444032684,5.741942784292673,100
recovery_003,1.2804949469388574e-5,3.3844407374490535e-5,0.06087740687919321,0.3134413875904296,1160.6175655403251,4564.121851039579,0.0020726794189090477,0.00018177209238364137,0.5244851112365723,0.20188604831695556,94.30127143859843,5020.654678344727,2.38254897727806,100
recovery_004,4.033908745514825e-5,0.00038381994662604104,0.317378663638375,0.45329318713843986,3160.320904619207,3439.7950346566354,0.0036726692006367684,0.0003125227114141603,0.09346289234496229,0.5885198847598304,3456.6126624852636,3082.1021557069994,3.024205620244043,100
recovery_005,0.0002932415125652572,2.1651852624483806e-5,0.08654020146529708,0.19120174245402577,1968.88423015037,4015.014366182086,0.0006505591353937394,0.00016263500342465724,0.6591718755764673,0.43773489457923576,1296.070500119498,3356.047212928601,2.729743365222481,100
recovery_006,0.0003392295822707469,0.0007564290663113293,0.6857627178236415,0.9435694167035407,4054.5338611192924,3461.388494902019,0.008894103178901687,0.00021329922001967708,1.91627819776535,0.8617950177192688,5433.537375926971,2526.1881232261658,2.208924494152666,99
recovery_007,0.00027979248540986476,0.0001456088145379436,0.29906666217483807,0.901617148065879,2071.908561772858,4364.390122174604,0.009993598485805645,0.00019798525158548912,0.26551798134445564,0.5717295186613046,2288.0302714867867,5403.836787652836,2.6838355453812364,98
recovery_008,0.0006462882959421554,0.0009639949646696583,0.4394224441332469,0.6871623946071463,2077.319401004761,920.5965863882627,0.005421071532558646,0.009025541461464299,0.21438356925267726,0.6119154286850244,2727.1726786624636,1192.2966419253496,0.9189125723513651,100
recovery_009,6.784253787283535e-5,0.00012067633612538074,0.17605991076736197,0.04305483059793835,3129.9525566334987,1779.1314279161065,6.272212052743894e-5,6.6257364250197395e-6,0.5043564374744892,0.2439113542996347,2479.922990873456,1431.20101056993,3.550741047589786,100
recovery_010,0.0004258105220740762,0.00043005384072030675,0.3483766649134371,0.4574449449328566,4367.3116433383575,1583.359686580278,0.0016087117552040496,0.0006029617666948792,0.6155327014019712,0.45253957476466894,4116.359389107674,1637.812777981162,0.5513249987343953,100
recovery_011,4.6244319567473144e-5,3.002291564421874e-5,0.9640938579513375,0.31479407088899153,4675.489051032988,4282.378373311742,0.0008826929941200963,1.0005871595135032e-6,0.3600714310967851,0.07792583762271535,4165.54955357301,4722.4491676216985,5.822302265510134,93
recovery_012,7.487280742556957e-5,6.29609116160892e-5,0.8040208393996492,0.2566015084717933,2223.0511432662224,3772.0629954429746,0.000618802790932235,0.005177922869761714,0.5540685848198337,0.0016219928195641675,4123.0069615499815,4201.106093748967,3.6382777640313755,99
recovery_013,0.0004845147759807035,0.00021176390660063968,0.9957179354406118,0.2596937212401008,1019.7453970244622,483.01791928335706,0.0010928256704219146,0.00035651765312690953,0.6979857122999965,0.1812125980126439,2037.6833698683183,732.8281483292811,0.9262096756064437,100
recovery_014,1.9005206633061358e-5,0.0002622312030108231,0.12440864465608843,0.906352938612637,3721.479725717949,2014.8564363509815,2.068847243480848e-5,0.0009537221535833488,0.7330174418073147,0.7197006547125057,10.00000047497423,3264.3791479989886,6.2952256871880055,98
recovery_015,0.0007473626198999824,0.0002892357734877524,0.8947772520878252,0.8111421734812254,1580.9129030569832,2368.3886025473635,0.0005573764145639776,0.0004992715400764532,0.71546109464849,0.8322848607779452,1622.1394546781085,2826.214125496335,1.437345841542561,98
recovery_016,0.0006205646173817866,1.758120227378505e-5,0.22319801194093616,0.03292382635572602,154.8983026793645,812.6538774906553,1.3933120967414845e-5,8.571727672370033e-5,0.09879804179072384,0.03806083820760253,345.2816434204578,830.5583752691743,3.895786297918773,100
recovery_017,8.289428023657957e-5,3.296033844520731e-5,0.9571560606612233,0.9088626365923062,678.2579175853398,3314.980067549624,0.0005553709343918,0.00037516379156340827,0.58157460357761,0.39815256475034405,2357.140842161607,6150.47391586122,3.5868291319120202,91
recovery_018,0.0004358584771068732,3.1939876772313186e-5,0.02715431512487898,0.07094762944190924,1885.557479236912,976.3181758996599,6.327127103531775e-6,1.0290654352165752e-5,0.5421610188484193,0.0010033720731735221,10.00002101063696,880.9954963624475,4.776539462847934,100
recovery_019,0.00018637891851301804,0.00045869062001073523,0.09192838216938355,0.5400546926244407,1701.1447511510928,4644.559715210642,0.0034602700050650487,7.215676689541432e-5,0.7020407218346372,0.0017709420900791856,650.0706816092132,5499.771717609837,7.472297643559895,100
recovery_020,0.0008084479842143473,5.834161172148918e-5,0.8530695026588501,0.1299066857645887,2083.3118048862557,3354.022193807559,0.0040328933540775,2.2265827570648787e-5,0.41088539656135253,0.3062065550109401,2910.7961203961163,2954.795812516386,0.4526603192050754,99
recovery_021,4.803546942106416e-5,8.030242204407232e-5,0.9694279003178448,0.5606501716271288,4166.120825079368,922.3470933800616,0.0004219732976563485,3.148264365334429e-5,0.7984505265951156,0.38765499979257584,5658.159485459328,1913.5542124509811,4.59051563657555,92
recovery_022,0.00086347263390805,8.956383624006127e-5,0.8978121073695623,0.9642473551999513,272.2714661388113,729.4828550402074,0.009877163330013176,0.00023595636456011815,0.11127464796467411,0.6275661645323601,1238.5441068136536,2582.111670650194,1.9223185661002318,94
recovery_023,1.0265249466394544e-5,0.0006086937053432483,0.9518711229875945,0.660420003920772,3605.5697385680583,2780.4293619172413,0.0023222277370964777,0.0005652575604595992,0.2875870680809021,0.614541437625885,6950.099539756774,2608.517110347748,4.523303285374917,90
recovery_024,0.00013799518819187118,0.00016828389144666307,0.8532329689094611,0.5267793595847531,3939.3790203067592,2179.2732439215733,3.62193813942249e-5,0.001345498718537255,0.0017248516494874503,0.4060646665317472,6219.456120603718,2810.1800745236687,4.716801495277094,98
recovery_025,2.2336891434222508e-5,2.4450479038180876e-5,0.4086687332410874,0.25578701322163083,3866.93916195459,2035.3894405919016,0.001690420613965652,0.0007893481833593238,0.8584009460051312,0.03524970776867124,4712.8226562344935,2518.164203461492,2.9425693642771478,100
