wid,d1,d2,θ1,θ2,T1,T2,neglogl,param_count,n_trials,bic,method
w3c803c1,7.514793162880553e-5,9.085753015625425e-5,0.8139883458646727,0.6757685994094889,733.1912410518814,62.529625960459825,2419.130946710014,6,140,4867.911747955684,DE
wdaebe9a,8.174629795139556e-5,8.421964638691936e-5,0.9022198722888193,0.8139926597453311,1004.8120924274315,84.81927356724894,1647.9557809511773,6,95,3323.234823251958,DE
w457a2a0,6.57076927217667e-5,9.999999980934335e-5,0.9010472347157974,0.5001637787536077,1100.7926327320433,291.3202169529747,1602.8018175035693,6,95,3232.926896356742,DE
wc71252e,4.5836887407060066e-5,5.862797275475943e-5,0.9999999999319524,0.7425744929294813,1613.804712739563,400.98182949447585,1581.8121819027103,6,87,3190.419812517348,DE
w8250429,5.378811065014422e-5,6.545378110483577e-5,0.9999999973051269,0.6228098482580678,904.9360476221249,175.8166028139892,1534.2050311862547,6,88,3095.2740832593786,DE
w5dd5645,4.321043580885789e-5,4.900384145693659e-5,0.9999999999147293,0.6839751890835941,1401.93990247447,275.5549206410864,1483.4985301400604,6,82,2993.4373757637063,DE
wa64273f,7.297815300195882e-5,5.105414502830871e-5,0.9476298365331917,0.8506585237376278,915.2147420853904,87.60883156480094,1645.1631159818876,6,92,3317.4569634260693,DE
w578a7cb,6.193786395826317e-5,6.853420660708317e-5,0.8220081719434478,0.6168660743906003,483.69754694821756,246.72637046525932,1659.3943560818784,6,95,3346.11197351336,DE
wb651fe0,7.080004346411519e-5,7.676318940698137e-5,0.978788052038775,0.6081872749878041,772.2817149812398,301.5733919620147,1478.7668522331708,6,87,2984.329153178269,DE
wcb87506,9.999999932255657e-5,9.699539542659875e-5,0.8486322033244028,0.5892790040068113,372.93235938715054,82.16326576450436,1436.781029285524,6,90,2900.5609165930296,DE
w11ae0c3,9.999999918038443e-5,8.006697734741767e-5,0.8243305581078741,0.6602621294634539,937.3888541635805,225.13660659503967,1460.3301365698421,6,90,2947.6591311616658,DE
w0c70a81,4.8274540633896225e-5,7.035418047727884e-5,0.951551483624225,0.6667879123015449,734.1175937948482,93.48903850987672,1694.7282082102593,6,95,3416.779677770122,DE
wbcb6e6a,5.799395115489725e-5,9.999999275298972e-5,0.9999999928124418,0.5172653689297463,733.4650768701546,121.30721427797357,1524.0500741215765,6,89,3075.031966461546,DE
wdf61453,9.179442895828715e-5,6.956529397701198e-5,0.799281728304467,0.4930465622460126,555.3048774298272,295.59923680554755,1602.7840021461855,6,95,3232.8912656419743,DE
wa3a9848,5.229904361713266e-5,6.640234420894737e-5,0.9578259535623279,0.9711424521418758,1283.5496531934,134.2899083547369,1578.3538105942614,6,87,3183.50306990045,DE
wf63b737,7.780083789604316e-5,9.999999994597433e-5,0.8653965396426602,0.56888572637869,997.0612109841555,253.26843215272655,1413.0962495975537,6,84,2852.777399988167,DE
w4ff13f3,7.52090707433703e-5,9.503293820349399e-5,0.9999999932099816,0.5895387969143128,687.857120652535,82.46269346251029,1497.9816683515373,6,90,3022.962194725056,DE
w313d7aa,6.933201806642721e-5,9.999999925786538e-5,0.9279381862428144,0.5691003877617599,728.5324783043758,159.28775609954553,2378.486812033832,6,138,4786.537146178607,DE
w0e2f500,6.034545103815577e-5,8.54509546151715e-5,0.6895710924269111,0.7392998728549428,536.1968113108114,446.00853616234826,1530.4959400059631,6,89,3087.923698230319,DE
waedfc9c,7.532122235358167e-5,8.127212325912206e-5,0.6878438913775705,0.6356116326181848,795.4520064434142,263.3920617274046,1566.9898281317137,6,93,3161.175253222347,DE
w96b09fe,5.9748594510463155e-5,9.99999997115327e-5,0.9078022812632534,0.7324305620762637,1023.8285093487303,186.838245304959,1650.2236525583257,6,95,3327.770566466255,DE
w9ff051d,5.66209732769742e-5,8.921812529233828e-5,0.9836023537602121,0.6192018419122506,1740.5512002801738,263.53104864820637,1638.1296946925065,6,94,3303.519158078633,DE
wdcfc216,7.993868152219325e-5,6.60051829879652e-5,0.7099613673148366,0.4721848248182891,1126.9061181089978,242.80725693128335,1571.5487508766437,6,94,3170.3572704469075,DE
w4a3c9b0,5.908259292802514e-5,9.999999996984661e-5,0.9999999686393306,0.5050827726704705,723.8274211862562,272.9571003002601,2133.5066097396975,6,125,4295.983101903209,DE
wde62b3d,6.691234386126168e-5,7.033203084819546e-5,0.7720707441597754,0.597740893533918,488.8935494824418,85.40701319404151,1587.8893225302666,6,92,3202.909376522827,DE
w5284fa9,9.99999995438647e-5,9.999999916234215e-5,0.6654270771503423,0.6880834046432004,1031.0201818082896,315.00209836523186,1550.670962849175,6,95,3128.6651870479536,DE
w18b16aa,9.999999942390341e-5,9.999996360414385e-5,0.6915569808677684,0.6295258912532661,798.1761244231558,176.0154058632209,2333.633451647325,6,141,4696.959462636919,DE
