trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
1,2,4,2259.0,2352.0,-16.689275140250206,false,1000,-16.645371082814428,-0.0439040574357783
2,2,4,2060.0,2415.0,-16.561355022687806,false,1000,-16.63693007408077,0.07557505139296339
3,1,2,3264.0,3606.0,-18.183100110126592,false,1000,-18.51141140605807,0.3283112959314778
4,1,1,2469.0,757.0,-19.29143338995975,false,3974,-18.98151917578665,-0.30991421417309795
5,1,2,5601.0,3351.0,-19.699483113543533,false,1000,-19.439895391051174,-0.25958772249235906
6,1,1,6992.0,2473.0,-19.453882793256515,false,1000,-19.607346215151495,0.15346342189497975
7,1,1,3163.0,840.0,-16.37612279780906,false,1000,-16.30455382490602,-0.07156897290304087
8,2,3,2355.0,1424.0,-17.777902260630192,false,1000,-17.802352792028508,0.024450531398315434
9,2,3,2406.0,743.0,-15.144899316017959,false,1000,-15.019909108457611,-0.12499020756034795
10,2,3,2182.0,3402.0,-17.398228944624005,false,1000,-17.394190362139817,-0.004038582484188424
11,2,4,4316.0,2218.0,-17.989638499111646,false,1000,-18.14239093355213,0.15275243444048314
12,2,3,2022.0,1306.0,-15.29944379951319,false,1000,-15.361854952675934,0.062411153162743815
13,2,3,1314.0,1565.0,-20.76344311082546,false,8241,-20.803892279153892,0.040449168328432705
14,2,4,1786.0,2179.0,-16.16519649643391,false,1000,-16.09183763764506,-0.07335885878885051
15,1,2,2244.0,2277.0,-17.078967287484513,false,1000,-16.996743979397465,-0.08222330808704825
16,1,1,1162.0,823.0,-16.079849748387108,false,1000,-16.26790240932314,0.18805266093603024
17,1,1,1583.0,813.0,-16.715603170467364,false,1000,-16.523528641415755,-0.1920745290516095
18,2,3,1343.0,406.0,-15.259816479977657,false,1000,-15.298901929579554,0.03908544960189708
19,2,3,2737.0,885.0,-15.611858458932852,false,1000,-15.666110635922962,0.054252176990109646
20,1,1,4831.0,1406.0,-18.807567145685823,false,1000,-18.597406551802308,-0.21016059388351493
21,2,4,5316.0,3822.0,-21.547808536209498,false,1000,-21.588098651718262,0.040290115508764046
22,1,1,2269.0,1413.0,-16.454860142714264,false,1000,-16.29019204949829,-0.16466809321597253
23,2,4,1624.0,2118.0,-16.710713373872267,false,1000,-16.783299162184395,0.07258578831212859
24,2,4,1568.0,3572.0,-17.735377180966893,false,1000,-17.725187961647194,-0.01018921931969885
25,2,4,3076.0,2289.0,-17.85463880351556,false,1000,-18.195210863065505,0.3405720595499453
26,2,3,5505.0,945.0,-18.66103883497307,false,1000,-18.814988470800188,0.15394963582711796
27,2,3,2532.0,478.0,-15.648025207686645,false,1000,-15.693490508291827,0.045465300605181724
28,1,1,3083.0,391.0,-17.38058846564402,false,1000,-17.402413276360576,0.02182481071655573
29,1,1,3601.0,274.0,-18.3450894277754,false,1000,-19.326436631061565,0.9813472032861661
30,2,4,5781.0,1691.0,-18.645772565705485,false,1000,-18.58563852998208,-0.06013403572340437
31,2,3,1492.0,958.0,-17.799889375510684,false,1000,-17.470850935772212,-0.329038439738472
32,1,1,4738.0,507.0,-17.971349752220057,false,1000,-17.917619555899197,-0.05373019632085985
33,2,4,4707.0,2123.0,-17.956866815879888,false,1000,-18.16016373769014,0.20329692181025294
34,2,3,2993.0,1511.0,-17.0863267053807,false,1000,-16.940009159380473,-0.14631754600022617
35,2,4,1581.0,2293.0,-16.006686972533636,false,1000,-15.995992144257654,-0.010694828275982005
36,2,4,2018.0,4045.0,-18.446870473952334,false,1000,-18.53672588180065,0.08985540784831514
37,2,4,2605.0,2499.0,-16.804142934887995,false,1000,-17.01816797947979,0.2140250445917964
38,1,1,2774.0,727.0,-15.4178972704095,false,1000,-15.356278142185374,-0.061619128224124964
39,2,4,1212.0,1525.0,-17.638051267978994,false,1000,-17.395775920981592,-0.2422753469974026
