trial_idx,choice1,choice2,rt1,rt2,diff2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff,abs_err,mean_ll
40,2,4,3991.0,2093.0,,-17.376799811068107,false,1389,-17.419742581252905,0.04294277018479775,0.04294277018479775,-17.398271196160508
41,1,2,1675.0,1362.0,,-14.56030828587168,false,1011,-14.528641647777082,-0.03166663809459713,0.03166663809459713,-14.544474966824382
42,1,1,1881.0,748.0,,-14.501061434013941,false,1032,-14.45580569414926,-0.04525573986468068,0.04525573986468068,-14.478433564081602
43,1,1,2880.0,383.0,,-16.035803267610014,false,1034,-16.019378107279916,-0.016425160330097555,0.016425160330097555,-16.027590687444963
44,1,1,2585.0,3818.0,,-18.62458252890691,false,1547,-19.062748431756205,0.43816590284929546,0.43816590284929546,-18.84366548033156
45,1,2,3282.0,1812.0,,-16.71967594308024,false,1313,-16.838555127917584,0.11887918483734339,0.11887918483734339,-16.77911553549891
46,2,3,4940.0,864.0,,-17.051758754204872,false,2081,-16.882514853526082,-0.16924390067879003,0.16924390067879003,-16.96713680386548
47,1,2,2194.0,814.0,,-14.629099156577961,false,1019,-14.602911138654179,-0.02618801792378278,0.02618801792378278,-14.61600514761607
48,1,1,2574.0,1423.0,,-147.36544595161894,true,10000,-27.84224926062742,-119.52319669099151,119.52319669099151,-87.60384760612318
49,2,4,1568.0,3183.0,,-17.62968018597274,false,1510,-17.377414755999474,-0.2522654299732672,0.2522654299732672,-17.503547470986106
50,2,3,4574.0,498.0,,-18.235551412636262,false,2991,-18.111189930944114,-0.12436148169214789,0.12436148169214789,-18.173370671790188
51,1,1,8189.0,2750.0,,-22.269581806490674,false,10000,-22.72003693600548,0.4504551295148076,0.4504551295148076,-22.494809371248078
52,1,1,4594.0,2731.0,,-30.391673790613694,false,1515,-23.51357172916127,-6.878102061452424,6.878102061452424,-26.952622759887483
53,2,4,1788.0,2014.0,,-15.42751656265373,false,1021,-15.44931909687199,0.02180253421825995,0.02180253421825995,-15.43841782976286
54,2,4,1312.0,1199.0,,-15.310753624753245,false,1095,-15.405235553321525,0.09448192856828008,0.09448192856828008,-15.357994589037386
55,2,4,1680.0,1716.0,,-15.450832703014411,false,1220,-15.397325242405774,-0.0535074606086372,0.0535074606086372,-15.424078972710092
56,2,4,2313.0,1608.0,,-16.03094483297523,false,1466,-16.049739552338767,0.018794719363537382,0.018794719363537382,-16.040342192657
57,2,3,1893.0,836.0,,-15.939985543755046,false,3115,-15.855269683097632,-0.08471586065741477,0.08471586065741477,-15.897627613426339
58,1,2,2013.0,1250.0,,-15.049563702717178,false,1014,-15.047891127607347,-0.0016725751098309871,0.0016725751098309871,-15.048727415162261
59,2,4,1949.0,1714.0,,-16.28096274020408,false,1044,-16.030068297348123,-0.25089444285595874,0.25089444285595874,-16.155515518776102
60,1,1,1693.0,1105.0,,-15.209744539050144,false,1023,-15.206188989366222,-0.0035555496839219103,0.0035555496839219103,-15.207966764208184
61,2,4,1534.0,2773.0,,-16.91786163316209,false,1017,-16.695550984785115,-0.22231064837697545,0.22231064837697545,-16.806706308973602
62,2,4,1628.0,1877.0,,-15.220315670183801,false,1016,-15.22085807101847,0.0005424008346697207,0.0005424008346697207,-15.220586870601135
63,2,3,3889.0,3255.0,,-19.088208993629987,false,1056,-19.22225575779725,0.13404676416726247,0.13404676416726247,-19.155232375713616
64,2,4,1032.0,3612.0,,-22.9424032615939,false,1153,-46.62297837940953,23.680575117815632,23.680575117815632,-34.78269082050171
65,2,4,1040.0,2814.0,,-24.266718479510747,false,1012,-47.094928129916234,22.828209650405487,22.828209650405487,-35.68082330471349
66,2,3,2043.0,2072.0,,-17.10179643217738,false,1450,-16.948103297400294,-0.15369313477708602,0.15369313477708602,-17.024949864788837
67,2,3,1303.0,2081.0,,-17.120597764051833,false,1012,-17.175482360386745,0.054884596334911606,0.054884596334911606,-17.148040062219287
68,2,4,3497.0,1479.0,,-16.827537028419453,false,1090,-16.796070788158154,-0.03146624026129885,0.03146624026129885,-16.811803908288802
69,1,1,2784.0,640.0,,-15.832519408102259,false,1333,-15.654836196355863,-0.17768321174639645,0.17768321174639645,-15.743677802229062
70,2,3,6548.0,2678.0,,-18.972247018438164,false,1475,-19.022329073844826,0.05008205540666211,0.05008205540666211,-18.997288046141495
71,2,4,3395.0,1827.0,,-17.02635720726816,false,1402,-17.04814214578476,0.021784938516599794,0.021784938516599794,-17.037249676526457
72,1,2,2007.0,3231.0,,-16.468558951471937,false,1230,-16.565515148601538,0.09695619712960024,0.09695619712960024,-16.517037050036738
73,2,3,1365.0,2875.0,,-24.39047804484071,false,10000,-24.78346228122618,0.39298423638546964,0.39298423638546964,-24.586970163033442
74,2,3,4690.0,657.0,,-17.97707849619961,false,3067,-17.865436299131332,-0.11164219706827794,0.11164219706827794,-17.92125739766547
75,1,1,4505.0,1561.0,,-17.824918715101703,false,2597,-17.830678831765958,0.005760116664255577,0.005760116664255577,-17.82779877343383
76,1,1,1995.0,3919.0,,-17.247606242030127,false,1266,-17.180473211758926,-0.06713303027120077,0.06713303027120077,-17.214039726894526
77,2,3,3749.0,1147.0,,-17.66388805004286,false,4553,-17.601596532487896,-0.062291517554964315,0.062291517554964315,-17.63274229126538
78,2,3,1444.0,2287.0,,-18.680576617064467,false,10000,-18.91161798932967,0.23104137226520294,0.23104137226520294,-18.79609730319707
79,2,3,1388.0,1042.0,,-15.56294366604842,false,1009,-15.858520400780389,0.2955767347319682,0.2955767347319682,-15.710732033414406
80,2,3,2717.0,500.0,,-16.07901626984562,false,1275,-16.128840099949862,0.049823830104241296,0.049823830104241296,-16.10392818489774
81,1,1,2038.0,476.0,,-14.091569024584254,false,1004,-14.175387343198004,0.08381831861374955,0.08381831861374955,-14.133478183891128
82,2,3,1383.0,1415.0,,-15.73052132942513,false,1020,-15.904533576003633,0.17401224657850278,0.17401224657850278,-15.817527452714382
83,2,3,2996.0,854.0,,-16.1185059053724,false,1207,-15.882188744286937,-0.23631716108546108,0.23631716108546108,-16.00034732482967
84,1,1,4732.0,618.0,,-19.042500870374234,false,10000,-19.063543706845834,0.02104283647160088,0.02104283647160088,-19.053022288610034
85,1,2,2116.0,940.0,,-15.034095881840166,false,1019,-14.986300179195824,-0.04779570264434163,0.04779570264434163,-15.010198030517994
86,2,3,1472.0,975.0,,-15.670296414971393,false,1470,-15.652347408576318,-0.017949006395074463,0.017949006395074463,-15.661321911773856
87,2,3,1056.0,468.0,,-21.932059824040778,false,1128,-44.7688699012597,22.83681007721892,22.83681007721892,-33.35046486265024
88,2,3,6651.0,953.0,,-17.674309853835588,false,1115,-17.546206579571418,-0.1281032742641699,0.1281032742641699,-17.610258216703503
89,1,2,3797.0,1471.0,,-16.916477924016025,false,1323,-16.847152463181615,-0.06932546083440982,0.06932546083440982,-16.88181519359882
90,1,1,1855.0,433.0,,-14.553916336710655,false,1030,-14.432127846085402,-0.12178849062525288,0.12178849062525288,-14.493022091398029
91,1,2,2165.0,1878.0,,-15.94607554403637,false,1095,-15.793539095749544,-0.1525364482868259,0.1525364482868259,-15.869807319892956
92,1,2,2065.0,2084.0,,-15.932814427342503,false,1025,-15.994496891134073,0.06168246379156983,0.06168246379156983,-15.963655659238288
93,2,3,2439.0,2859.0,,-17.017616087047152,false,1504,-16.970899028087775,-0.046717058959377056,0.046717058959377056,-16.994257557567465
94,1,1,1902.0,1184.0,,-14.679653850042857,false,1003,-14.770766768362325,0.09111291831946744,0.09111291831946744,-14.725210309202591
95,2,4,2087.0,1620.0,,-16.16743621463236,false,1006,-16.128672120030878,-0.03876409460148267,0.03876409460148267,-16.14805416733162
96,2,3,3767.0,705.0,,-27.497709894034397,false,1112,-21.083213971232176,-6.414495922802221,6.414495922802221,-24.290461932633285
97,2,4,2623.0,1411.0,,-16.321473108613386,false,1005,-16.351242146604072,0.029769037990686087,0.029769037990686087,-16.336357627608727
98,2,3,2057.0,715.0,,-14.453501787943726,false,1027,-14.389834115668595,-0.06366767227513037,0.06366767227513037,-14.42166795180616
99,2,4,2059.0,1731.0,,-16.174959978594327,false,1288,-15.94376891833053,-0.23119106026379654,0.23119106026379654,-16.05936444846243
100,1,2,2151.0,1324.0,,-16.185310181739215,false,1090,-16.062928165015435,-0.12238201672377969,0.12238201672377969,-16.124119173377323
101,2,3,5307.0,872.0,,-19.68466602098312,false,10000,-19.80430328154051,0.11963726055738988,0.11963726055738988,-19.744484651261814
102,2,4,5380.0,2280.0,,-19.132112018639475,false,1119,-19.75364544722055,0.6215334285810741,0.6215334285810741,-19.442878732930012
103,2,3,3383.0,323.0,,-17.07723397860965,false,1001,-17.63645638175698,0.5592224031473272,0.5592224031473272,-17.356845180183313
104,2,4,5407.0,2242.0,,-20.65451012251673,false,1500,-21.37393474631478,0.7194246237980515,0.7194246237980515,-21.014222434415757
105,1,1,7672.0,2108.0,,-22.825320968425626,false,10000,-22.80111712630478,-0.024203842120844143,0.024203842120844143,-22.8132190473652
106,1,1,2577.0,862.0,,-15.884940256810419,false,1267,-15.725923754360512,-0.15901650244990684,0.15901650244990684,-15.805432005585466
107,2,3,1402.0,818.0,,-14.260267612201533,false,1003,-14.132758620994775,-0.12750899120675818,0.12750899120675818,-14.196513116598155
