trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
66,2,3,2043.0,2072.0,-16.96969337393679,false,1000,-16.948103297400294,-0.02159007653649425
67,2,3,1303.0,2081.0,-16.655783359324456,false,1000,-17.175482360386745,0.5196990010622891
68,2,4,3497.0,1479.0,-16.892783033882885,false,1000,-16.796070788158154,-0.09671224572473136
69,1,1,2784.0,640.0,-15.684833215055788,false,1000,-15.654836196355863,-0.029997018699924993
70,2,3,6548.0,2678.0,-18.420680743952367,true,1000,-19.022329073844826,0.6016483298924591
71,2,4,3395.0,1827.0,-17.241191111131794,false,1000,-17.04814214578476,-0.1930489653470353
72,1,2,2007.0,3231.0,-16.558112274525236,false,1000,-16.565515148601538,0.007402874076301913
73,2,3,1365.0,2875.0,-18.420680743952367,true,10000,-24.78346228122618,6.362781537273811
74,2,3,4690.0,657.0,-17.711795563203744,false,1000,-17.865436299131332,0.15364073592758842
75,1,1,4505.0,1561.0,-17.878304409588257,false,1000,-17.830678831765958,-0.04762557782229848
76,1,1,1995.0,3919.0,-17.20593091527177,false,1000,-17.180473211758926,-0.025457703512845598
77,2,3,3749.0,1147.0,-17.650671905817138,false,1000,-17.601596532487896,-0.0490753733292415
78,2,3,1444.0,2287.0,-18.420680743952367,true,1237,-18.91161798932967,0.4909372453773031
79,2,3,1388.0,1042.0,-15.759976978065621,false,1000,-15.858520400780389,0.09854342271476746
80,2,3,2717.0,500.0,-16.205728325994492,false,1000,-16.128840099949862,-0.07688822604463041
81,1,1,2038.0,476.0,-14.204267287409689,false,1000,-14.175387343198004,-0.028879944211684716
82,2,3,1383.0,1415.0,-15.799038856915129,false,1000,-15.904533576003633,0.1054947190885045
83,2,3,2996.0,854.0,-15.944134837467736,false,1000,-15.882188744286937,-0.06194609318079891
84,1,1,4732.0,618.0,-18.420680743952367,true,1058,-19.063543706845834,0.6428629628934672
85,1,2,2116.0,940.0,-14.886587377492472,false,1000,-14.986300179195824,0.09971280170335284
86,2,3,1472.0,975.0,-15.83831402781058,false,1000,-15.652347408576318,-0.18596661923426083
87,2,3,1056.0,468.0,-18.420680743952367,true,1000,-44.7688699012597,26.34818915730733
88,2,3,6651.0,953.0,-17.35566439445093,false,1000,-17.546206579571418,0.19054218512048848
89,1,2,3797.0,1471.0,-16.82984938564991,false,1000,-16.847152463181615,0.017303077531703792
90,1,1,1855.0,433.0,-14.569662191156523,false,1000,-14.432127846085402,-0.1375343450711206
91,1,2,2165.0,1878.0,-15.9895335426914,false,1000,-15.793539095749544,-0.19599444694185486
92,1,2,2065.0,2084.0,-16.067586997914102,false,1000,-15.994496891134073,-0.07309010678002892
93,2,3,2439.0,2859.0,-17.03590198934597,false,1000,-16.970899028087775,-0.0650029612581946
94,1,1,1902.0,1184.0,-14.837800611953002,false,1000,-14.770766768362325,-0.06703384359067677
95,2,4,2087.0,1620.0,-16.055513223537766,false,1000,-16.128672120030878,0.07315889649311202
96,2,3,3767.0,705.0,-18.420680743952367,true,1000,-21.083213971232176,2.662533227279809
97,2,4,2623.0,1411.0,-16.074967855036387,false,1000,-16.351242146604072,0.27627429156768457
98,2,3,2057.0,715.0,-14.429058063848439,false,1000,-14.389834115668595,-0.03922394817984376
99,2,4,2059.0,1731.0,-16.157636541452163,false,1000,-15.94376891833053,-0.213867623121633
100,1,2,2151.0,1324.0,-16.01024458131632,false,1000,-16.062928165015435,0.05268358369911397
101,2,3,5307.0,872.0,-18.420680743952367,true,1463,-19.80430328154051,1.383622537588142
102,2,4,5380.0,2280.0,-18.420680743952367,true,1000,-19.75364544722055,1.332964703268182
103,2,3,3383.0,323.0,-17.971538865765282,false,1000,-17.63645638175698,-0.33508248400830354
104,2,4,5407.0,2242.0,-18.420680743952367,true,1000,-21.37393474631478,2.9532540023624136
105,1,1,7672.0,2108.0,-18.420680743952367,true,1239,-22.80111712630478,4.380436382352414
106,1,1,2577.0,862.0,-15.677670844849636,false,1000,-15.725923754360512,0.04825290951087524
107,2,3,1402.0,818.0,-14.259279164992043,false,1000,-14.132758620994775,-0.12652054399726786
