trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
1,2,4,2259.0,2352.0,-16.762644887006942,false,1291,-16.64959303947013,-0.11305184753681274
2,2,4,2060.0,2415.0,-16.849125284156422,false,1084,-16.664509063243397,-0.18461622091302488
3,1,2,3264.0,3606.0,-18.311555770750637,false,2015,-18.478347109836044,0.16679133908540678
4,1,1,2469.0,757.0,-19.342349535221697,false,49668,-19.181464149428493,-0.160885385793204
5,1,2,5601.0,3351.0,-19.433928590691075,false,1917,-19.332518755809204,-0.10140983488187061
6,1,1,6992.0,2473.0,-19.31493789067478,false,2332,-19.48269023394967,0.16775234327488775
7,1,1,3163.0,840.0,-16.549224065970257,false,1677,-16.35391753080414,-0.19530653516611807
8,2,3,2355.0,1424.0,-17.85127380354223,false,7596,-17.910849212616146,0.0595754090739149
9,2,3,2406.0,743.0,-15.188760704794198,false,1041,-15.059772091547268,-0.12898861324693023
10,2,3,2182.0,3402.0,-17.481762388332935,false,1216,-17.38829689710714,-0.09346549122579617
11,2,4,4316.0,2218.0,-18.216754262922574,false,1788,-18.096861158652086,-0.11989310427048849
12,2,3,2022.0,1306.0,-15.44514656153996,false,1053,-15.412019812124026,-0.03312674941593485
13,2,3,1314.0,1565.0,-21.296949958836443,false,103115,-21.008322763773556,-0.2886271950628867
14,2,4,1786.0,2179.0,-16.197915696229703,false,1067,-16.141497811214258,-0.056417885015445535
15,1,2,2244.0,2277.0,-16.843107257144535,false,1106,-17.036038439504466,0.19293118235993134
16,1,1,1162.0,823.0,-16.10136798730794,false,1195,-16.222274486181753,0.12090649887381488
17,1,1,1583.0,813.0,-16.994977295523416,false,2308,-16.65553926053704,-0.3394380349863759
18,2,3,1343.0,406.0,-15.021466718951768,false,1059,-15.260721547400797,0.23925482844902923
19,2,3,2737.0,885.0,-15.583209069422974,false,1015,-15.656328010395304,0.07311894097233029
20,1,1,4831.0,1406.0,-18.574107333504852,false,4450,-18.58399369843307,0.009886364928217262
