trial_idx,choice1,choice2,rt1,rt2,diff2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff,abs_err,mean_ll
1,2,4,8066.0,2479.0,,-20.186619517450318,false,1024,-20.476831528986967,0.29021201153664933,0.29021201153664933,-20.331725523218644
2,1,2,7914.0,1283.0,,-17.41372659577415,false,2172,-17.29032374240374,-0.12340285337041124,0.12340285337041124,-17.352025169088947
3,2,3,6291.0,1588.0,,-17.76644473238492,false,1013,-17.66892648953324,-0.09751824285167743,0.09751824285167743,-17.71768561095908
4,2,3,4930.0,1465.0,,-16.05063580902032,false,2196,-15.877856031560015,-0.17277977746030615,0.17277977746030615,-15.964245920290168
5,2,4,6288.0,1927.0,,-17.603033700079777,false,3190,-17.68178353975558,0.07874983967580107,0.07874983967580107,-17.642408619917678
6,1,2,7873.0,1333.0,,-17.44986194839096,false,2139,-17.480692759489777,0.03083081109881647,0.03083081109881647,-17.46527735394037
7,1,1,5182.0,9434.0,,-25.44847088059638,false,10000,-24.704018804622024,-0.7444520759743547,0.7444520759743547,-25.0762448426092
8,2,3,7272.0,1281.0,,-16.22129846192212,false,1146,-16.46678377217043,0.24548531024830922,0.24548531024830922,-16.344041117046274
9,2,3,4932.0,1624.0,,-16.03021622750747,false,1050,-15.897636780680088,-0.13257944682738199,0.13257944682738199,-15.963926504093779
10,1,2,5585.0,2583.0,,-17.55666677916655,false,2204,-17.628523276292718,0.07185649712616637,0.07185649712616637,-17.592595027729637
11,2,4,5255.0,2280.0,,-17.647885266128583,false,3227,-17.572497783159086,-0.07538748296949649,0.07538748296949649,-17.610191524643835
12,2,3,6167.0,1534.0,,-17.65984919480977,false,3330,-17.54479699128036,-0.11505220352940881,0.11505220352940881,-17.602323093045065
13,2,4,6466.0,2888.0,,-18.82564857467268,false,1021,-18.784148805295622,-0.041499769377058016,0.041499769377058016,-18.80489868998415
14,2,4,5629.0,2725.0,,-16.953805123449907,false,1081,-17.101652446697678,0.1478473232477704,0.1478473232477704,-17.02772878507379
15,2,3,7159.0,1565.0,,-17.37475676585732,false,2318,-17.202230698085234,-0.17252606777208612,0.17252606777208612,-17.28849373197128
16,2,3,6617.0,1621.0,,-17.69304480568252,false,3042,-17.437769536931384,-0.2552752687511344,0.2552752687511344,-17.56540717130695
17,2,3,4846.0,923.0,,-22.33719362306785,false,2028,-45.92110926541732,23.58391564234947,23.58391564234947,-34.12915144424259
18,2,3,8842.0,718.0,,-35.08834748714398,false,1437,-46.88242882150766,11.794081334363682,11.794081334363682,-40.98538815432582
19,2,4,4536.0,2138.0,,-16.729241506719685,false,2110,-16.841207012601988,0.11196550588230281,0.11196550588230281,-16.785224259660836
20,1,1,9935.0,1097.0,,-20.719085557087073,false,3290,-23.441918994813065,2.722833437725992,2.722833437725992,-22.080502275950067
21,2,3,8953.0,1901.0,,-18.28939093612939,false,2752,-18.318088504765573,0.02869756863618278,0.02869756863618278,-18.30373972044748
22,2,3,7488.0,1242.0,,-18.15576242142188,false,2270,-17.84045655694696,-0.3153058644749187,0.3153058644749187,-17.998109489184422
23,1,1,7316.0,1510.0,,-17.63055731673204,false,2437,-17.461676181129842,-0.16888113560219864,0.16888113560219864,-17.54611674893094
24,2,3,7860.0,1174.0,,-32.86969729791108,false,10000,-25.27568572783138,-7.594011570079701,7.594011570079701,-29.07269151287123
25,2,4,5837.0,3712.0,,-18.879694392019722,false,1071,-19.059625068441754,0.17993067642203187,0.17993067642203187,-18.969659730230738
26,2,3,3770.0,743.0,,-27.97369929409533,false,1019,-43.91501811183027,15.941318817734942,15.941318817734942,-35.9443587029628
27,2,4,7133.0,1857.0,,-22.230920334676604,false,1023,-20.90969278234583,-1.3212275523307753,1.3212275523307753,-21.570306558511216
28,2,4,5005.0,2870.0,,-16.751063454007234,false,1076,-16.900662705383436,0.1495992513762019,0.1495992513762019,-16.825863079695335
29,2,4,5336.0,2872.0,,-17.292671502447867,false,1151,-17.445273793845253,0.15260229139738613,0.15260229139738613,-17.36897264814656
30,2,4,5012.0,1977.0,,-15.829597606002276,false,1003,-16.057052804959557,0.22745519895728172,0.22745519895728172,-15.943325205480917
31,1,2,8266.0,1705.0,,-17.36991684416072,false,2063,-17.265860392337263,-0.1040564518234568,0.1040564518234568,-17.317888618248993
32,1,2,6489.0,1419.0,,-16.551117294649597,false,2086,-16.51041742615746,-0.040699868492136915,0.040699868492136915,-16.53076736040353
33,1,1,5825.0,1425.0,,-16.371805287062774,false,2110,-16.453478529629383,0.0816732425666089,0.0816732425666089,-16.412641908346078
34,1,2,7320.0,1282.0,,-17.827870411730537,false,2262,-17.737135347360706,-0.09073506436983081,0.09073506436983081,-17.78250287954562
35,2,4,4964.0,2464.0,,-17.39735672427617,false,2145,-17.392718298343304,-0.0046384259328675626,0.0046384259328675626,-17.395037511309738
36,2,3,3854.0,2695.0,,-15.020954782653781,false,1088,-15.141252478282887,0.1202976956291053,0.1202976956291053,-15.081103630468334
37,2,3,4210.0,1418.0,,-14.25812386715038,false,1022,-14.271019888993925,0.012896021843545213,0.012896021843545213,-14.264571878072152
38,2,3,5797.0,2519.0,,-16.77037143305393,false,1173,-16.947338493692662,0.1769670606387308,0.1769670606387308,-16.858854963373297
39,2,4,5683.0,2705.0,,-18.065800797598403,false,2125,-18.0076466549794,-0.05815414261900287,0.05815414261900287,-18.0367237262889
40,2,4,5005.0,3048.0,,-17.871210719387935,false,2650,-17.796893643510355,-0.07431707587758041,0.07431707587758041,-17.834052181449145
41,2,4,7690.0,2264.0,,-17.948971530949237,false,2181,-17.87289020038578,-0.07608133056345778,0.07608133056345778,-17.91093086566751
42,2,3,6809.0,1800.0,,-17.371180011312685,false,2226,-17.07450181213996,-0.29667819917272453,0.29667819917272453,-17.222840911726323
43,2,3,6072.0,1162.0,,-20.35588145507166,false,10000,-21.14057071044575,0.7846892553740901,0.7846892553740901,-20.748226082758706
