trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,analytical_used_eps,loglik_diff
1,1,1,4238.0,2741.0,-20.100856136035727,false,1103,-20.119816398803046,false,0.01896026276731888
2,2,4,2476.0,1932.0,-18.45985339541864,false,1059,-18.319614589078647,false,-0.14023880633999397
3,2,3,1975.0,1688.0,-16.86888236839999,false,1057,-16.818579703920847,false,-0.050302664479144
4,2,4,4190.0,1251.0,-17.563022171328306,false,1067,-17.477096908644626,false,-0.08592526268368061
5,2,4,3391.0,1591.0,-18.322617976142695,false,1089,-18.22696588914054,false,-0.09565208700215422
6,2,4,2357.0,1198.0,-16.550508615740906,false,1024,-16.254801490574433,false,-0.2957071251664729
7,2,3,1774.0,1426.0,-15.838653373953804,false,1111,-15.736169725008985,false,-0.1024836489448191
8,2,3,1651.0,1275.0,-15.588765475352524,false,1179,-15.528444954175281,false,-0.060320521177242625
9,1,1,1552.0,4371.0,-18.787567782780826,false,1646,-18.634967494105766,false,-0.15260028867506037
10,1,2,2967.0,1061.0,-16.370345769982183,false,1296,-16.374194233509073,false,0.0038484635268893896
11,1,1,2548.0,973.0,-15.663651835325997,false,1073,-15.739891253118797,false,0.07623941779280052
12,2,3,2060.0,828.0,-15.07201411880494,false,1029,-15.104943619926944,false,0.03292950112200366
13,1,1,1848.0,839.0,-15.088374299745778,false,1084,-15.054932052257218,false,-0.033442247488560284
14,2,4,2500.0,1688.0,-17.031419069240407,false,1063,-16.957875967885176,false,-0.07354310135523079
15,1,1,2286.0,950.0,-15.421336552951171,false,1062,-15.469171120170383,false,0.047834567219211976
16,2,3,3039.0,645.0,-16.064303906519253,false,1082,-15.876154710322133,false,-0.18814919619712
17,2,4,1966.0,1984.0,-16.827039632372582,false,1039,-17.10207492621337,false,0.2750352938407872
18,1,1,1930.0,1200.0,-16.22522056444815,false,1225,-16.12722477255565,false,-0.09799579189250096
19,2,3,2468.0,2530.0,-17.781912944717945,false,1297,-17.663606795476973,false,-0.11830614924097205
20,2,3,1566.0,285.0,-15.372419256713737,false,1101,-15.486477134391844,false,0.11405787767810693
21,1,1,747.0,290.0,-16.413037788020535,false,1174,-16.825189788872006,false,0.41215200085147075
22,2,3,1441.0,769.0,-15.757139523434418,false,1317,-15.68786478208403,false,-0.06927474135038736
23,1,1,1626.0,255.0,-19.017772188167505,false,36765,-19.265498006207352,false,0.2477258180398465
24,1,2,1464.0,1238.0,-15.05817680740865,false,1114,-15.115460904653924,false,0.05728409724527417
25,1,2,3445.0,976.0,-16.990073003083136,false,2082,-16.947069194537555,false,-0.04300380854558128
26,2,4,1566.0,1171.0,-15.450369759778104,false,1259,-15.417909699204351,false,-0.032460060573752614
27,1,2,964.0,1184.0,-15.082046034429956,false,1080,-14.993007959134664,false,-0.08903807529529217
28,2,4,1582.0,1445.0,-15.696473402447856,false,1420,-15.702277326075386,false,0.005803923627530239
29,1,2,1772.0,1642.0,-16.21076745176,false,1031,-16.443633987735204,false,0.23286653597520512
30,1,2,2695.0,1358.0,-16.451050354795626,false,1142,-16.415508509817446,false,-0.03554184497818014
31,2,4,3864.0,1415.0,-17.09354448480352,false,1199,-17.14813308422848,false,0.054588599424960194
32,1,2,792.0,1359.0,-15.75169724415929,false,1421,-15.776005320749022,false,0.024308076589731442
33,1,2,635.0,886.0,-16.7756246635751,false,1150,-17.29422172300925,false,0.5185970594341498
34,1,1,1393.0,407.0,-14.797513246635232,false,1269,-14.704999565534045,false,-0.0925136811011864
35,2,4,1880.0,1456.0,-15.990979944654311,false,1084,-16.048129460653783,false,0.05714951599947149
36,1,1,1120.0,353.0,-14.846118673170215,false,1159,-14.84926153603967,false,0.0031428628694545324
37,1,1,2770.0,378.0,-16.930373882070498,false,2209,-16.91337691777038,false,-0.016996964300119544
38,1,1,944.0,345.0,-16.161013243534352,false,1069,-15.746814136727302,false,-0.4141991068070503
39,2,3,1416.0,830.0,-14.79318558703299,false,1148,-14.596174012350108,false,-0.19701157468288244
