trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,analytical_used_eps,loglik_diff
1,1,1,4238.0,2741.0,-19.91421324338034,false,1097,-20.119816398803046,false,0.20560315542270757
2,2,4,2476.0,1932.0,-18.025868680292707,false,1056,-18.319614589078647,false,0.2937459087859402
3,2,3,1975.0,1688.0,-16.698523693793923,false,1064,-16.818579703920847,false,0.12005601012692324
4,2,4,4190.0,1251.0,-17.852603493563997,false,1050,-17.477096908644626,false,-0.3755065849193713
5,2,4,3391.0,1591.0,-18.599978673529023,false,1068,-18.22696588914054,false,-0.3730127843884823
6,2,4,2357.0,1198.0,-16.218486648925772,false,1023,-16.254801490574433,false,0.036314841648660945
7,2,3,1774.0,1426.0,-15.569819729953222,false,1110,-15.736169725008985,false,0.16634999505576253
8,2,3,1651.0,1275.0,-15.525322187221503,false,1182,-15.528444954175281,false,0.003122766953778111
9,1,1,1552.0,4371.0,-18.297695136045576,false,1673,-18.634967494105766,false,0.33727235806018996
10,1,2,2967.0,1061.0,-16.45773332652242,false,1306,-16.374194233509073,false,-0.08353909301334639
11,1,1,2548.0,973.0,-15.74919707225457,false,1092,-15.739891253118797,false,-0.009305819135773774
12,2,3,2060.0,828.0,-15.089720367129255,false,1034,-15.104943619926944,false,0.015223252797689213
13,1,1,1848.0,839.0,-15.05057382800886,false,1084,-15.054932052257218,false,0.004358224248358411
14,2,4,2500.0,1688.0,-16.752462187771016,false,1056,-16.957875967885176,false,0.20541378011416
15,1,1,2286.0,950.0,-15.611398937289579,false,1069,-15.469171120170383,false,-0.14222781711919552
16,2,3,3039.0,645.0,-15.876684033071045,false,1083,-15.876154710322133,false,-0.0005293227489122643
17,2,4,1966.0,1984.0,-17.120026690948272,false,1051,-17.10207492621337,false,-0.01795176473490301
18,1,1,1930.0,1200.0,-16.088088249481203,false,1245,-16.12722477255565,false,0.03913652307444693
19,2,3,2468.0,2530.0,-17.649653880103184,false,1299,-17.663606795476973,false,0.013952915373788954
20,2,3,1566.0,285.0,-15.382186439470651,false,1110,-15.486477134391844,false,0.10429069492119325
21,1,1,747.0,290.0,-16.370220270243898,false,1151,-16.825189788872006,false,0.45496951862810775
22,2,3,1441.0,769.0,-15.732259622305083,false,1297,-15.68786478208403,false,-0.044394840221052334
23,1,1,1626.0,255.0,-19.310580648290543,false,38571,-19.265498006207352,false,-0.045082642083190905
24,1,2,1464.0,1238.0,-15.235855787938412,false,1126,-15.115460904653924,false,-0.12039488328448833
25,1,2,3445.0,976.0,-16.8705262582255,false,2085,-16.947069194537555,false,0.07654293631205533
26,2,4,1566.0,1171.0,-15.452232882583163,false,1280,-15.417909699204351,false,-0.03432318337881135
27,1,2,964.0,1184.0,-15.021388228957754,false,1071,-14.993007959134664,false,-0.028380269823090387
28,2,4,1582.0,1445.0,-15.755419608072911,false,1392,-15.702277326075386,false,-0.05314228199752513
29,1,2,1772.0,1642.0,-16.69862303256568,false,1025,-16.443633987735204,false,-0.25498904483047724
30,1,2,2695.0,1358.0,-16.315869829923987,false,1143,-16.415508509817446,false,0.09963867989345943
31,2,4,3864.0,1415.0,-17.24997803269204,false,1187,-17.14813308422848,false,-0.10184494846356174
32,1,2,792.0,1359.0,-15.891943791613226,false,1455,-15.776005320749022,false,-0.11593847086420439
33,1,2,635.0,886.0,-17.280740677867627,false,1156,-17.29422172300925,false,0.013481045141624293
34,1,1,1393.0,407.0,-14.926075833317393,false,1315,-14.704999565534045,false,-0.22107626778334755
35,2,4,1880.0,1456.0,-16.04773726950223,false,1078,-16.048129460653783,false,0.0003921911515547549
36,1,1,1120.0,353.0,-14.971569331973102,false,1158,-14.84926153603967,false,-0.12230779593343222
37,1,1,2770.0,378.0,-17.127003532152727,false,2218,-16.91337691777038,false,-0.2136266143823491
38,1,1,944.0,345.0,-15.441428508258225,false,1084,-15.746814136727302,false,0.305385628469077
39,2,3,1416.0,830.0,-14.613758994937468,false,1164,-14.596174012350108,false,-0.017584982587360187
40,1,1,2645.0,1347.0,-17.515607076344388,false,1612,-17.530833533272798,false,0.01522645692840996
41,1,2,1523.0,1490.0,-15.946326036331335,false,1066,-16.052265097906183,false,0.10593906157484767
42,2,3,1172.0,862.0,-14.991580521509158,false,1291,-14.824810341752283,false,-0.1667701797568757
43,2,3,1806.0,373.0,-15.216783869312748,false,1164,-15.257703800635694,false,0.04091993132294647
44,1,1,1085.0,887.0,-14.968954921981675,false,1116,-14.965012420643813,false,-0.003942501337862225
45,1,1,1197.0,688.0,-14.460496406980013,false,1108,-14.202869621901414,false,-0.2576267850785996
46,1,1,4594.0,438.0,-17.5888584393563,false,2820,-17.468138364945347,false,-0.12072007441095423
47,2,4,1599.0,1262.0,-15.433945348960592,false,1304,-15.425221537229133,false,-0.008723811731458753
48,1,2,1239.0,895.0,-14.5407451893076,false,1129,-14.465499562277316,false,-0.07524562703028437
49,2,3,1619.0,606.0,-14.560386788365989,false,1167,-14.664164690279527,false,0.10377790191353853
50,2,3,1642.0,589.0,-15.381671359446436,false,1647,-15.306135000579037,false,-0.0755363588673994
51,1,2,1240.0,1003.0,-15.639581163338539,false,1068,-15.575541391542021,false,-0.06403977179651754
52,2,3,2961.0,2841.0,-19.000706261087107,false,1193,-19.0487875387567,false,0.048081277669592026
53,1,2,2008.0,1464.0,-17.35356430676706,false,2086,-17.511251993455318,false,0.15768768668825928
54,1,2,1677.0,1589.0,-16.308464181898522,false,1063,-16.27474561043941,false,-0.0337185714591115
55,1,2,966.0,808.0,-14.529178632435498,false,1033,-14.598472229125736,false,0.0692935966902386
56,1,1,2401.0,2251.0,-17.27309843219066,false,1265,-17.30759897570036,false,0.034500543509697223
57,1,1,941.0,1158.0,-15.044644246640562,false,1090,-14.762572402325166,false,-0.28207184431539645
58,1,1,1153.0,403.0,-13.772168259584088,false,1034,-13.618228670331426,false,-0.15393958925266205
59,1,2,1125.0,1663.0,-15.562804081161595,false,1053,-15.569522186954014,false,0.006718105792419493
60,2,3,1583.0,759.0,-15.16774299296066,false,1422,-15.163987774412558,false,-0.003755218548102235
61,2,3,1561.0,476.0,-14.44279190238286,false,1105,-14.476851012863012,false,0.0340591104801522
62,1,1,2913.0,1788.0,-17.4421095266159,false,1818,-17.406758937138054,false,-0.035350589477847194
63,2,3,2708.0,359.0,-16.47399890486747,false,1295,-16.266929889623896,false,-0.2070690152435759
64,2,4,2172.0,2709.0,-17.569749499276796,false,1430,-17.57814650881273,false,0.008397009535933364
65,2,4,1989.0,2048.0,-17.508255207252493,false,1268,-17.311887387859834,false,-0.19636781939265902
66,2,4,1440.0,1809.0,-16.50636442741975,false,1029,-16.64022726458566,false,0.13386283716591052
67,2,4,1617.0,1131.0,-15.315482874523445,false,1044,-15.231547400694305,false,-0.0839354738291398
68,2,3,1656.0,598.0,-14.739709579827668,false,1110,-14.55995510137124,false,-0.17975447845642734
69,1,2,1598.0,1495.0,-16.62794562474099,false,1734,-16.46125081631243,false,-0.16669480842855933
70,1,1,837.0,581.0,-15.445126916325696,false,1421,-15.505438608286614,false,0.06031169196091746
71,2,3,1730.0,1393.0,-15.716498637520184,false,1166,-15.825310952864424,false,0.10881231534423996
72,1,1,2309.0,493.0,-16.191713923417343,false,1723,-16.14480184596806,false,-0.0469120774492815
73,2,3,1927.0,499.0,-15.02375449621511,false,1112,-14.963011922455852,false,-0.06074257375925818
74,2,3,3662.0,502.0,-16.775711624685822,false,2213,-16.617936163169446,false,-0.15777546151637623
75,2,3,1872.0,636.0,-15.53678148642969,false,1192,-15.259786430692813,false,-0.27699505573687766
76,1,2,1030.0,935.0,-15.761946244824475,false,1045,-15.753345470964442,false,-0.008600773860033328
77,1,2,1740.0,975.0,-15.29839597015872,false,1060,-15.189011734353612,false,-0.10938423580510914
78,2,3,1642.0,838.0,-14.66238268042061,false,1028,-14.645809073949769,false,-0.01657360647084083
79,2,3,1788.0,710.0,-14.789067955769744,false,1080,-14.697187176472251,false,-0.09188077929749205
80,2,3,1095.0,373.0,-13.66309235257906,false,1028,-13.6926304758898,false,0.029538123310739905
81,2,3,1397.0,532.0,-14.024750223451946,false,1048,-13.96416785668155,false,-0.060582366770395524
82,1,1,1606.0,1479.0,-15.764671065761876,false,1056,-15.784975246968884,false,0.020304181207007943
83,2,3,1747.0,455.0,-14.374751772170686,false,1028,-14.422301808796744,false,0.047550036626057945
84,1,2,759.0,858.0,-15.326424249493574,false,1175,-15.235629952324171,false,-0.09079429716940268
85,1,1,720.0,694.0,-15.364278770744411,false,1119,-15.295289870360005,false,-0.0689889003844062
86,1,2,967.0,911.0,-15.241654215122042,false,1159,-15.31714028700603,false,0.07548607188398826
87,2,4,1370.0,1193.0,-15.081325576492759,false,1107,-14.957891551445215,false,-0.12343402504754408
88,2,3,5554.0,810.0,-17.241355905744108,false,1139,-17.277246671788426,false,0.03589076604431796
89,1,2,2357.0,753.0,-15.959069730425213,false,1440,-15.992410071617527,false,0.03334034119231433
90,2,3,1356.0,602.0,-15.310190889412667,false,1618,-15.186378204850843,false,-0.12381268456182326
