trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,loglik_diff
22,1,1,2269.0,1413.0,-16.21763496388852,false,1000,-16.29019204949829,0.0725570856097697
23,2,4,1624.0,2118.0,-16.67875658467098,false,1000,-16.783299162184395,0.10454257751341345
24,2,4,1568.0,3572.0,-17.815920246251885,false,1000,-17.725187961647194,-0.09073228460469096
25,2,4,3076.0,2289.0,-18.148347509759816,false,1000,-18.195210863065505,0.046863353305688804
26,2,3,5505.0,945.0,-18.14729742453992,false,1000,-18.814988470800188,0.6676910462602663
27,2,3,2532.0,478.0,-15.702142918943872,false,1000,-15.693490508291827,-0.008652410652045361
28,1,1,3083.0,391.0,-17.846451782614853,false,1000,-17.402413276360576,-0.44403850625427665
29,1,1,3601.0,274.0,-18.329439821567263,false,1000,-19.326436631061565,0.996996809494302
30,2,4,5781.0,1691.0,-18.355752251453236,false,1000,-18.58563852998208,0.2298862785288449
31,2,3,1492.0,958.0,-17.60780313757076,false,1000,-17.470850935772212,-0.13695220179854672
32,1,1,4738.0,507.0,-18.087396571481847,false,1000,-17.917619555899197,-0.16977701558264968
33,2,4,4707.0,2123.0,-18.02551265204928,false,1000,-18.16016373769014,0.13465108564086137
34,2,3,2993.0,1511.0,-16.981705040307148,false,1000,-16.940009159380473,-0.04169588092667453
35,2,4,1581.0,2293.0,-16.106548422511697,false,1000,-15.995992144257654,-0.1105562782540428
36,2,4,2018.0,4045.0,-18.687290160661984,false,1000,-18.53672588180065,-0.15056427886133505
37,2,4,2605.0,2499.0,-16.91157045347615,false,1000,-17.01816797947979,0.10659752600364314
38,1,1,2774.0,727.0,-15.404458809561012,false,1000,-15.356278142185374,-0.048180667375637753
39,2,4,1212.0,1525.0,-17.078894985002638,false,1000,-17.395775920981592,0.31688093597895417
40,2,4,3991.0,2093.0,-17.742196698820546,false,1000,-17.78028322905842,0.038086530237873006
41,1,2,1675.0,1362.0,-15.139929262569364,false,1000,-15.138889568992393,-0.001039693576970535
42,1,1,1881.0,748.0,-15.357758640082157,false,1000,-15.155650815587997,-0.20210782449415987
