trial_idx,choice1,choice2,rt1,rt2,pda_loglik,pda_used_eps,pda_n_samples,analytical_loglik,analytical_used_eps,loglik_diff
31,2,4,3864.0,1415.0,-17.1446398901494,false,1210,-17.14813308422848,false,0.0034931940790805527
32,1,2,792.0,1359.0,-16.00962675972915,false,1432,-15.776005320749022,false,-0.23362143898012988
33,1,2,635.0,886.0,-16.939709299176382,false,1144,-17.29422172300925,false,0.35451242383286896
34,1,1,1393.0,407.0,-14.852617850412692,false,1249,-14.704999565534045,false,-0.14761828487864648
35,2,4,1880.0,1456.0,-15.886798499434402,false,1072,-16.048129460653783,false,0.16133096121938095
36,1,1,1120.0,353.0,-15.189099562291851,false,1171,-14.84926153603967,false,-0.3398380262521812
37,1,1,2770.0,378.0,-17.07226115179029,false,2231,-16.91337691777038,false,-0.15888423401991147
38,1,1,944.0,345.0,-15.934886000550746,false,1086,-15.746814136727302,false,-0.18807186382344376
39,2,3,1416.0,830.0,-14.611530975570577,false,1170,-14.596174012350108,false,-0.01535696322046931
40,1,1,2645.0,1347.0,-17.63205977097921,false,1653,-17.530833533272798,false,-0.10122623770641326
41,1,2,1523.0,1490.0,-16.15964275019206,false,1045,-16.052265097906183,false,-0.10737765228587648
42,2,3,1172.0,862.0,-15.001603957143955,false,1273,-14.824810341752283,false,-0.17679361539167182
43,2,3,1806.0,373.0,-15.500330195922373,false,1175,-15.257703800635694,false,-0.2426263952866794
44,1,1,1085.0,887.0,-14.95517790445218,false,1123,-14.965012420643813,false,0.009834516191633114
45,1,1,1197.0,688.0,-14.368042024317475,false,1122,-14.202869621901414,false,-0.16517240241606146
46,1,1,4594.0,438.0,-17.540009151135195,false,2853,-17.468138364945347,false,-0.07187078618984799
47,2,4,1599.0,1262.0,-15.438842147722724,false,1230,-15.425221537229133,false,-0.013620610493591201
48,1,2,1239.0,895.0,-14.571008999464876,false,1104,-14.465499562277316,false,-0.10550943718756045
49,2,3,1619.0,606.0,-14.798861283831926,false,1178,-14.664164690279527,false,-0.13469659355239827
50,2,3,1642.0,589.0,-15.328671528551308,false,1620,-15.306135000579037,false,-0.022536527972270903
51,1,2,1240.0,1003.0,-15.652397685499105,false,1054,-15.575541391542021,false,-0.07685629395708382
52,2,3,2961.0,2841.0,-18.549079300259784,false,1185,-19.0487875387567,false,0.4997082384969147
53,1,2,2008.0,1464.0,-17.342003355990656,false,2104,-17.511251993455318,false,0.169248637464662
54,1,2,1677.0,1589.0,-16.337362219906755,false,1072,-16.27474561043941,false,-0.06261660946734438
55,1,2,966.0,808.0,-14.90172329022496,false,1027,-14.598472229125736,false,-0.30325106109922295
56,1,1,2401.0,2251.0,-17.24245957683761,false,1264,-17.30759897570036,false,0.06513939886274756
57,1,1,941.0,1158.0,-14.845465712786615,false,1121,-14.762572402325166,false,-0.08289331046144888
58,1,1,1153.0,403.0,-13.66291359533541,false,1037,-13.618228670331426,false,-0.04468492500398469
